"","Scientific_Binomial","ScientificName","CommonName","demoTreeTipName","Divider","DemoDietPhenotype"
"1","ornithorhynchus_anatinus","Ornithorhynchus anatinus","Platypus","Platypus","-","Carnivore"
"2","monodelphis_domestica","Monodelphis domestica","Opossum","Opossum","-","Omnivore"
"3","sarcophilus_harrisii","Sarcophilus harrisii","Tasmanian devil","Tasmanian_devil","-","Omnivore"
"4","macropus_eugenii","Macropus eugenii","Wallaby","Wallaby","-","Herbivore"
"5","dasypus_novemcinctus","Dasypus novemcinctus","Armadillo","Armadillo","-","Carnivore"
"6","orycteropus_afer","Orycteropus afer afer","Aardvark","Aardvark","-","Carnivore"
"7","echinops_telfairi","Echinops telfairi","Tenrec","Tenrec","-",NA
"8","chrysochloris_asiatica","Chrysochloris asiatica","Cape golden mole","Cape_golden_mole","-","Carnivore"
"9","elephantulus_edwardii","Elephantulus edwardii","Cape elephant shrew","Elephant_shrew","-","Carnivore"
"10","trichechus_manatus","Trichechus manatus latirostris","Manatee","Manatee","-","Herbivore"
"11","loxodonta_africana","Loxodonta africana","Elephant","Elephant","-","Herbivore"
"12","condylura_cristata","Condylura cristata","Star-nosed mole","Star_nosed_mole","-","Carnivore"
"13","erinaceus_europaeus","Erinaceus europaeus","Hedgehog","Hedgehog","-","Omnivore"
"14","sorex_araneus","Sorex araneus","Shrew","Shrew","-","Omnivore"
"15","felis_catus","Felis catus","Cat","Cat","-","Carnivore"
"16","canis_lupus","Canis lupus familiaris","Dog","Dog","-","Carnivore"
"17","ailuropoda_melanoleuca","Ailuropoda melanoleuca","Panda","Panda","-","Omnivore"
"18","mustela_putorius","Mustela putorius","Ferret","Ferret","-","Carnivore"
"19","halichoerus_grypus","Halichoerus grypus","Grey seal","Seal","-",NA
"20","odobenus_rosmarus","Odobenus rosmarus","Pacific walrus","Walrus","-","Carnivore"
"21","pteropus_vampyrus","Pteropus vampyrus","Megabat","Megabat","-","Herbivore"
"22","pteropus_giganteus","Pteropus giganteus","Indian flying fox","Flying_fox","-",NA
"23","eptesicus_fuscus","Eptesicus fuscus","Big brown bat","Brown_bat","-","Carnivore"
"24","myotis_davidii","Myotis davidii","David's myotis bat","Myotis_bat","-","Carnivore"
"25","myotis_lucifugus","Myotis lucifugus","Microbat","Microbat","-","Carnivore"
"26","diceros_bicornis","Diceros bicornis","Black Rhinoceros","Rhinoceros","-","Herbivore"
"27","equus_caballus","Equus caballus","Horse","Horse","-","Herbivore"
"28","vicugna_pacos","Vicugna pacos","Alpaca","Alpaca","-","Herbivore"
"29","camelus_bactrianus","Camelus bactrianus","Bactrian Camel","Bactrian_camel","-","Omnivore"
"30","sus_scrofa","Sus scrofa","Pig","Pig","-","Omnivore"
"31","delphinus_delphis","Delphinus delphis","Dolphin","Dolphin","-",NA
"32","orcinus_orca","Orcinus orca","Killer whale","Killer_whale","-","Carnivore"
"33","bos_taurus","Bos taurus","Cow","Cow","-","Herbivore"
"34","pantholops_hodgsonii","Pantholops hodgsonii","Tibetan antelope","Tibetan_antelope","-","Herbivore"
"35","ovis_aries","Ovis aries","Domestic sheep","Sheep","-","Herbivore"
"36","capra_hircus","Capra hircus","Domestic goat","Goat","-","Herbivore"
"37","tupaia_chinensis","Tupaia chinensis","Chinese tree shrew","Chinese_tree_shrew","-",NA
"38","ochotona_princeps","Ochotona princeps","Pika","Pika","-","Herbivore"
"39","oryctolagus_cuniculus","Oryctolagus cuniculus","Rabbit","Rabbit","-","Herbivore"
"40","allactaga_bullata","Allactaga bullata","Gobi jerboa","Jerboa","-","Omnivore"
"41","rattus_norvegicus","Rattus norvegicus","Rat","Rat","-","Omnivore"
"42","mus_musculus","Mus musculus","Common mouse","Mouse","-","Omnivore"
"43","microtus_arvalis","Microtus arvalis","Common vole","Vole","-",NA
"44","mesocricetus_auratus","Mesocricetus auratus","Golden hamster","Golden_hamster","-","Omnivore"
"45","cricetulus_griseus","Cricetulus griseus","Chinese hamster","Chinese_hamster","-","Herbivore"
"46","spermophilus_tridecemlineatus","Spermophilus tridecemlineatus","Squirrel","Squirrel","-","Omnivore"
"47","heterocephalus_glaber","Heterocephalus glaber","Naked mole-rat","Naked_mole_rat","-","Herbivore"
"48","cavia_porcellus","Cavia porcellus","Domestic guinea pig","Guinea_pig","-","Herbivore"
"49","chinchilla_lanigera","Chinchilla lanigera","Chinchilla","Chinchilla","-","Herbivore"
"50","octodon_degus","Octodon degus","Brush-tailed rat","Brush_tailed_rat","-","Herbivore"
"51","otolemur_garnettii","Otolemur garnettii","Bushbaby","Bushbaby","-","Herbivore"
"52","saimiri_boliviensis","Saimiri boliviensis","Squirrel monkey","Squirrel_monkey","-","Omnivore"
"53","callithrix_jacchus","Callithrix jacchus","Marmoset","Marmoset","-","Omnivore"
"54","chlorocebus_sabaeus","Chlorocebus sabaeus","Green monkey","Green_monkey","-","Omnivore"
"55","papio_anubis","Papio anubis","Olive Baboon","Baboon","-","Omnivore"
"56","macaca_mulatta","Macaca mulatta","Rhesus Macaca","Rhesus_macaque","-","Omnivore"
"57","macaca_fascicularis","Macaca fascicularis","Crab-eating macaque","Crab_eating_macaque","-","Omnivore"
"58","nomascus_leucogenys","Nomascus leucogenys","Gibbon","Gibbon","-","Herbivore"
"59","pongo_abelii","Pongo abelii","Orangutan","Orangutan","-","Omnivore"
"60","gorilla_gorilla","Gorilla gorilla","Gorilla","Gorilla","-","Herbivore"
"61","pan_troglodytes","Pan troglodytes","Chimp","Chimp","-","Omnivore"
"62","homo_sapiens","Homo sapiens","Human","Human","-","Omnivore"
