,x
1,Ochotona princeps
2,Lepus americanus
3,Oryctolagus cuniculus
4,Castor canadensis
5,Perognathus longimembris
6,Dipodomys stephensi
7,Dipodomys ordii
8,Zapus hudsonius
9,Allactaga bullata
10,Jaculus jaculus
11,Nannospalax galili
12,Cricetomys gambianus
13,Rattus norvegicus
14,Mus pahari
15,Mus caroli
16,Mus musculus
17,Mus spretus
18,Acomys cahirinus
19,Psammomys obesus
20,Meriones unguiculatus
21,Cricetulus griseus
22,Mesocricetus auratus
23,Ondatra zibethicus
24,Microtus ochrogaster
25,Ellobius talpinus
26,Ellobius lutescens
27,Sigmodon hispidus
28,Peromyscus maniculatus
29,Onychomys torridus
30,Ctenodactylus gundi
31,Hystrix cristata
32,Thryonomys swinderianus
33,Petromus typicus
34,Fukomys damarensis
35,Heterocephalus glaber
36,Dinomys branickii
37,Chinchilla lanigera
38,Myocastor coypus
39,Ctenomys sociabilis
40,Octodon degus
41,Dasyprocta punctata
42,Cavia aperea
43,Cavia tschudii
44,Cavia porcellus
45,Hydrochoerus hydrochaeris
46,Dolichotis patagonum
47,Aplodontia rufa
48,Xerus inauris
49,Marmota marmota
50,Ictidomys tridecemlineatus
51,Spermophilus dauricus
52,Glis glis
53,Graphiurus murinus
54,Muscardinus avellanarius
55,Tupaia chinensis
56,Tupaia tana
57,Callicebus donacophilus
58,Pithecia pithecia
59,Alouatta palliata
60,Ateles geoffroyi
61,Saimiri boliviensis
62,Cebus capucinus
63,Cebus albifrons
64,Aotus nancymaae
65,Callithrix jacchus
66,Saguinus imperator
67,Nomascus leucogenys
68,Pongo abelii
69,Gorilla gorilla
70,Homo sapiens
71,Pan paniscus
72,Pan troglodytes
73,Colobus angolensis
74,Piliocolobus tephrosceles
75,Semnopithecus entellus
76,Rhinopithecus roxellana
77,Rhinopithecus bieti
78,Pygathrix nemaeus
79,Nasalis larvatus
80,Macaca nemestrina
81,Macaca fascicularis
82,Macaca mulatta
83,Papio anubis
84,Cercocebus atys
85,Mandrillus leucophaeus
86,Cercopithecus neglectus
87,Chlorocebus sabaeus
88,Erythrocebus patas
89,Nycticebus coucang
90,Otolemur garnettii
91,Daubentonia madagascariensis
92,Lemur catta
93,Eulemur flavifrons
94,Eulemur fulvus
95,Cheirogaleus medius
96,Microcebus murinus
97,Mirza coquereli
98,Propithecus coquereli
99,Indri indri
100,Uropsilus gracilis
