,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.223033525045927,110,0.00452565590717139,0.0315880433415235
FKBP4,-0.0751838447916519,138,0.282868894451431,0.490409076213338
CYP26B1,-0.188781275952757,93,0.027394492999831,0.106543835553374
NDUFAF7,0.049663335982006,155,0.451814044532688,0.646308706990203
FUCA2,-0.156354819038302,158,0.0167629957350687,0.0773212055527492
DBNDD1,0.112867667811104,118,0.136504580042597,0.311293203223577
HS3ST1,0.00606249387361089,120,0.935710850263451,0.967996120121335
SEMA3F,0.0197700804644161,123,0.7899588090368,0.890056521404989
CFTR,0.140612051306276,162,0.0293735879755595,0.111883270541896
CYP51A1,-0.0113551742329146,135,0.872570383244998,0.934762224815376
USP28,0.078942205988598,162,0.221324299599589,0.422646132635006
SLC7A2,-0.0176895156397433,141,0.798382340540851,0.895296836185459
HSPB6,0.0636785310403712,85,0.477318610244935,0.667606713236483
PDK4,0.146660952600151,140,0.0348418127816819,0.125002091426504
USH1C,0.0648296456145723,156,0.324444294890742,0.532804746197704
RALA,NA,NA,NA,NA
BAIAP2L1,0.0460479147599952,144,0.50153287668369,0.686886687265815
CACNG3,0.145848382742277,60,0.173587143316033,0.362761703582894
TMEM132A,-0.142849470787917,147,0.0351327348919659,0.125676531035673
DVL2,-0.0127126743141478,110,0.871448056008401,0.934316640432676
RPAP3,-0.209235380529639,157,0.00142006673234387,0.0137923908816438
HOXA11,0.137102985972106,69,0.16921014584732,0.356667122827179
TRAPPC6A,0.0164572292012099,110,0.834070578312799,0.915263289475991
SPATA20,-0.120337676408258,158,0.0656381647815675,0.19212876643672
CD79B,0.0255073756889255,148,0.705807978192288,0.835203476468202
RHBDD2,-0.0228107602167603,134,0.748215044480456,0.862493222891553
RPUSD1,0.0124078504496381,147,0.854799563384357,0.925420620436193
TSR3,-0.193081007264538,117,0.0112095218520746,0.0583159202974277
NDUFAB1,-0.088368176405333,118,0.243719281138238,0.447100373350221
YBX2,0.149832286810042,109,0.0576479573662838,0.176298338982207
ITGA3,0.21430807925841,161,0.000933681367243044,0.0102316909664764
KRT33A,-0.171029607796643,106,0.0326508090593172,0.120105935442159
LRRC23,0.0978200809868042,151,0.143613390175946,0.321842561686374
TFAP2D,0.0493768128375,58,0.650777085115973,0.798788484646255
CRY1,-0.164884661944478,114,0.0325723471500318,0.119950880270372
PGLYRP1,-0.0507614432448985,137,0.470056716635982,0.661941283510453
STARD3NL,-0.0801071607960737,99,0.33385443443022,0.540652748013106
CD74,0.0279025783445481,138,0.690225094361791,0.825149024734098
RPS20,NA,NA,NA,NA
MGST1,-0.098146135164764,129,0.175509315196661,0.365479382157099
CPA1,-0.151749693977935,153,0.0223763211455153,0.0930742830626692
SYPL1,0.0533979830627764,147,0.430963595105439,0.630321985027048
RANBP9,-0.0445452546284436,118,0.556777427337692,0.730525859858134
CD4,0.128574372272986,167,0.0430914965640102,0.144140828970278
PLEKHG6,-0.0583432074393229,164,0.363078544049109,0.56910751916452
QPCTL,-0.105952804735086,131,0.140498988969662,0.317164004404659
PPP5C,-0.0271036792753605,92,0.752796642949991,0.865762503941907
UBR7,-0.0546251411541151,133,0.443812915399678,0.639509631704374
MAP4K5,-0.0595996871681628,113,0.441831208969451,0.638070981818038
ERCC1,-0.108414717101442,92,0.207735865563222,0.406028163258025
GPRC5A,-0.190815237673416,152,0.00420507904861666,0.0299027843457184
HEBP1,-0.0173075982839993,116,0.820934514154109,0.908723316795018
COX15,-0.0849806587753612,135,0.22999522472036,0.432061096787969
MS4A12,-0.047437871130988,80,0.607811258601815,0.766135665226176
XYLT2,0.0946487641241305,154,0.152939385732856,0.334959835842679
FTSJ1,-0.234532241887046,117,0.00206614505382259,0.0178324384416923
SCTR,0.0928136527220835,155,0.159689437193361,0.343999829958336
RALBP1,-0.35376569792373,124,1.7016562679468e-06,0.000109460664026119
SYT13,-0.0779424284884801,138,0.265579848259015,0.471678128128438
SNAI2,0.0817186934682352,76,0.389176941726828,0.592405909570174
SLC7A9,-0.186778061068515,139,0.00741398161330954,0.0442053779738727
RTF2,0.0386753057799914,133,0.587697711285116,0.75327808238622
RB1CC1,-0.18650367668641,154,0.0048585831579324,0.0333461534415622
AKAP11,-0.167705911373044,166,0.00852692832930834,0.0486220046890383
B4GALT7,0.0585188156086495,118,0.440130945526529,0.636610591772784
FAM13B,-0.274413724518838,143,6.57935593264212e-05,0.00152005148999848
CHPF2,-0.08675464118464,137,0.216977006866106,0.416956086543756
GABARAPL2,NA,NA,NA,NA
MYOC,0.134642713147901,150,0.0448326733281808,0.148006471579509
FAM136A,-0.0925323148852078,92,0.282259777809391,0.489650530480776
NSMAF,-0.0735039492957095,157,0.262360079338383,0.467622591719125
OTC,-0.0651318811564088,119,0.388189562468968,0.591803757675802
TTC17,-0.0110608710826282,134,0.876309710290808,0.936464486560318
HOXC8,NA,NA,NA,NA
MRI1,-0.115106934682094,137,0.101403271819218,0.25706320560847
TARBP1,0.193550452789238,165,0.00247351528000912,0.0204797258864396
RTN4R,0.132965427308,135,0.0603583308450363,0.181440800600836
PSMA4,0.119959484669902,42,0.352504553634772,0.559383350858938
ZPBP,0.134607894623079,131,0.0611287060289777,0.182864058443716
LCP2,0.0433265181904808,157,0.508825514108228,0.693409349767927
DCN,0.312431860937085,126,2.03265700929114e-05,0.000650450242973164
TNFRSF17,-0.0480248013941506,129,0.507403056513871,0.692274445225332
MRPS10,-0.204580244926104,131,0.0044276945146987,0.0311232804859601
GRN,-0.151541762464788,160,0.0196456530222907,0.0861369626435905
THAP3,-0.061229724437123,138,0.38180157565589,0.586012436786606
VAMP3,0.139519480683959,95,0.0993422478534653,0.253335500952796
RCN1,-0.0926086298318479,107,0.24510080959208,0.448597791725726
RFC2,-0.152152430902066,128,0.036449360518017,0.128703948863619
PPP1R3F,-0.0561093609829354,118,0.459186583445931,0.652363896567653
NFE2L3,-0.214251712849681,163,0.000869534579386,0.00974664748871087
CBLN4,0.16714982186387,71,0.0889730117018133,0.235089003118226
CLDN11,0.136559713358428,73,0.158673023060934,0.342461003810598
FAM168A,0.202264451852185,38,0.136911211912213,0.311817298819148
RELT,-0.0117638206821671,163,0.854939352387104,0.925431180596611
PKP2,0.0980421716147418,142,0.155364148150425,0.338201316713052
YIPF1,-0.0756425083045658,132,0.290807776700586,0.499156594764973
ADCK2,-0.217313107384052,149,0.00125059898379687,0.0125696974943906
INPP4A,0.101582110095975,138,0.146791142014887,0.325896574377886
SLC2A3,-0.0992584623412104,124,0.17932649693555,0.370289296883668
STYK1,0.0119673148267014,158,0.854741450071849,0.925420620436193
GNA11,-0.058975375539502,59,0.58542179983666,0.75142357109482
CREB3L3,-0.36059291416438,143,1.5681272477288e-07,2.04010784229111e-05
HDAC7,-0.121663604724095,148,0.071775461654701,0.203214435851483
MRPS35,-0.196415507312782,142,0.0044206438128107,0.0311012671085689
APPBP2,-0.0336729404383583,60,0.753392655455414,0.866008707082005
CA11,-0.0319859896436173,96,0.704053619904865,0.833557475410794
ISOC2,-0.163898396555417,118,0.0306085464444149,0.114796514453155
CD22,-0.0194473393263829,176,0.753375534894878,0.866008707082005
GSC2,-0.127667432876984,98,0.125480395204845,0.295166916932868
KCNQ1,0.200890822372703,138,0.00411190708067731,0.0293322198582068
TRIB2,0.189868352283188,65,0.06486677321162,0.190519138492752
OTUD5,0.164450607721301,87,0.0632888154781326,0.187410462550172
GPKOW,-0.0457376448492839,138,0.513563672096124,0.696929087167381
AQR,0.0725864477463172,147,0.284373529337811,0.491675017173174
LMCD1,0.0200528643511745,120,0.789619540850139,0.889737423851583
PSMC4,0.0545041037249196,43,0.668892412541639,0.810980088817969
FNDC8,0.0171884553919371,142,0.80328588594237,0.898376097919764
ACAP1,0.0129882541036577,142,0.850698641391609,0.923414496928863
DERL2,0.0493395693718411,47,0.685070662318077,0.822064077441031
NOX3,-0.0385619984341076,162,0.550225123835239,0.725685856027211
ANO8,-0.244884136194298,133,0.000597066283585215,0.0074738799548975
ICAM3,-0.214832241355306,158,0.00101464598312189,0.0108083631168528
CTTNBP2,0.108775516418691,168,0.0860687612537429,0.230085908765929
ACTL6B,-0.165308610269587,44,0.189253564075193,0.383385597569971
KIF22,0.00557364766619919,145,0.934937332422838,0.967613806743303
PRSS22,-0.0441088447013102,154,0.505374528419357,0.690420426499573
YTHDC2,0.0196611223835875,137,0.779632721109523,0.883122206027907
TMEM161A,-0.134472101897707,138,0.0547635632211309,0.170265871781741
FOXJ2,-0.158404438577631,137,0.0241800884046762,0.09773016632519
GOLGA5,-0.132252204704616,159,0.0423947378972656,0.142621721048198
PPP2R5B,-0.0909068734140749,73,0.348076437213764,0.554960973538976
PYGM,0.0838763439209029,123,0.258445190458245,0.463821391936635
BCL3,-0.0819765393122349,122,0.271373429462257,0.478210177908842
PRLH,-0.168342728529921,125,0.0222098412204563,0.0927992868447638
FSTL3,-0.125887326795111,105,0.117606834473433,0.28372939303273
EPHA8,0.0559914390826202,141,0.418784983405756,0.619531667127985
TRIP13,-0.0801519130103136,130,0.266704513191659,0.472711784855167
VASH1,0.164781793827457,115,0.0319134090154474,0.11812724531091
KRT14,0.209039855747771,137,0.00293132835227257,0.0232746591332017
KRT20,0.0592372455241449,134,0.404512793058011,0.605703457574412
HSD17B10,0.13810054939147,127,0.0586059467330855,0.178119764903479
FGF4,-0.175620985616322,101,0.0323273502368628,0.119242319999881
