,X_Omnivore...Carnivore.Rho,X_Omnivore...Carnivore.P,X_Omnivore...Carnivore.p.adj,X_Omnivore...Herbivore.Rho,X_Omnivore...Herbivore.P,X_Omnivore...Herbivore.p.adj,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj,X_Omnivore...Insectivore.Rho,X_Omnivore...Insectivore.P,X_Omnivore...Insectivore.p.adj,Carnivore...Insectivore.Rho,Carnivore...Insectivore.P,Carnivore...Insectivore.p.adj,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj
A1BG,1.75891892009417,0.47154768644288,1,1.66006563243217,0.581407498780076,1,-0.499570783074016,1,1,0.104347088708446,1,1,-1.25988679336075,1,1,-1.04184502992465,1,1
A1CF,-0.0711750235353906,1,1,-0.160293996018125,1,1,-0.0570672719975889,1,1,-0.259825965619672,1,1,-0.176372667029579,1,1,-0.159321030870291,1,1
A2M,1.73948569487253,0.491696197872826,1,0.408504021506037,1,1,-1.58076656745587,0.683588528728524,1,3.46530968165237,0.00317772740879803,0.179783803430076,1.84464334102847,0.390536627447921,1,3.43444003737238,0.003562676553907,0.393866616879254
A2ML1,-3.35894791653722,0.004694388717655,0.183269331688198,-1.32925380777011,1,1,2.55973726121456,0.0628507948774497,0.886411841903226,1.17531866125824,1,1,3.90733414090025,0.000559920351062212,0.140017920221706,2.30199529086487,0.128012626472712,1
A3GALT2,-0.988440511820504,1,1,-0.208067223457632,1,1,0.93302016350014,1,1,0.850179842977653,1,1,1.56995510641056,0.69855333550082,1,1.06994288862891,1,1
A4GALT,0.405728006803037,1,1,0.631858340697096,1,1,0.0819775871845517,1,1,1.5646134965432,0.706041374055462,1,1.11423287425462,1,1,1.24811803149361,1,1
A4GNT,0.50982277371336,1,1,-0.553610807412277,1,1,-1.04940328852326,1,1,-0.796112603507737,1,1,-1.1444574574971,1,1,-0.480719547343433,1,1
AAAS,1.06849215728581,1,1,1.26291740934319,1,1,-0.190746695663489,1,1,-0.583820308061646,1,1,-1.42511585096765,0.924742292480344,1,-1.60729364755931,0.647939802914762,1
AACS,-1.44688272458788,0.887578633997758,1,-1.26558637326135,1,1,0.547171255738459,1,1,-2.4923028202613,0.0761506672205377,0.846453406230566,-1.19937756906448,1,1,-1.83381381986211,0.400089813538749,1
AADAC,-1.2246079562388,1,1,0.464564765148237,1,1,1.76746922893591,0.462898067454558,1,0.786060048217058,1,1,1.74237296142097,0.488659224001008,1,0.51791835761387,1,1
AADACL2,-4.00038944969489,0.000379429947229417,0.0482865543924461,-2.05478640926321,0.239397836872443,1,2.8418638160095,0.0269103873553012,0.593030755389265,-1.86918683759852,0.369580949168525,1,1.77930347195637,0.451140132374593,1,-0.49420419155956,1,1
AADACL3,-0.857361379823122,1,1,-0.125603616197437,1,1,0.844822993989494,1,1,-1.92084404877344,0.328508227953085,1,-1.07358970816425,1,1,-1.9884648772813,0.280561798475228,1
AADACL4,-1.54874697860273,0.728655335156988,1,-1.01083795915786,1,1,0.813248662175749,1,1,-1.1245001245363,1,1,0.0750385898547926,1,1,-0.527606393529786,1,1
AADAT,0.156595920075955,1,1,-2.56660539794004,0.0616196453821737,1,-2.39077820177458,0.100876237212742,1,-0.552747962229445,1,1,-0.643425001017966,1,1,1.3266170354788,1,1
AAGAB,-0.87447872398551,1,1,-0.404558213771423,1,1,0.633534258733795,1,1,2.08469003089519,0.222584676949816,1,2.62174502139722,0.0524885120763614,1,2.56838177342406,0.0613047351824471,1
AAK1,-1.94158524293878,0.313123984745626,1,0.800271722149908,1,1,2.84411434257311,0.0267210376392271,0.590588425105684,-0.0842941943402842,1,1,1.55603891260898,0.718193037266547,1,-0.69536681370822,1,1
AAMDC,0.510670429354626,1,1,1.92081776164743,0.32852811864238,1,0.878338404770042,1,1,1.25469140425716,1,1,0.571694067262337,1,1,-0.224647706447106,1,1
AAMP,-1.11647473789178,1,1,-0.0817972417699052,1,1,1.18720652301349,1,1,1.37204283838925,1,1,2.26404167592378,0.141429309765988,1,1.59948343067326,0.658279364199133,1
AANAT,-2.83072170542376,0.0278658667508528,0.481619433816478,-0.113193221440731,1,1,3.06528242514463,0.013047872280724,0.406834415002169,-1.02380747931256,1,1,1.22882985593078,1,1,-1.02544153474748,1,1
AAR2,0.758281668951292,1,1,1.06915715911601,1,1,0.0182878514966546,1,1,-0.482931969363258,1,1,-1.06288872425775,1,1,-1.31962612186268,1,1
AARD,-2.00680413385271,0.268623135236834,1,-0.301659974787462,1,1,1.88747764341068,0.354576663474756,1,-1.28251944366628,1,1,0.026878140055649,1,1,-1.15743833596268,1,1
AARS1,1.13559388711358,1,1,2.07990570170121,0.225205097766586,1,0.556378738438308,1,1,1.58171809988854,0.68228363316805,1,0.554780853050791,1,1,0.17719115242609,1,1
AARS2,-0.611912902151676,1,1,1.79353828341717,0.437321369227852,1,2.17914317811042,0.175926201140689,1,2.11391288194423,0.207136252668395,1,2.43412406921218,0.0895672638974305,1,0.976078376455981,1,1
AARSD1,1.57534384908576,0.691062586467588,1,1.62639531207135,0.623193524788191,1,-0.370035323001966,1,1,0.583972645462032,1,1,-0.775288262591642,1,1,-0.588697973058468,1,1
AASDH,2.14802937609537,0.190268531247746,1,1.52942807030844,0.756950148634524,1,-1.10242457387261,1,1,3.86590685829825,0.000664063044150574,0.0820642931147838,1.8753946952996,0.364430666277962,1,3.10214128664807,0.0115275742588826,0.646940464564626
AASDHPPT,1.07837604763097,1,1,0.706299654302457,1,1,-0.636589402310705,1,1,1.70772406246758,0.526125330830034,1,0.54927304967223,1,1,1.35090290625234,1,1
AASS,1.32588239987194,1,1,-0.475338361248474,1,1,-1.88875172324499,0.353550626297897,1,-0.700026173670018,1,1,-1.76663310906504,0.463738154280315,1,-0.403078905471523,1,1
AATF,-1.01167558745588,1,1,1.36636597388894,1,1,2.27053761711932,0.139049901625152,1,1.43722832517175,0.903918762441982,1,2.14312430811884,0.192618708349784,1,0.571471905938499,1,1
AATK,-0.945583564182585,1,1,1.64911761293116,0.594741251889558,1,2.34056094787841,0.115528772318717,1,-0.6540401149697,1,1,0.116233160593197,1,1,-1.74895448326014,0.481793325602791,1
ABAT,1.79514384155039,0.435784711312343,1,1.01690244679688,1,1,-1.16085095062888,1,1,1.8627695609766,0.374968165929084,1,0.0832534485144733,1,1,1.24342840999417,1,1
ABCA1,0.610482810488948,1,1,0.603188477546673,1,1,-0.176183235004435,1,1,-0.71108551510448,1,1,-1.13647992562504,1,1,-1.18962747794383,1,1
ABCA10,-1.55235530989514,0.723463382439764,1,-1.23318109916788,1,1,0.845097927822013,1,1,-1.12739181672556,1,1,0.448796203619108,1,1,-0.326468882830422,1,1
ABCA12,-3.07674888679317,0.0125562909503175,0.311884783940436,-2.67194494081952,0.0452478126227335,1,1.18373914752724,1,1,-0.186782711201544,1,1,2.25025443405585,0.146596791814836,1,1.6412921134483,0.604420754497702,1
ABCA13,-3.41150472763163,0.0038763228587759,0.165124201807355,-0.936545347364424,1,1,2.97587064414601,0.0175294840263086,0.486410163723603,-3.18383852683132,0.00872016364882045,0.290000137690253,0.0598404595022746,1,1,-2.74382756612591,0.0364364564386773,1
ABCA2,-2.0969413753043,0.215992591678188,1,-0.531807884547404,1,1,1.84331330248563,0.39169968015139,1,-1.83252976547992,0.401235187773438,1,-0.231814615955009,1,1,-1.60468500264515,0.651378864381471,1
ABCA3,-1.24232941311987,1,1,-1.77801716131725,0.452406218253084,1,-0.0936916593687726,1,1,0.767292787420906,1,1,1.70572142426755,0.52835975284023,1,2.10796491947618,0.210204143832794,1
ABCA4,-1.70755131648267,0.526317769421971,1,0.0700499622213402,1,1,1.94765352882985,0.30873860474471,1,-1.24501703439548,1,1,0.133072557775733,1,1,-1.37399881403625,1,1
ABCA5,0.469334220712864,1,1,-0.637722083940711,1,1,-1.04364424696493,1,1,-0.0689866540897982,1,1,-0.443440176867347,1,1,0.385375855024535,1,1
ABCA6,-0.0496870184808197,1,1,-1.48040481018398,0.83259148251159,1,-1.11618438720993,1,1,-1.75972447551349,0.470727202979133,1,-1.52163167667305,0.768608374956657,1,-0.836692967326116,1,1
ABCA7,-3.00031681133241,0.0161819356664988,0.360345029492853,0.263530685809669,1,1,3.35720433116131,0.00472409417044514,0.214448402281408,0.152831241415382,1,1,2.59111828933531,0.0573987616004683,1,-0.0102775905422678,1,1
