,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.0111802949141747,275,0.0800739160385983,0.237958789619052
FKBP4,0.00916784865274742,310,0.0923534562092515,0.259525120728558
CYP26B1,0.00056158447047033,226,0.722240060286503,0.853329440286646
NDUFAF7,0.0114706971783858,322,0.0549997419730028,0.188561586878259
FUCA2,0.0087207385717693,340,0.0855418788961793,0.247602162264071
DBNDD1,0.0111457317866417,270,0.0833569851681432,0.243894193118393
HS3ST1,0.000309715343682789,263,0.775751132658716,0.884581010221362
SEMA3F,0.0145858838473036,288,0.0407555853153083,0.156977903787472
CFTR,0.000935145010698366,346,0.570034353059243,0.755008065441015
CYP51A1,0.00388909805961471,293,0.286580463931392,0.513747071547013
USP28,0.015158783837207,332,0.0250915394782206,0.115757008539378
SLC7A2,0.00224781330337228,313,0.402341264897616,0.624147575246004
HSPB6,3.57416077085191e-06,228,0.977276181657496,0.988517553046129
PDK4,0.00620974118523968,275,0.192095964891148,0.403653860266656
USH1C,0.0061215789110564,336,0.15213333594226,0.35302916243268
RALA,NA,NA,NA,NA
BAIAP2L1,0.0017869165963013,309,0.458166424469977,0.670769731600011
CACNG3,NA,NA,NA,NA
TMEM132A,0.00857141297230022,337,0.0896863136945942,0.255080972011654
DVL2,0.00128221457557747,272,0.555543033759113,0.744041635495324
RPAP3,0.00247033851172339,328,0.368771276259107,0.595023635536716
HOXA11,0.0115428571428566,201,0.128662250212791,0.318721949907313
TRAPPC6A,0.00122986409420855,257,0.574722080093427,0.758706651538638
SPATA20,0.00225862771852537,336,0.384381986025198,0.60771232508263
CD79B,0.00193767770690859,339,0.418353771307036,0.637299732463165
RHBDD2,0.0019187913437604,264,0.477467484068478,0.684780313267351
RPUSD1,0.00296272342830467,290,0.35479667737693,0.581796907057459
TSR3,0.00347677634177954,289,0.316993350333342,0.545708570131113
NDUFAB1,0.0173184206246958,254,0.0363297237377575,0.145988790979332
YBX2,0.0277541900399705,253,0.00817808318400724,0.0556683364596162
ITGA3,0.0447339240273129,341,9.62164191394312e-05,0.00271534485738673
KRT33A,0.0095500195319191,224,0.144473330702929,0.34120393808386
LRRC23,0.0055278985624853,325,0.180799606032648,0.390812425877267
TFAP2D,NA,NA,NA,NA
CRY1,0.00790403550773154,260,0.152491895429931,0.353424881562866
PGLYRP1,0.000591208758256931,280,0.684641958271473,0.830768525995553
STARD3NL,0.00669432837910304,218,0.228100129935424,0.447189263864273
CD74,0.00773006467313867,328,0.111860953786826,0.29237843943899
RPS20,NA,NA,NA,NA
MGST1,0.0418473679040735,289,0.000517356775264274,0.00848156793384345
CPA1,0.0130142649912222,326,0.0397239561226487,0.154348611942188
SYPL1,6.41998011675381e-07,313,0.988708030361549,0.994794423054307
RANBP9,0.00696051212092913,278,0.164970643477529,0.369230258785272
CD4,3.25401523681357e-05,338,0.91659892754438,0.961418671420539
PLEKHG6,0.0130252469608026,355,0.0317686623328383,0.133998702804737
QPCTL,0.00525730534241203,274,0.230910459608949,0.450584035964153
PPP5C,0.00292913564525576,216,0.427441833374284,0.645660673975892
UBR7,0.00566876891432763,313,0.183548509343292,0.393450863690427
MAP4K5,0.0124733099794233,275,0.0645013295310253,0.208986531385052
ERCC1,0.00797139640179162,170,0.245774173582662,0.466335173269714
GPRC5A,0.0156411093676108,328,0.0237247503541184,0.112255843635896
HEBP1,6.32966257736118e-05,264,0.897339210239812,0.95163902280669
COX15,0.000538578114408402,309,0.683797787678763,0.830554711900287
MS4A12,0.00160346279224282,222,0.551652393730664,0.741370725223701
XYLT2,0.00133322803115282,317,0.51628905253812,0.715748918088719
FTSJ1,0.0857340776275953,250,3.83063015859268e-06,0.000285732123174712
SCTR,0.000645687517895357,326,0.646886218500666,0.808479926294024
RALBP1,0.0456919569507708,301,0.000213589869010934,0.00464954878820423
SYT13,5.32192574850118e-05,310,0.897961350919005,0.951896005200499
SNAI2,0.000355819125278039,191,0.794855416612919,0.894966952965032
SLC7A9,0.055525766151295,316,2.88729241056062e-05,0.00118948536924932
RTF2,0.000159509945371891,302,0.826558492753219,0.912446763501141
RB1CC1,0.00224755620822702,336,0.38554973844967,0.60898229170879
AKAP11,0.0039361435234782,360,0.23454650886382,0.454494311054801
B4GALT7,0.000736658281074075,271,0.655612036724471,0.813000016182242
FAM13B,0.0573498346313881,311,2.48178525856569e-05,0.00109438724143848
CHPF2,0.00267661233846518,290,0.37912385042893,0.603587648374782
GABARAPL2,NA,NA,NA,NA
MYOC,0.0356478883304499,304,0.00101428285810502,0.0134542157083985
FAM136A,0.0120848235661713,214,0.108628103746528,0.287021752949665
NSMAF,0.0142824174974216,327,0.0309439749164107,0.131665124736295
OTC,0.00701181952026106,274,0.166494501683002,0.371395612195119
TTC17,0.00125236202515127,299,0.541263035647056,0.7327488150478
HOXC8,NA,NA,NA,NA
MRI1,0.00294916376663426,299,0.348516628602625,0.576073752439789
TARBP1,0.00802767459152646,341,0.0985157121422817,0.270663055536871
RTN4R,0.00212497509794866,295,0.429290317426861,0.647661132050537
PSMA4,NA,NA,NA,NA
ZPBP,0.00162801557681708,301,0.484639807570251,0.689468199493717
LCP2,3.55863504405153e-05,324,0.914620876154936,0.960013549821428
DCN,6.08396300438302e-05,312,0.890592849228854,0.949102344878655
TNFRSF17,0.000591959114762933,299,0.674482134871959,0.824358983350115
MRPS10,0.0222338417191357,287,0.0116795329851601,0.0695269744647079
GRN,0.0390294777966521,346,0.000243033162845927,0.00503170640812994
