"","HI-Rho","HI-P","HI-p.adj","HI-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","HV-Rho","HV-P","HV-p.adj","HV-significant","IO-Rho","IO-P","IO-p.adj","IO-significant","IV-Rho","IV-P","IV-p.adj","IV-significant","OV-Rho","OV-P","OV-p.adj","OV-significant","HI-HO-Overlap","HI-HV-Overlap","HI-IO-Overlap","HI-IV-Overlap","HI-OV-Overlap","HO-HV-Overlap","HO-IO-Overlap","HO-IV-Overlap","HO-OV-Overlap","HV-IO-Overlap","HV-IV-Overlap","HV-OV-Overlap","IO-IV-Overlap","IO-OV-Overlap","IV-OV-Overlap","HI-HO-HV-Overlap","HI-HO-IO-Overlap","HI-HO-IV-Overlap","HI-HO-OV-Overlap","HI-HV-IO-Overlap","HI-HV-IV-Overlap","HI-HV-OV-Overlap","HI-IO-IV-Overlap","HI-IO-OV-Overlap","HI-IV-OV-Overlap","HO-HV-IO-Overlap","HO-HV-IV-Overlap","HO-HV-OV-Overlap","HO-IO-IV-Overlap","HO-IO-OV-Overlap","HO-IV-OV-Overlap","HV-IO-IV-Overlap","HV-IO-OV-Overlap","HV-IV-OV-Overlap","IO-IV-OV-Overlap","HI-HO-HV-IO-Overlap","HI-HO-HV-IV-Overlap","HI-HO-HV-OV-Overlap","HI-HO-IO-IV-Overlap","HI-HO-IO-OV-Overlap","HI-HO-IV-OV-Overlap","HI-HV-IO-IV-Overlap","HI-HV-IO-OV-Overlap","HI-HV-IV-OV-Overlap","HI-IO-IV-OV-Overlap","HO-HV-IO-IV-Overlap","HO-HV-IO-OV-Overlap","HO-HV-IV-OV-Overlap","HO-IO-IV-OV-Overlap","HV-IO-IV-OV-Overlap","HI-HO-HV-IO-IV-Overlap","HI-HO-HV-IO-OV-Overlap","HI-HO-HV-IV-OV-Overlap","HI-HO-IO-IV-OV-Overlap","HI-HV-IO-IV-OV-Overlap","HO-HV-IO-IV-OV-Overlap","HI-HO-HV-IO-IV-OV-Overlap","HI-HO-Delta","HI-HV-Delta","HI-IO-Delta","HI-IV-Delta","HI-OV-Delta","HO-HV-Delta","HO-IO-Delta","HO-IV-Delta","HO-OV-Delta","HV-IO-Delta","HV-IV-Delta","HV-OV-Delta","IO-IV-Delta","IO-OV-Delta","IV-OV-Delta"
"MasterTree",-3.16940204456757,0.00916517625530609,0.145844981020235,FALSE,-1.572221088516,0.695395717988857,1,FALSE,-1.69378761312405,0.541833892380335,1,FALSE,1.65087330325403,0.592586688805277,1,FALSE,0.92791389336748,1,1,FALSE,-0.445666015479746,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.12937748480608,1.04341697089045,3.408449385631,2.89723988437759,1.92597221633012,0.0859605139156295,2.27907190082492,1.76786239957152,0.796594731524044,2.36503241474055,1.85382291348715,0.882555245439674,0.511209501253402,1.48247716930088,0.971267668047473
"ARF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6PR",-2.49553146819776,0.0754611595957588,0.535701791911855,FALSE,-0.43329928168656,1,1,FALSE,-2.30382523025187,0.127394737363538,0.950435225525208,FALSE,1.98633183666917,0.281978938878038,1,FALSE,-0.485736589316578,1,1,FALSE,-1.95511541275497,0.303416696808751,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.45821836346323,0.1355567808473,3.16915593522256,1.42113958765088,0.382131857465681,1.32266158261593,1.71093757175933,0.0370787758123508,1.07608650599755,3.03359915437526,1.28558280680358,0.246575076618381,1.74801634757168,2.78702407775688,1.0390077301852
"FKBP4",-0.674001727916145,1,1,FALSE,1.67608331946062,0.562331241382484,1,FALSE,-0.0997920138403306,1,1,FALSE,2.13798572717603,0.195107409942812,1,FALSE,0.419425826105021,1,1,FALSE,-1.32235064033407,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.66176107336522,0.406027582646197,1.98837539810718,0.773170038184586,0.458451912545641,1.25573349071902,0.326614324741964,0.888591035180632,2.12021298591086,1.58234781546099,0.367142455538389,0.864479495191837,1.2152053599226,2.44682731065282,1.23162195073023
"CYP26B1",0.865769516916208,1,1,FALSE,0.174578213520209,1,1,FALSE,-2.22922880363269,0.154792109902708,1,FALSE,-0.664373896460192,1,1,FALSE,-2.71426863560541,0.0398533675973808,0.713729413390849,FALSE,-2.28972513796606,0.132223531378671,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.488746057728479,2.1884943002211,1.08197478378638,2.53146925455459,2.23127166846516,1.69974824249262,0.593228726057903,2.04272319682611,1.74252561073668,1.10651951643472,0.34297495433349,0.0427773682440567,1.44949447076821,1.14929688467878,0.300197586089433
"NDUFAF7",1.25625111398035,1,1,FALSE,-1.26356694191227,1,1,FALSE,-0.467319422057237,1,1,FALSE,-2.33143366086778,0.118383025948485,0.827266470526242,FALSE,-1.39940608407967,0.970147460812081,1,FALSE,0.48069573670327,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.78178043467797,1.21874841388551,2.53687623305485,1.8778332132551,0.548400466458313,0.563032020792464,0.755095798376873,0.0960527785771323,1.23337996821966,1.31812781916934,0.659084799369596,0.670347947427196,0.659043019799741,1.98847576659653,1.32943274679679
"FUCA2",1.46298931295419,0.860821819653257,1,FALSE,0.480353129404919,1,1,FALSE,-0.453761810755742,1,1,FALSE,-0.988209056559514,1,1,FALSE,-1.51025657943914,0.78586779921513,1,FALSE,-0.786910918637999,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69482870882696,1.35534771742223,1.73325898911655,2.10240233264638,1.59091971075202,0.66051900859527,1.03843028028959,1.40757362381942,0.896091001925062,0.377911271694321,0.747054615224147,0.235571993329792,0.369143343529826,0.142339278364528,0.511482621894354
"DBNDD1",-2.17699947694192,0.176883638800502,0.880744410561302,FALSE,0.384204942738361,1,1,FALSE,-1.14005199675,1,1,FALSE,2.3990869504088,0.0986160678978177,0.752043973186331,FALSE,0.457338082020569,1,1,FALSE,-1.36446405282205,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.81104501316088,0.733232594978008,3.23578174407541,1.86275795187679,0.574549308349445,1.07781241818287,1.42473673091453,0.0517129387159098,1.23649570481143,2.50254914909741,1.12952535689878,0.158683286628563,1.37302379219862,2.66123243572597,1.28820864352734
"HS3ST1",-0.137924310136254,1,1,FALSE,0.602225928292842,1,1,FALSE,0.152930165370871,1,1,FALSE,0.669317226033252,1,1,FALSE,0.240781948099619,1,1,FALSE,-0.263732010439794,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.523365252690054,0.205665171969545,0.570805964280903,0.26778576327637,0.0889594780101179,0.317700080720509,0.0474407115908494,0.255579489413684,0.612324730700172,0.365140792311358,0.0621205913068249,0.294624649979663,0.303020201004533,0.659765442291021,0.356745241286488
"SEMA3F",1.52958554730473,0.756716094608021,1,FALSE,0.338047975837754,1,1,FALSE,0.684002870827073,1,1,FALSE,-1.17243993165596,1,1,FALSE,-0.456260656761407,1,1,FALSE,0.434571049904477,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.84254429682285,0.597917244591222,1.91062053911194,1.40420531728873,0.774292176609298,0.244627052231628,1.06807624228909,0.561661020465881,0.0682521202135515,1.31270329452071,0.806288072697508,0.176374932018076,0.506415221823204,1.13632836250264,0.629913140679432
