,Rho,N,P,p.adj
ARF5,0.130345716764667,36,0.351546249942842,0.577619175400256
M6PR,0.263450703680797,152,7.75225314854786e-05,0.00221615998738646
FKBP4,0.0417139958931923,204,0.467759883221911,0.679322636604602
CYP26B1,-0.0376865761169982,125,0.60869809687615,0.783668582388048
NDUFAF7,0.131045472981455,216,0.0188784124119727,0.0952678041051264
FUCA2,-0.125348901116146,224,0.0221696529069059,0.105226326198547
DBNDD1,0.0364680407029384,164,0.569694310109247,0.757866815515564
HS3ST1,0.0537067788748872,163,0.403915101029291,0.626093513683063
SEMA3F,-0.00719137552096118,180,0.906454579780694,0.957367712495294
CFTR,0.196400302036884,237,0.000226487374136959,0.00483240308185318
CYP51A1,-0.0670386818166175,187,0.264086402139867,0.489630865920889
USP28,0.126421818226596,226,0.0204821820352774,0.10027051906065
SLC7A2,-0.0403223720887776,204,0.482738875760627,0.692085126234212
HSPB6,0.0915753514728115,117,0.22904115443812,0.449458604393158
PDK4,0.00683728015290559,186,0.909560650545343,0.958741108553979
USH1C,0.0961095292777672,225,0.0787790182552811,0.23699007025585
RALA,0.238627443817883,39,0.0752503889314024,0.230704284885398
BAIAP2L1,0.0701853152377833,197,0.229989982408142,0.450611341091934
CACNG3,0.323218972413499,73,0.000849268404475597,0.011816130101412
TMEM132A,-0.0551260101144334,213,0.32672192333836,0.553026982235176
DVL2,0.0731884322803832,159,0.261354656145321,0.486874798466786
RPAP3,-0.11122984280701,221,0.0437963764853476,0.162964231000448
HOXA11,0.210952584923091,102,0.00976952719090637,0.0620032855277265
TRAPPC6A,-0.0706094562241911,155,0.28474282022578,0.511401260170601
SPATA20,-0.00425863719986397,231,0.937088288743932,0.972000108863366
CD79B,0.0465058300931032,218,0.402523636909251,0.624952646615139
RHBDD2,-0.0253552716126009,185,0.674412742737286,0.826784131512772
RPUSD1,0.0158624393282305,195,0.787235822640943,0.893954424070831
TSR3,0.0142417395657978,174,0.819052496512151,0.91200260465518
NDUFAB1,-0.0576287263249715,158,0.378000977454558,0.601690841948437
YBX2,0.224631397072706,159,0.000566150874171464,0.00894419056476147
ITGA3,0.227635489266688,229,2.6625951896629e-05,0.000987712752986779
KRT33A,-0.121639089756517,138,0.0823085467441314,0.243056883617349
LRRC23,0.221092808488202,219,6.63648214843968e-05,0.00198469998420773
TFAP2D,0.086137110386865,71,0.38076271382578,0.604267380600582
CRY1,-0.157266934001548,150,0.0191125011573062,0.0960007843999929
PGLYRP1,-0.0563144083704249,180,0.357461161427305,0.58273035960728
STARD3NL,-0.0318942531948854,130,0.658513743449838,0.816922872672428
CD74,0.199172726062472,203,0.000543251095976691,0.00874434658856622
RPS20,-0.133999628017549,35,0.34539239624361,0.571913918757041
MGST1,-0.221016285806974,171,0.000433058558289755,0.00740447908366946
CPA1,-0.062783825679586,222,0.254058033949175,0.478284166351008
SYPL1,0.0780287327073199,211,0.16709376923055,0.373112399153875
RANBP9,-0.0396877565112608,162,0.538644767104927,0.734829169130175
CD4,0.0846049270164369,237,0.112176823927611,0.292445924127225
PLEKHG6,0.126665579216154,242,0.0162455593601471,0.0862792502190775
QPCTL,-0.058118158833891,186,0.334264683898936,0.560991475138443
PPP5C,0.0729534858132591,131,0.310165994425232,0.53624246536874
UBR7,0.0927132241697092,191,0.118500616188959,0.302110556181797
MAP4K5,-0.0274131818419448,155,0.67791736259091,0.828860227121495
ERCC1,-0.0143504678071163,136,0.838772320614643,0.923625287013192
GPRC5A,-0.0680469464769422,226,0.212270781244897,0.42944297219153
HEBP1,0.0608255856190304,161,0.347528971372355,0.57416135938992
COX15,-0.0827044495552603,196,0.158283203934845,0.361455685063384
MS4A12,0.0881160775882449,123,0.235150329094017,0.45598177823722
