,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.0201460885866334,298,0.0502023141312408,0.152135794714996
FKBP4,0.00568112414341918,336,0.386127252551967,0.557172186810526
CYP26B1,0.00206415902180734,238,0.783015455716848,0.862381711518036
NDUFAF7,0.00847242517786698,345,0.232874142897516,0.404323050018781
FUCA2,0.00771471128481126,367,0.24370612991937,0.415580895976336
DBNDD1,0.00982664382130817,287,0.245315518480539,0.417263855308479
HS3ST1,0.00827434381740035,283,0.311398300174425,0.485388617308674
SEMA3F,0.0103912207032988,313,0.197694883410494,0.365235359777304
CFTR,0.00638887262441452,377,0.300860657476854,0.474819658897445
CYP51A1,0.0160886282884816,313,0.0812823800879038,0.2075533699362
USP28,0.00793702254087133,359,0.241538346258318,0.413518646326649
SLC7A2,0.00208200788405317,334,0.707049704123323,0.810238728381574
HSPB6,0.00559576590172754,243,0.508094576708468,0.660832335812374
PDK4,0.0507927406842894,296,0.000557566236995775,0.00721522268817778
USH1C,0.00820145059241844,361,0.228490394521768,0.399592196395894
RALA,NA,NA,NA,NA
BAIAP2L1,0.00741076575401116,332,0.293322752371657,0.467578149393621
CACNG3,NA,NA,NA,NA
TMEM132A,0.0223406011137427,363,0.0175333797321904,0.0760529078127062
DVL2,0.0343267406716731,292,0.00677483160599853,0.0403863787005981
RPAP3,0.00979135293144516,354,0.177608463911538,0.341425361496613
HOXA11,0.0218242708836079,212,0.10001245225257,0.237793162509449
TRAPPC6A,0.000949953301104684,271,0.879638988828326,0.926047822217624
SPATA20,0.00382642580169559,365,0.49837150011007,0.653176024263733
CD79B,0.0038300032582914,362,0.500916635414165,0.654912475240933
RHBDD2,0.0540990993811248,288,0.000425085275389615,0.00594299661873911
RPUSD1,0.0211462033683593,314,0.0365387905783185,0.123815510027799
TSR3,0.0148454149099333,301,0.107871752265818,0.248825555726389
NDUFAB1,0.0154460304097306,276,0.119572884507119,0.266162115539901
YBX2,0.0290917397471171,269,0.0202764913392234,0.0836245230085959
ITGA3,0.0428232895194222,369,0.000378427794202867,0.00555599148190805
KRT33A,0.0260505463730611,233,0.0487103678538825,0.149278452209211
LRRC23,0.0247608069409044,350,0.0132897686904821,0.0630272658253795
TFAP2D,NA,NA,NA,NA
CRY1,0.0169469195859238,281,0.0932409065569039,0.22728030776959
PGLYRP1,0.00718199137691461,301,0.340514112946723,0.514880064516223
STARD3NL,0.010405229578756,233,0.299091231177713,0.473206276076139
CD74,0.0225368857989662,353,0.0189397592856102,0.0799585689719265
RPS20,0.0652931706892088,98,0.0421416473766423,0.135863000706765
MGST1,0.0463658411051648,308,0.000811069663192912,0.00926371764599557
CPA1,0.0171653568017819,354,0.0483308369673697,0.148444017112811
SYPL1,0.00916326619164334,331,0.220482065804907,0.390827494917115
RANBP9,0.0116618657984191,298,0.176967873051728,0.340494865059087
CD4,0.0192730839267363,366,0.0296783392739744,0.107712208688024
PLEKHG6,0.00748758150252211,373,0.2484061528085,0.420828271559966
QPCTL,0.0061864277884897,295,0.402763843567788,0.572075708398132
PPP5C,0.00923939720019401,232,0.343987356507655,0.518227538376118
UBR7,0.0262487794046076,336,0.0123182848132584,0.0600876947458659
MAP4K5,0.020935004087595,297,0.0451222139496068,0.141792715662077
