,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.153440094838289,230,0.00454457505762434,0.0237881723470098
FKBP4,0.0779349475390232,323,0.0872378738005109,0.209084797886251
CYP26B1,-0.0749680516700912,181,0.219273614822644,0.396125506079036
NDUFAF7,0.0348541114799119,352,0.424513986230704,0.610972418423417
FUCA2,-0.182332025045705,363,2.20623879428213e-05,0.000350224025630945
DBNDD1,0.0469505020067747,257,0.358486200065322,0.547026672280129
HS3ST1,-0.0363766320435844,261,0.473368755675059,0.654438325406418
SEMA3F,0.0194459074439041,289,0.68659651291434,0.817177781275006
CFTR,0.114362977922722,382,0.00632580132679629,0.0305302747358594
CYP51A1,0.00904703245641784,291,0.850588618488257,0.918287476952544
USP28,0.102264578553781,359,0.0179566876499263,0.0666742874227115
SLC7A2,-0.0191997137322046,341,0.66504657953909,0.801766434299588
HSPB6,0.0304135349093207,180,0.619205496349077,0.766619438066776
PDK4,0.111716636533064,292,0.019802842084273,0.071511426781267
USH1C,0.0591989394210657,359,0.170710066952587,0.334240152196049
RALA,0.0463365364571277,24,0.78972582092805,0.882962855432877
BAIAP2L1,0.203959638997992,316,9.57807936018743e-06,0.000177943622690481
CACNG3,0.183031382589387,73,0.0588620798924059,0.158664379104732
TMEM132A,-0.00962908049245692,350,0.825870782572609,0.903280323145279
DVL2,-0.0874605386079746,253,0.08968217625487,0.213406943758423
RPAP3,-0.194270689271809,352,8.53374062714596e-06,0.000161918891686428
HOXA11,0.128673921395792,142,0.0622156960530111,0.164931259063811
TRAPPC6A,-0.0210712329908659,267,0.674403959049362,0.808306696227736
SPATA20,-0.059615187584663,365,0.164194352127123,0.325426105810487
CD79B,0.0730353101549025,351,0.0947077659050838,0.221281361342782
RHBDD2,0.00334434528970715,299,0.943724501913923,0.971101658377891
RPUSD1,-0.0999119373030846,303,0.0337534383934245,0.105491009310288
TSR3,-0.1811089523161,287,0.000180632789849453,0.0018600420807041
NDUFAB1,-0.0531311934657223,240,0.315425928760509,0.503106239138205
YBX2,0.0848614163504861,242,0.107362980343688,0.241254472859195
ITGA3,0.118063416301717,368,0.00566903068449492,0.0280442977366575
KRT33A,-0.0883946677573998,228,0.103620363217364,0.235451429062357
LRRC23,0.0552597442110084,337,0.215441190286863,0.391229879246717
TFAP2D,-0.0151291865778953,86,0.865129728093709,0.927388706873127
CRY1,-0.0924558267589003,230,0.0872953820839068,0.20917753115398
PGLYRP1,0.0638037382478201,305,0.173751798047316,0.337980045280702
STARD3NL,0.00328227117038047,192,0.955809737266701,0.978076175491257
CD74,0.0235438596067141,327,0.603175640149286,0.754953541592745
RPS20,0.110096376512636,12,0.667436491709883,0.803195819368459
MGST1,-0.0919189626818122,259,0.0711094173955777,0.181775715737133
CPA1,-0.067067084573058,347,0.127085403348796,0.272014367659548
SYPL1,0.0644173290797681,319,0.160111782362932,0.319804685016182
RANBP9,-0.0785385745241115,246,0.132953491096776,0.280516294611739
CD4,0.0457893957520235,375,0.278764593848196,0.464646297241723
PLEKHG6,-0.0304676756526124,380,0.46814897985849,0.650869978674225
QPCTL,-0.0241459655417726,292,0.614535487684333,0.762816389722653
PPP5C,0.0184234222927655,193,0.755155291411891,0.861831722920941
UBR7,0.0545099839117203,315,0.237550497802128,0.418624657206146
MAP4K5,0.0255501970081963,261,0.614533981007324,0.762816389722653
ERCC1,-0.0857373916624074,201,0.13851736779305,0.288625142778007
GPRC5A,-0.0211549675796113,350,0.628855580732561,0.773357244949149
HEBP1,-0.00571205606544652,241,0.913873145540541,0.955532029636853
COX15,-0.032459891839779,319,0.47905321793476,0.659227554986525
MS4A12,0.0241404531176859,233,0.653164025712763,0.793106545308447
XYLT2,0.0377741523264654,339,0.395716585508336,0.583780273781298
FTSJ1,-0.207573364954276,250,6.23872919754598e-05,0.000817202166864826
SCTR,0.0661659364232203,350,0.130603415169589,0.277109787249774
RALBP1,-0.177695437476779,278,0.000299636306382786,0.00278820017425142
SYT13,-0.0192151641781236,314,0.677635551222642,0.810748346375023
SNAI2,0.0191519020664394,130,0.79070721687836,0.883566267647808
SLC7A9,-0.103826506514593,308,0.026119378017399,0.0875103339813315
RTF2,0.0404769696786976,304,0.388955594798237,0.576891795681252
RB1CC1,0.00442291906578205,368,0.917460539763442,0.957320238217784
AKAP11,-0.0995392334340156,399,0.0151381046300098,0.0585547000079486
B4GALT7,0.0267398441124285,256,0.601705888837756,0.75397815675934
FAM13B,-0.0895183485893376,327,0.0480947632174386,0.137255845259023
CHPF2,0.00750044525778624,300,0.874000582439692,0.93269777278059
GABARAPL2,NA,NA,NA,NA
MYOC,0.00876115263167162,355,0.84022684782586,0.912322704266018
FAM136A,0.00204108877502161,162,0.974773798751933,0.987086990171777
NSMAF,0.0330007898885155,356,0.446981075710918,0.63190614468505
OTC,-0.0781946531477335,258,0.125443705979836,0.269675373823372
TTC17,-0.033266799667531,296,0.48479529643242,0.663994787946437
HOXC8,0.199481249643759,28,0.212246794136714,0.3868750398356
MRI1,-0.130643748136088,311,0.00491328120472156,0.0251515445578866
TARBP1,0.112067953992377,387,0.00707806778672686,0.0331142867886174
RTN4R,0.128508333457128,307,0.00598273595279693,0.0292531886340937
PSMA4,0.0694093997296214,61,0.513663764145053,0.686411996210837
ZPBP,0.0873853471111326,304,0.0628979560076667,0.166048701561482
LCP2,0.125855171299636,345,0.00430713132818277,0.0227983613683573
DCN,0.0932021450638464,279,0.0574541233071286,0.156182088671277
TNFRSF17,-0.0689360271774839,306,0.140997524308013,0.292068902742942
MRPS10,-0.106395374877358,290,0.0270072693902331,0.0897424974370172
GRN,-0.112197121307178,372,0.00821245492554666,0.0372370729132607
THAP3,-0.0931051425401009,317,0.0429853047697514,0.125963384063418
VAMP3,0.0240601755250844,198,0.679931468262967,0.812017968764257
RCN1,0.00246583167597933,237,0.963073708604646,0.981250684421599
RFC2,-0.0736684052218275,280,0.1324859540362,0.279824436973046
PPP1R3F,-0.199026743567009,288,3.75019458443623e-05,0.00054119594754515
NFE2L3,-0.162894112268994,382,0.000100628948379257,0.00118805885814774
CBLN4,0.164666094683719,123,0.026516581155369,0.0885499795872996
CLDN11,0.120106111134119,141,0.0828535987626403,0.20170943547497
FAM168A,-0.200246822943062,40,0.130330363573397,0.276803115534808
RELT,0.0656551816194423,368,0.123960256729555,0.267598599184725
PKP2,0.0220606940301353,337,0.620933213406373,0.768224570610725
YIPF1,-0.0579941344145192,284,0.232956287588532,0.413162406958731
ADCK2,-0.183772655929179,345,3.0664387450455e-05,0.000456916472112588
INPP4A,0.110349134009214,286,0.0227499192195766,0.0791728792809794
SLC2A3,-0.0751737415919413,304,0.109598583399116,0.244836852116208
STYK1,-0.0278481151747017,362,0.517543494343456,0.689722361407074
GNA11,-0.113421382366986,92,0.187505384181732,0.35570887133081
CREB3L3,-0.277641088814137,311,2.26711819532358e-09,2.0306539679119e-07
HDAC7,-0.102198098656388,340,0.0213814670084427,0.0756752893038326
MRPS35,-0.178008759178135,336,6.76477986331191e-05,0.000866291657735462
APPBP2,-0.0547854269075546,91,0.526681284804295,0.696320692608829
CA11,-0.020995292694177,168,0.740408873525825,0.851637525592909
ISOC2,-0.119968898100647,269,0.0163543400260882,0.062282454545908
CD22,-0.0499545469091398,394,0.225764661085389,0.404027772204715
GSC2,-0.0822861550102273,229,0.128907028917967,0.274799414258977
KCNQ1,0.159062597536505,310,0.000628617446037178,0.00502173568127258
TRIB2,-0.025046604401361,111,0.748748543822244,0.857427934256165
OTUD5,0.0425423064334742,171,0.498172221781601,0.674537220828005
GPKOW,0.00498799021522276,337,0.910970625985261,0.954239647616731
AQR,0.0706222493482862,336,0.113934314572509,0.252238175302545
LMCD1,0.0363840482113246,255,0.478448694012762,0.658791472956597
PSMC4,0.0194045749306785,38,0.886530711703193,0.940267980916518
FNDC8,0.0571103905280024,340,0.198461757646522,0.369091446508141
ACAP1,-0.0455540542613699,328,0.313760901920152,0.501548209420319
DERL2,-0.00123899472076625,56,0.991100121633313,0.996007788024753
NOX3,-0.0621699967130691,368,0.145199105963208,0.298229216744571
ANO8,-0.163406805071655,301,0.000538896949851636,0.00443538747277787
ICAM3,-0.164706990134417,346,0.000182957979195014,0.00188036235925235
CTTNBP2,0.0579546923684622,393,0.160455258428793,0.320291229879089
ACTL6B,-0.154442753480259,65,0.133170420877129,0.280789119124164
KIF22,-0.00678249699618514,330,0.880413976823381,0.936363336013882
PRSS22,-0.0393097132494867,343,0.373975976857225,0.562789265717279
