,Rho,N,P,p.adj
MasterTree,0.0217827942423854,389,0.0375426384917076,0.0982340220004507
ARF5,NA,NA,NA,NA
M6PR,0.015336705791028,331,0.167376464011849,0.274340096286485
FKBP4,0.0102489868716196,377,0.277710633907862,0.390680248467699
CYP26B1,0.000590396823187957,266,0.98429236933997,0.988266718209985
NDUFAF7,0.00623443305545191,394,0.484370758360689,0.582083091561832
FUCA2,0.00760651259092678,413,0.371440093333382,0.479967472879118
DBNDD1,0.020742213563238,324,0.0821096616328821,0.167661706728233
HS3ST1,0.028252013551258,323,0.028026745732902,0.0799282690807007
SEMA3F,0.0191486328732266,347,0.0848450737689953,0.171422888048928
CFTR,0.0119622171974922,426,0.165752663423291,0.272284293827642
CYP51A1,0.0869127451731395,356,9.12383299272957e-07,5.62648532995647e-05
USP28,0.0143724874987381,406,0.120658732408886,0.21920759810839
SLC7A2,0.00611467718992686,382,0.506856583043015,0.601509348069753
HSPB6,0.0116450529318874,269,0.373361604078281,0.481562440397796
PDK4,0.0609858998523278,339,0.000126654294511968,0.00190670677485001
USH1C,0.00182229346294465,407,0.863792896741238,0.889823272020558
RALA,NA,NA,NA,NA
BAIAP2L1,0.0326996217757564,372,0.00694581512122081,0.0307446545288146
CACNG3,NA,NA,NA,NA
TMEM132A,0.017903176741605,404,0.0653523009834874,0.143014396630579
DVL2,0.0244445333376842,329,0.0456451199840876,0.11222293786186
RPAP3,0.0170814378728582,397,0.0798038812913438,0.16430775078374
HOXA11,0.0281979497449208,239,0.0816984273227996,0.167159210887273
TRAPPC6A,0.00424870634247615,304,0.732137206222927,0.784825428197669
SPATA20,0.0240888584913074,407,0.0205311165551521,0.0651176944866532
CD79B,0.00163201899460968,413,0.879677645650806,0.902448114386377
RHBDD2,0.0392214679195883,327,0.00512253342495356,0.0246639905723014
RPUSD1,0.0288560750519594,356,0.0166026625118704,0.0562927750045097
TSR3,0.0087232705804501,341,0.396910791203652,0.503097399324731
NDUFAB1,0.0272378106847616,307,0.0395767104338926,0.101863792030225
YBX2,0.0188545874372999,302,0.128525541374726,0.228966751949867
ITGA3,0.0352105539305484,415,0.00221607372848995,0.0140078756343295
KRT33A,0.055183876820363,263,0.0023434136448908,0.0145444477307896
LRRC23,0.0210087877498961,402,0.038006398741931,0.098993858659292
TFAP2D,0.0274214557225266,172,0.196033147199075,0.30604006698508
CRY1,0.0165450098726477,316,0.1569372328579,0.26236188668079
PGLYRP1,0.0174539863300536,344,0.11225824808001,0.20869232010726
STARD3NL,0.00810498392862792,258,0.555363515368014,0.642099758213542
CD74,0.0234297962532551,398,0.0255380839436278,0.0750968236252544
RPS20,NA,NA,NA,NA
MGST1,0.0458871931992333,342,0.00133914065860019,0.00988297613157235
CPA1,0.0186854640338423,399,0.0592043732817915,0.133815250386363
SYPL1,0.0151619749511201,378,0.12627176281574,0.226048742142391
RANBP9,0.0266356710090423,332,0.0318341157336263,0.0874530581370843
CD4,0.0138452785966211,417,0.123908388177468,0.223452523164349
PLEKHG6,0.0136398819092363,419,0.127072906895707,0.227166396754536
QPCTL,0.0109822642928653,332,0.30365452162961,0.416424280373929
PPP5C,0.0279079374892713,261,0.0641688660291221,0.141347536443917
UBR7,0.0170465325115056,376,0.0940019005709622,0.184286279387401
MAP4K5,0.0196709656335945,330,0.0907833889044415,0.179551957246924
ERCC1,0.0140088760690447,202,0.420908161816163,0.524843877706277
GPRC5A,0.0350981836146477,400,0.0028994750331002,0.0168228237012419
HEBP1,0.0099646639251876,315,0.372174476430521,0.480433216371878
COX15,0.00179231748319709,368,0.883086531151722,0.905403009294812
MS4A12,0.0072418156729079,252,0.611091737784089,0.68918809959161
XYLT2,0.0163362935738778,388,0.0969468103036334,0.188715779602414
FTSJ1,0.0542455615198493,304,0.000922725340486066,0.00765643518529261
SCTR,0.0305567972488881,396,0.00714739249163489,0.0313935470209502
RALBP1,0.064470550320758,353,4.67778225191983e-05,0.000937807138853679
SYT13,0.0123625797446564,382,0.194294620260437,0.304290954952779
SNAI2,0.0109399503302393,218,0.498498637267024,0.594243678245241
SLC7A9,0.0657899596034022,376,1.80877560298293e-05,0.000482454904345811
RTF2,0.0140317357264496,365,0.164088964541603,0.270302336396826
RB1CC1,0.0169396602576962,413,0.0725656311783023,0.153830127923734
AKAP11,0.0208155245070324,433,0.0293933497247945,0.0826175519976584
B4GALT7,0.00235594137113444,320,0.861018095574504,0.887795343731416
FAM13B,0.0745783901338187,380,3.19503569507301e-06,0.000140442843999908
CHPF2,0.0136088900920434,350,0.191085982405193,0.300425514046589
GABARAPL2,NA,NA,NA,NA
MYOC,0.0283258809408198,372,0.0147006323402456,0.0516862961160766
FAM136A,0.0210136573428259,254,0.150038187862794,0.254607836830313
NSMAF,0.0309227094985906,404,0.0059574509217093,0.0275400362398777
OTC,0.0235829011671683,322,0.0557840967804362,0.128438384119472
TTC17,0.00742884405190633,359,0.447149272928822,0.548163195033687
HOXC8,NA,NA,NA,NA
MRI1,0.00368868152914903,362,0.721640050476807,0.776705156255301
TARBP1,0.00817597402752456,416,0.334903166056371,0.446748100643941
RTN4R,0.0175590008962247,355,0.101566477075122,0.195024333922924
PSMA4,NA,NA,NA,NA
ZPBP,0.0277122431191321,368,0.0171719005453477,0.057439616122288
LCP2,0.00445104551791097,403,0.61726171182166,0.694428375253181
DCN,0.0362127816932242,369,0.00398155387693548,0.0207027373088412
TNFRSF17,0.00463411453646551,367,0.637804335554317,0.710684405987345
MRPS10,0.0397193548542133,352,0.00298588142009967,0.0171272038103623
GRN,0.0429732874643956,426,0.000388070226219651,0.00418738079440844
THAP3,0.00398775675089358,372,0.687019520589595,0.749171024821742
VAMP3,0.0200813944628983,279,0.133779251283882,0.235603691688783
