,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.0107009044483292,282,0.22235566711449,0.398487553109745
FKBP4,0.0241945725717132,320,0.0210883541859257,0.091053488130774
CYP26B1,0.00192297621326984,230,0.802373734600097,0.877907981613507
NDUFAF7,0.00669920254078011,329,0.333314357866847,0.510568171479486
FUCA2,0.0113889771272179,350,0.137054515533897,0.295459035484772
DBNDD1,0.00485258182455722,277,0.511884486455315,0.665313353342454
HS3ST1,0.00280512063435282,270,0.685718061144803,0.79761821729965
SEMA3F,0.0172878466857232,296,0.0780849934329078,0.208153187644753
CFTR,0.00646365835130349,357,0.316468620854686,0.493649235998763
CYP51A1,0.0117585643352739,298,0.174444820230947,0.341824132860278
USP28,0.0160148715791187,343,0.0646644918699637,0.184483632459674
SLC7A2,0.00286995752555675,320,0.632700428656291,0.759803629835813
HSPB6,0.000400775692219311,232,0.954765429290613,0.97147960998113
PDK4,0.0365642094441645,284,0.00566280664300428,0.0379886587896874
USH1C,0.00267740993349133,348,0.62843000627591,0.75678016215169
RALA,NA,NA,NA,NA
BAIAP2L1,0.0102692473880086,316,0.198412622712696,0.370952808911823
CACNG3,NA,NA,NA,NA
TMEM132A,0.00651410613497957,349,0.321919273757145,0.498907195674083
DVL2,0.0372915992919326,280,0.0055045618611803,0.0373361484946844
RPAP3,0.00278781813042274,337,0.6260322160228,0.755206333404203
HOXA11,0.0176400797917073,207,0.162524223838646,0.326257448279706
TRAPPC6A,0.00236525838457942,262,0.734425866382076,0.831621963591674
SPATA20,0.00892228123068553,347,0.213620403830191,0.389084192199813
CD79B,0.00376630969131309,348,0.520245360569351,0.67236362686428
RHBDD2,0.0334826397513085,271,0.0108873211239476,0.0589710382885649
RPUSD1,0.0100094796693296,295,0.22960530454343,0.406386854628521
TSR3,0.0146727334360577,297,0.113999120157221,0.26251832503536
NDUFAB1,0.0265971894944466,259,0.0323533585330168,0.120573108298631
YBX2,0.0246468133844749,261,0.0405959999762038,0.139365459254973
ITGA3,0.0419366429180529,352,0.000636274278478784,0.00870395070254822
KRT33A,0.0383392566982567,227,0.0131368239074692,0.066820492389658
LRRC23,0.0255198851608711,333,0.0144609851289644,0.0710449958611539
TFAP2D,NA,NA,NA,NA
CRY1,0.0102151814683731,267,0.257015435573393,0.434840927985183
PGLYRP1,0.0180897215604143,286,0.0759420049806362,0.204423865206159
STARD3NL,0.00819715959011815,221,0.405884129711303,0.577508800319858
CD74,0.00608619936340131,338,0.35860829274885,0.533468508266649
RPS20,NA,NA,NA,NA
MGST1,0.0588401283442691,291,0.000197096202685626,0.00383829615333141
CPA1,0.027723934601908,336,0.00962146204791481,0.0540719726545513
SYPL1,0.0235507819896938,322,0.02282496218255,0.0958141190285266
RANBP9,0.00925830712095478,282,0.272315992324094,0.450639938484722
CD4,0.0127551715182085,348,0.10936960530908,0.256120604279435
PLEKHG6,0.0170495584151134,365,0.0449133755773567,0.148017387595458
QPCTL,0.00808459308419945,281,0.322438444159434,0.499354505059878
PPP5C,0.0151765660981846,220,0.189790587112876,0.360044608642955
UBR7,0.0209985335976159,320,0.0351101116493477,0.127193619106035
MAP4K5,0.0195689607543954,281,0.064592659439642,0.184388466687615
ERCC1,0.00699883793203732,173,0.547769849916615,0.694745948127561
GPRC5A,0.0611335431626469,338,3.35994109329579e-05,0.00116190914878458
HEBP1,0.000186293118208223,269,0.975345728172687,0.9850660107351
COX15,0.00423165906723031,318,0.511341322246354,0.664950525926074
MS4A12,0.0140251528094315,230,0.200712850529921,0.374231922356025
XYLT2,0.00799136103120366,325,0.274007311935267,0.452002892475249
FTSJ1,0.0960686748593295,254,5.27417984819631e-06,0.000320093999461617
SCTR,0.00447945271648452,333,0.475404551082848,0.635554987257962
RALBP1,0.0533623896752533,307,0.000284594379773205,0.00497013315354875
SYT13,0.0087376784544869,321,0.247083596383433,0.424184156010451
