,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FKBP4,-0.392016571953957,1,1,2.13065647684907,0.198704718802834,0.902151634548743,2.06458408792058,0.233774220670759,0.826069265302186,0.678602178374884,1,1,0.874990571756954,1,1,-0.774240147767091,1,1
CYP26B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDUFAF7,0.984528098493797,1,1,-1.01246201745587,1,1,-1.68874068522782,0.547614810999271,1,-0.953866033793969,1,1,-1.56023898503902,0.712220496388846,1,-0.158156493123695,1,1
FUCA2,1.86074044310988,0.376685037612378,0.978609573289121,-1.19747647521764,1,1,-2.60076145999337,0.0558102644244544,0.312801769618237,0.241229254917499,1,1,-1.12324328690261,1,1,1.02484114759628,1,1
DBNDD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HS3ST1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEMA3F,0.793671942376479,1,1,0.487611724523737,1,1,-0.32351523268972,1,1,0.566539905637156,1,1,-0.0686440607809398,1,1,0.199511085806913,1,1
CFTR,-0.770181741693576,1,1,-1.41918638522373,0.935068104981181,1,-0.469839614825831,1,1,-1.14483595692135,1,1,-0.420348599058681,1,1,-0.0252099246987343,1,1
