,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.00584231783320159,282,0.200093571391075,0.501961163821701
FKBP4,0.000719722362164448,320,0.631826939958193,0.841251408584887
CYP26B1,0.0051206572651113,230,0.278861399326473,0.590962483048893
NDUFAF7,0.000241988363939765,329,0.778150017782356,0.915199865260095
FUCA2,0.000533462227738913,350,0.666116589083996,0.859637394896444
DBNDD1,0.00244896816960497,277,0.410996863972581,0.702492060332236
HS3ST1,0.00350123179050849,270,0.331807309495697,0.636274253984172
SEMA3F,0.00995862298094203,296,0.0865288448379984,0.330651618336227
CFTR,0.00142121633890253,357,0.476896031825525,0.748281468519487
CYP51A1,0.0148058352004324,298,0.0359951783602468,0.207617990603072
USP28,0.00284865093462222,343,0.323625349542778,0.628292173983873
SLC7A2,4.25871220233152e-06,320,0.970598043932193,0.989567703576881
HSPB6,0.00454787395314677,232,0.305378406166949,0.612363053751907
PDK4,0.00901605106217829,284,0.110186635324689,0.372931787911915
USH1C,0.00161943297226566,348,0.453478339042763,0.731283495449274
RALA,NA,NA,NA,NA
BAIAP2L1,0.00961292666776307,316,0.0818352107768334,0.321456723207557
CACNG3,NA,NA,NA,NA
TMEM132A,0.000645830930688365,349,0.635444877495215,0.843242271576017
DVL2,0.0280297033154412,280,0.00516629847391654,0.0709755477616607
RPAP3,9.42259831485818e-05,337,0.858776084368163,0.948879446294632
HOXA11,0.020313635310615,207,0.0407926244469384,0.221726430375385
TRAPPC6A,0.000353209082784334,262,0.761414318194842,0.90602308476854
SPATA20,8.20236327624216e-05,347,0.866218128139499,0.952454944424542
CD79B,0.00248083160613729,348,0.353501334981475,0.655930089125074
RHBDD2,0.0186138443981585,271,0.0249732809987953,0.170922202198276
RPUSD1,6.24933770607139e-05,295,0.892179220873445,0.961601339835925
TSR3,0.00887547682411478,297,0.105050711076145,0.362278700359662
NDUFAB1,0.00748002385211683,259,0.164775277417954,0.45849456680908
YBX2,0.0266884899230009,261,0.00843359012148656,0.0933688014035933
ITGA3,0.00808488324976334,352,0.0920705356173411,0.34043795797633
KRT33A,0.0277734742071762,227,0.012232844138723,0.11667108074931
LRRC23,0.0085587317981123,333,0.0918584860445502,0.3400762856297
TFAP2D,NA,NA,NA,NA
CRY1,0.000380502675418962,267,0.750377965671835,0.901293161703727
PGLYRP1,0.00836657260530573,286,0.122546197445462,0.395202333716565
STARD3NL,0.0144169035777426,221,0.0749235602625307,0.305269572037574
CD74,0.00675266903501732,338,0.131420061535347,0.408646084346125
RPS20,NA,NA,NA,NA
MGST1,0.0366682150074557,291,0.00111040372178055,0.0271089192949073
CPA1,0.0319833666968054,336,0.00106303325569836,0.0264145500624313
SYPL1,0.0177093115115738,322,0.0171135724986519,0.140566624605168
RANBP9,0.0123944068638809,282,0.0620086721348816,0.277243417915938
CD4,0.00422041372796691,348,0.226218084046848,0.532574775358828
PLEKHG6,0.00365981958678721,365,0.248418770393881,0.559541593011134
QPCTL,0.00552745846378855,281,0.21347702477452,0.517412156919413
PPP5C,0.0105052701797259,220,0.129319524017653,0.406041273001199
UBR7,0.0205659415859655,320,0.0104264993286277,0.105306606293971
MAP4K5,0.00373658016915052,281,0.306374074907554,0.612818294126245
ERCC1,0.00294477237172537,173,0.476657548227543,0.7482137747735
GPRC5A,0.0527599579892688,338,2.47962461822872e-05,0.00222995532386861
HEBP1,0.00427796768709658,269,0.284284001176225,0.594642848268553
COX15,0.00184975741829753,318,0.443825054881004,0.725693229501654
MS4A12,0.000224980574325438,230,0.820438212953849,0.932355412404765
XYLT2,0.000561875449400767,325,0.669619399878128,0.861998620169933
FTSJ1,0.0199956234528221,254,0.0244998862532793,0.168752179152031
SCTR,0.000101541673458026,333,0.854321119354897,0.946378885478023
RALBP1,0.0440270828731364,307,0.000242112970888861,0.00978291769003333
SYT13,0.00913227968759607,321,0.0873616602836809,0.332211728788874
SNAI2,0.000359357975022808,193,0.792803177428056,0.922170690986206
SLC7A9,0.0448307844830591,321,0.000152114539415367,0.00725159280645119
RTF2,0.00176155463673011,309,0.461374195562705,0.736801835432638
RB1CC1,0.00490097677668394,347,0.192846302937573,0.494940370324217
AKAP11,0.00470800308810284,372,0.18629601566008,0.487368176172368
B4GALT7,4.91585341358362e-06,277,0.970617018155379,0.989567703576881
FAM13B,0.036293792031091,318,0.000694042986386507,0.0200542592930648
CHPF2,0.000417940569397444,299,0.724155041011312,0.890361722847024
GABARAPL2,NA,NA,NA,NA
MYOC,0.0106201767701547,315,0.0678313119548014,0.290115873844585
FAM136A,0.00132025642718003,217,0.593328974418114,0.820482899531603
NSMAF,0.00435809342969371,338,0.225554472607887,0.531593760145101
OTC,0.0104370040662246,278,0.0890728499154449,0.336013207169796
TTC17,0.00156587594025494,308,0.488094596353121,0.756599193772526
HOXC8,NA,NA,NA,NA
MRI1,0.00195774150512474,306,0.439682377366856,0.72387842758121
TARBP1,0.00933920864868169,353,0.0698134294883055,0.294445724971866
RTN4R,0.00137225352051303,302,0.520426344704889,0.777578248696531
PSMA4,NA,NA,NA,NA
ZPBP,5.11756369141656e-05,311,0.899768219882833,0.963610460850096
LCP2,0.00135607621270591,335,0.500947075844065,0.76545118403999
DCN,0.0179724178403756,319,0.0168183718999556,0.138859697742674
TNFRSF17,0.00383977391489553,309,0.276817093547788,0.58929072704551
MRPS10,0.0244195004443456,298,0.00707987590767604,0.0847789894744852
GRN,0.00985475898980141,354,0.062162432817234,0.27752697763576
THAP3,0.00116921998058075,321,0.540750594145953,0.79077056113157
VAMP3,7.37434625247648e-07,245,0.989297537532511,0.996710034564415
RCN1,0.00189272789407703,273,0.47305887213818,0.745916702394843
RFC2,0.00821464598590626,270,0.137141803220838,0.418110486639013
PPP1R3F,0.00151828448128,256,0.533794673260242,0.786249009231721
NFE2L3,0.0104424745861464,348,0.0569675806827274,0.265751996874805
CBLN4,0.0369037229514805,201,0.00659258703223913,0.0814169304432431
CLDN11,0.00347159799649564,195,0.41183747004773,0.703178622598906
FAM168A,NA,NA,NA,NA
RELT,0.000177616919698404,339,0.806441390372536,0.92697514956338
PKP2,0.00568968368256463,329,0.171909067191126,0.469526445579666
YIPF1,0.000203100296123639,278,0.81250990744186,0.929215205180974
ADCK2,0.000725122292227323,317,0.632163247478161,0.841251408584887
INPP4A,0.00375543594627926,299,0.290108038585096,0.600099612490753
SLC2A3,0.00325954094798322,295,0.327614291820389,0.631834866886861
STYK1,0.0120675882047065,336,0.0443643149004199,0.23118397475005
GNA11,NA,NA,NA,NA
CREB3L3,0.0159730454546487,303,0.0280684254416226,0.182438729150022
HDAC7,0.00922355689101188,346,0.07444775515838,0.304068777284713
MRPS35,0.00442258460997123,317,0.237136436912663,0.545615991873351
APPBP2,NA,NA,NA,NA
CA11,0.0149031272025453,213,0.0754880122934909,0.306524422160074
ISOC2,0.00939063104001235,264,0.116057419075575,0.382660370993971
CD22,0.0109316788283587,354,0.0494832725810766,0.246145890469134
GSC2,0.00125669942343255,219,0.600687340896372,0.825060790653134
KCNQ1,0.00076203813428172,305,0.630295986595667,0.840320507228382
TRIB2,0.0228376237295936,175,0.0462148380817016,0.236286768325209
OTUD5,0.00413402943249811,225,0.335898589039747,0.640517284235792
GPKOW,0.0087284839200153,313,0.0988941729667922,0.352307577056616
AQR,0.000682278824893597,334,0.633608663628457,0.841988579383859
LMCD1,0.00206745243245756,284,0.444324465246439,0.726141593901177
PSMC4,NA,NA,NA,NA
FNDC8,6.43228160657451e-05,318,0.886452305427683,0.95905406927428
ACAP1,0.0142616193117377,340,0.0278926721371424,0.181687095403662
DERL2,NA,NA,NA,NA
NOX3,0.0083187278541178,349,0.0888593357494942,0.33562666379564
ANO8,0.0327194288172909,291,0.002067486543398,0.0402627018606064
ICAM3,0.0204865556978235,285,0.0158613327397726,0.134838613559638
CTTNBP2,0.00205244638267635,356,0.393331364317662,0.689801970241211
ACTL6B,NA,NA,NA,NA
KIF22,0.000803420846304369,324,0.610460476322587,0.829867722278761
PRSS22,0.00521542495196639,303,0.209473938767676,0.513358804309588
YTHDC2,0.00323832891387785,285,0.337557586478189,0.642673725123205
TMEM161A,0.00618737513698547,313,0.164708013330401,0.458391804318419
FOXJ2,0.00485224953626967,315,0.217074559033661,0.520703291447092
GOLGA5,1.53244658540223e-05,347,0.941952017693897,0.977663385397676
PPP2R5B,0.0136478848902205,194,0.104595148780865,0.361537485904947
PYGM,0.000220536806209226,309,0.79438178894607,0.92268336993135
BCL3,0.000239589398639397,292,0.791744145124707,0.921605335970141
PRLH,1.27336842301304e-05,275,0.952897940657713,0.98262794675823
FSTL3,0.00144871376288126,238,0.557904666059431,0.800584570919256
EPHA8,0.0194064690981273,312,0.0140216788297982,0.126779578620873
TRIP13,6.48212455615458e-05,294,0.890387630717314,0.960775700327508
VASH1,9.76688621929295e-07,289,0.986618832416975,0.995578511984864
KRT14,0.00211832069487268,286,0.437161656479937,0.721585565076081
KRT20,0.0424771112290192,326,0.000202789215734368,0.00856019728541274
HSD17B10,0.00067781187818283,299,0.65312100069672,0.851299341256583
FGF4,0.000594820406841421,237,0.707905899136314,0.883220944877181
ST6GAL1,0.0192135566134658,312,0.0145066582324154,0.129068092826914
TIMM21,7.99375302736112e-07,334,0.98698277912108,0.9957278791035
BPIFB2,0.0127655640532274,331,0.0401239358655774,0.220171720697388
REXO1,0.00497741852155597,298,0.224041742230271,0.530027984301618
MKRN2,0.0742936653133055,290,3.59244812626669e-06,0.000560186863251411
GPATCH1,5.61221081018262e-05,340,0.890293707052295,0.960775700327508
KEAP1,0.0274019650450358,235,0.0113347851172436,0.11122809915051
P2RY10,0.00417487919522529,253,0.305030930311693,0.612087029460935
TNS1,0.00487658459246823,357,0.187638303101749,0.488894833874763
NGFR,0.000125965170223428,295,0.847396328287434,0.942846142607413
NTN1,0.0167780774281749,173,0.0893619842907289,0.336566311549425
ISOC1,0.00204190534926469,208,0.515605574736373,0.774766972796666
MNT,0.00150734066609979,247,0.542565363334781,0.791622659014379
AP3M2,0.00333708282402122,187,0.430788243851479,0.716849296791206
LAPTM4A,0.024164251867005,185,0.0349785414579779,0.204065341147381
PTPN18,0.00354923168303731,240,0.357043235677507,0.658566749366348
STK10,0.0134032055892113,342,0.0325272013583408,0.196699106413464
TBX21,0.0108310922499947,275,0.0849415307293398,0.328608985328894
MRPS34,0.00031280047775359,275,0.769707023359261,0.911369782731737
MAP2K5,0.000203154611927142,235,0.827403774647605,0.935027263297687
TIGAR,0.0453327723683996,306,0.000200488947711746,0.00848680385943953
