,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj,Carnivore...Omnivore.Rho,Carnivore...Omnivore.P,Carnivore...Omnivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,1.62054584640939,0.315345222901535,0.835357012628181,1.29052162009028,0.59060883056302,1,-0.213987328097756,1,1
FKBP4,0.600698922059664,1,1,2.67545016739931,0.0223886900809628,0.217022376204945,2.12857043694989,0.099869449743224,0.804921133077121
CYP26B1,0.0121510944151989,1,1,-0.583847881476363,1,1,-0.59777884874641,1,1
NDUFAF7,-0.549020616075147,1,1,-1.47319810333904,0.422092879090263,1,-0.975234312602939,0.988332136233578,1
FUCA2,-1.60657538807527,0.324442635333269,0.850325547200203,-1.80244463277103,0.214426435079585,0.783086584563239,-0.325694388765295,1,1
DBNDD1,1.04644936872388,0.886060828681476,1,0.931004783907914,1,1,-0.0102560523026979,1,1
HS3ST1,-0.167276017834515,1,1,0.678844652632834,1,1,0.836268564168569,1,1
SEMA3F,-2.25773525374256,0.0718865098465451,0.332521866177224,-1.10124295441121,0.812372794316658,1,0.981337104695638,0.979279592515326,1
CFTR,1.49941263196209,0.401299855698974,0.975700429068886,0.909174448629723,1,1,-0.480945503261599,1,1
CYP51A1,-1.75960288009437,0.235425488611079,0.695416337742498,-0.301599883279965,1,1,1.34046416973792,0.540283456742199,1
USP28,2.33119062921668,0.0592299301434499,0.294920166170615,1.26509324550853,0.617513711722388,1,-0.878183262693945,1,1
SLC7A2,-0.824333662347119,1,1,-0.818418164225756,1,1,-0.0574737350032753,1,1
HSPB6,-0.122488639524656,1,1,0.186524870248239,1,1,0.303975787057064,1,1
PDK4,-0.751487040416448,1,1,2.44179116665611,0.043843793719165,0.319155785493266,3.14027629999495,0.00506365679071995,0.208506761366103
USH1C,0.945995618179514,1,1,0.595387999895663,1,1,-0.278254372494557,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,-0.128617466674719,1,1,1.53591054112961,0.373680967414423,1,1.63219016818903,0.30791829394825,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,0.967810238896871,0.999417447963571,1,1.46972781704678,0.424906457123026,1,0.615285347803434,1,1
DVL2,0.884070360173625,1,1,-2.38745500484715,0.0508964381153692,0.347872895883971,-3.1676327920264,0.00461056514161923,0.200021099969352
RPAP3,-0.532720987203664,1,1,-0.962752565635104,1,1,-0.464719186255634,1,1
HOXA11,1.90583967513114,0.170013028984227,0.571521159066509,0.793643285439444,1,1,-0.900866936463308,1,1
TRAPPC6A,-0.706921219462091,1,1,0.00456891308456023,1,1,0.635870700324619,1,1
SPATA20,-1.12762402922925,0.778436202459733,1,-1.71273888111672,0.260281766104072,0.872726436513142,-0.661398038147463,1,1
CD79B,-1.12816709788797,0.77774806921182,1,-0.361521668457418,1,1,0.691635502790251,1,1
RHBDD2,-1.51402111268051,0.390061454470092,0.958161362150849,1.63487549764864,0.306225449696658,0.959701160476131,3.00208618157663,0.00804408761797017,0.260863201894346
RPUSD1,-0.349048408507817,1,1,1.30941833519295,0.57117805200992,1,1.65856397262191,0.291611059781537,1
TSR3,-2.07287030991934,0.114553052432,0.442741324706134,-0.833937754022467,1,1,1.12726011836454,0.778897557123582,1
NDUFAB1,-2.606671231051,0.0274281294347012,0.179512296239586,-0.960717926332479,1,1,1.4037530422404,0.481177204407681,1
YBX2,2.46529258126846,0.0410704236699775,0.232717001312598,1.54999293409341,0.363429635874552,1,-0.591134831634238,1,1
ITGA3,3.22984850743476,0.00371567480674637,0.0460633943228476,3.3405580480797,0.00250830600772104,0.0576261288691599,0.392790186674593,1,1
KRT33A,-2.36873175520365,0.0535475812501799,0.276098229103957,0.253989529803444,1,1,2.57827897094232,0.0297881399595877,0.480940056178267
LRRC23,-0.19057924176828,1,1,-2.66839453882705,0.0228644103901922,0.219382203058149,-2.49853866021205,0.0374119617990364,0.543102369555272
TFAP2D,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRY1,-1.17238320308327,0.723129720417494,1,-1.57144902939283,0.34823515511516,1,-0.505557304040309,1,1
PGLYRP1,-1.59279972626725,0.333615379723135,0.865212908593789,0.608675129444911,1,1,2.14460494610745,0.095953339538994,0.792853847077905
STARD3NL,1.30937566543714,0.571221390929127,1,0.346454709779019,1,1,-0.843573475656913,1,1
CD74,1.2359307192801,0.649452951466485,1,1.1982654079396,0.692441126678571,1,0.034901459429378,1,1
RPS20,NA,NA,NA,NA,NA,NA,NA,NA,NA
MGST1,-4.13020422007523,0.000108732339005845,0.00379636837892976,-2.0082055045934,0.133864374952612,0.607125494576605,1.77011351918666,0.23012469562813,1
CPA1,-2.80230355466661,0.0152217320879798,0.120120530189844,-0.279281791992414,1,1,2.33454075781724,0.0587022734588212,0.659475591425665
SYPL1,-1.68373972580095,0.276695940984453,0.770486283426766,1.22850401109528,0.657773473743559,1,2.70126367188295,0.0207229656229655,0.399445735324305
RANBP9,-1.39578528962754,0.488337484412109,1,0.0446423557755183,1,1,1.33529621299514,0.545338252805422,1
CD4,0.212777023076945,1,1,-1.75465006238364,0.237957548104966,0.827811801786889,-1.97136617292299,0.146046022046362,0.940369614471503
PLEKHG6,2.47279054737406,0.0402188067278614,0.229700153919668,1.39657960711066,0.487620078733551,1,-0.880044500159066,1,1
QPCTL,-1.41915422678577,0.467562172281455,1,-0.229444534862336,1,1,1.10209399965021,0.811262423272126,1
PPP5C,-1.48494035373385,0.412678875261179,0.993215983906186,0.282298670159916,1,1,1.62244116085583,0.314126765847786,1
UBR7,2.32613441484441,0.0600341433456441,0.297649597847564,0.108628146681004,1,1,-2.09372860939974,0.108852488589678,0.832073176083888
MAP4K5,-1.42130990601358,0.465680054857207,1,-2.30729539798986,0.063115073717028,0.395765557681214,-1.03599654185962,0.900611267506045,1
ERCC1,-1.01068145335619,0.936506749793361,1,-0.0432785749504216,1,1,0.791924303376859,1,1
GPRC5A,-3.61741650157309,0.000892674831117396,0.0166084763371794,0.762794188751054,1,1,4.08871852658205,0.000130128840301299,0.0378174429737161
HEBP1,-0.0573473319950951,1,1,-0.21805927501651,1,1,-0.165767614914492,1,1
COX15,-0.167951344161473,1,1,0.934840567868593,1,1,1.09833383164168,0.816176232098396,1
MS4A12,-0.327551015852838,1,1,1.26414568000251,0.618533230324201,1,1.73298749783467,0.24929367283972,1
XYLT2,0.314827122965388,1,1,1.53925579523971,0.371225583252588,1,1.26257484199007,0.620226041670966,1
FTSJ1,-4.67785238843718,8.69685316503898e-06,0.000652318587704347,-3.59279435280198,0.000981452314719938,0.0319437892387437,0.682570647698096,1,1
SCTR,0.121343821446311,1,1,-1.0181542112399,0.925814027399328,1,-1.13832553870784,0.764953721133995,1
