"","main_Rho","Herbivore_Rho","Vertivore_Rho","main_P","Herbivore_P","Vertivore_P","main_p.adj","Herbivore_p.adj","Vertivore_p.adj","directionality","directionNumeric"
"ARF5",NA,4.45440685947892,NA,NA,8.41254389329987e-06,NA,NA,0.000831456853454253,NA,"MissingData",5
"M6PR",-0.810725927476331,1.28128502337676,0.44354176078554,1,0.200093571391083,0.65737392015267,1,0.475629373614617,0.848702939566281,"Herbivore",1
"FKBP4",0.275185743009542,-0.479157003006884,-0.458808535913748,1,0.631826939958133,0.646371664485336,1,0.830973487825358,0.843473416306986,"Unclear",0
"CYP26B1",-0.206954834490959,1.08288065534041,0.554295703705739,1,0.278861399326473,0.579376490106865,1,0.566637134471957,0.802866915692285,"Herbivore",1
"NDUFAF7",-0.039230348587113,-0.281730692989215,0.285610681582255,1,0.778150017782438,0.775176321392086,1,0.908654537730389,0.908110072000781,"Unclear",0
"FUCA2",0.391471962383143,-0.431483855411579,1.2300256732169,1,0.666116589084031,0.218687491132174,1,0.850164078146697,0.508397085741167,"Vertivore",2
"DBNDD1",-0.110521902188284,0.822140629582958,0.579097674582307,1,0.410996863972549,0.562523269036379,1,0.683947339806525,0.793882043464763,"Unclear",0
"HS3ST1",1.13701319301783,-0.97047995942567,1.61816569135329,1,0.33180730949568,0.105626894500444,1,0.614683990819685,0.365341473323645,"Vertivore",2
"SEMA3F",2.48744254666243,-1.71399935221048,1.33975622985198,0.0771991403848473,0.0865288448379962,0.180324610013212,0.62897902741341,0.303408346996924,0.466400276177594,"Both",3
"CFTR",-0.829711744904893,0.711303744295851,0.0914035411103257,1,0.476896031825526,0.927171948130877,1,0.73241546098233,0.971666230058564,"DoubleBoth",4
"CYP51A1",4.1722648473995,-2.09698189179794,3.90766040154556,0.000180952072318452,0.0359951783602454,9.31941704484385e-05,0.0157074718407926,0.18405231736316,0.0185700865072691,"Both",3
"USP28",-1.24917872982308,0.987035267678311,-0.781105754729461,1,0.32362534954278,0.434740297545137,1,0.606432750374441,0.703634532160496,"Both",3
"SLC7A2",1.04658847476672,-0.03685823100053,1.74908055457868,1,0.970598043932791,0.0802770959851991,1,0.988681978478877,0.321704764595502,"Vertivore",2
"HSPB6",0.226744718081032,1.02496774738374,0.848315706832946,1,0.305378406166948,0.39626217252034,1,0.58982686506939,0.673547586512177,"Unclear",0
"PDK4",1.59382411033936,-1.59735482927136,1.70867046156964,0.66585261460606,0.110186635324683,0.0875120086076641,1,0.345925851632344,0.334797714794873,"Unclear",0
"USH1C",-1.05443355534907,0.749628735692611,-1.36164402824286,1,0.453478339042796,0.17331025325689,1,0.714948450993765,0.461427474914871,"Vertivore",2
"RALA",NA,4.37697735724881,NA,NA,1.20336469940599e-05,NA,NA,0.00106745308021686,NA,"MissingData",5
"BAIAP2L1",1.85709479005228,-1.74013559826389,1.54804947291411,0.379786015900603,0.0818352107768413,0.121610385733624,1,0.294573362555757,0.39214416441517,"Both",3
"CACNG3",NA,2.73841628105446,NA,NA,0.00617358764801182,NA,NA,0.0644991432330907,NA,"MissingData",5
"TMEM132A",-1.75498498773918,0.474077170806186,-2.78746842531369,0.475571253765918,0.635444877495179,0.00531216307079458,1,0.83305774986407,0.08783308993538,"Vertivore",2
"DVL2",-1.36120708971304,2.79647764607695,-0.43158249189587,1,0.00516629847391652,0.666044885593887,1,0.0579847423450024,0.853398919404989,"Herbivore",1
"RPAP3",-0.46587546021157,-0.177932375744532,-1.04831260548887,1,0.858776084367789,0.294494603784659,1,0.944682833492873,0.585709767348419,"Vertivore",2
"HOXA11",-1.12162270465957,2.04563165647845,-0.218368376109609,1,0.0407926244469361,0.827142103185988,1,0.197841025663952,0.931338049568667,"Herbivore",1
