"","HI-Rho","HI-P","HI-p.adj","HI-significant","HV-Rho","HV-P","HV-p.adj","HV-significant","CH-Rho","CH-P","CH-p.adj","CH-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","IV-Rho","IV-P","IV-p.adj","IV-significant","OV-Rho","OV-P","OV-p.adj","OV-significant","HI-Driver","HI-DriverNumeric","HV-Driver","HV-DriverNumeric","CH-Driver","CH-DriverNumeric","IV-Driver","IV-DriverNumeric","Herbivore_Rho","Insectivore_Rho","Herbivore_P","Insectivore_P","Herbivore_p.adj","Insectivore_p.adj","Vertivore_Rho","Vertivore_P","Vertivore_p.adj","Carnivore_Rho","Herbivore_Rho.2","Carnivore_P","Herbivore_P.2","Carnivore_p.adj","Herbivore_p.adj.2","HI-HV-Overlap","HI-CH-Overlap","HI-HO-Overlap","HI-IV-Overlap","HI-OV-Overlap","HV-CH-Overlap","HV-HO-Overlap","HV-IV-Overlap","HV-OV-Overlap","CH-HO-Overlap","CH-IV-Overlap","CH-OV-Overlap","HO-IV-Overlap","HO-OV-Overlap","IV-OV-Overlap","HI-HV-CH-Overlap","HI-HV-HO-Overlap","HI-HV-IV-Overlap","HI-HV-OV-Overlap","HI-CH-HO-Overlap","HI-CH-IV-Overlap","HI-CH-OV-Overlap","HI-HO-IV-Overlap","HI-HO-OV-Overlap","HI-IV-OV-Overlap","HV-CH-HO-Overlap","HV-CH-IV-Overlap","HV-CH-OV-Overlap","HV-HO-IV-Overlap","HV-HO-OV-Overlap","HV-IV-OV-Overlap","CH-HO-IV-Overlap","CH-HO-OV-Overlap","CH-IV-OV-Overlap","HO-IV-OV-Overlap","HI-HV-CH-HO-Overlap","HI-HV-CH-IV-Overlap","HI-HV-CH-OV-Overlap","HI-HV-HO-IV-Overlap","HI-HV-HO-OV-Overlap","HI-HV-IV-OV-Overlap","HI-CH-HO-IV-Overlap","HI-CH-HO-OV-Overlap","HI-CH-IV-OV-Overlap","HI-HO-IV-OV-Overlap","HV-CH-HO-IV-Overlap","HV-CH-HO-OV-Overlap","HV-CH-IV-OV-Overlap","HV-HO-IV-OV-Overlap","CH-HO-IV-OV-Overlap","HI-HV-CH-HO-IV-Overlap","HI-HV-CH-HO-OV-Overlap","HI-HV-CH-IV-OV-Overlap","HI-HV-HO-IV-OV-Overlap","HI-CH-HO-IV-OV-Overlap","HV-CH-HO-IV-OV-Overlap","HI-HV-CH-HO-IV-OV-Overlap","HI-HV-Delta","HI-CH-Delta","HI-HO-Delta","HI-IV-Delta","HI-OV-Delta","HV-CH-Delta","HV-HO-Delta","HV-IV-Delta","HV-OV-Delta","CH-HO-Delta","CH-IV-Delta","CH-OV-Delta","HO-IV-Delta","HO-OV-Delta","IV-OV-Delta"
"ARF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MissingData",5,"MissingData",5,"MissingData",5,"MissingData",5,4.45440685947892,-0.374105840161421,8.41254389329987e-06,0.708325573849646,0.000831456853454253,0.888435287977165,NA,NA,NA,NA,4.45440685947892,NA,8.41254389329987e-06,NA,0.000831456853454253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6PR",-1.97917981590889,0.286774587508083,1,FALSE,-0.810725927476331,1,1,FALSE,1.61359081615013,0.319848630583985,0.868508041439076,FALSE,-0.227236015658851,1,1,FALSE,0.723488948761199,1,1,FALSE,-0.644943577701148,1,1,FALSE,"Both",3,"Herbivore",1,"Unclear",0,"Insectivore",1,1.28128502337676,-0.787077736081577,0.200093571391083,0.431236361575327,0.475629373614617,0.731489353314467,0.44354176078554,0.65737392015267,0.848702939566281,-1.75025735435787,1.28128502337676,0.0800739160386007,0.200093571391083,0.237958789619059,0.475629373614617,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.826221668014452,2.54047247717681,1.23881134141453,1.91107541079929,0.943447491741524,1.71425080916236,0.41258967340008,1.08485374278484,0.117225823727072,1.30166113576228,0.629397066377526,1.59702498543529,0.672264069384756,0.295363849673008,0.967627919057765
"FKBP4",-1.03726564276836,1,1,FALSE,0.275185743009542,1,1,FALSE,-0.0691853541916111,1,1,FALSE,1.48905881249763,0.818831294331136,1,FALSE,1.05560188097734,1,1,FALSE,-0.817875519895058,1,1,FALSE,"DoubleBoth",4,"Unclear",0,"Carnivore",1,"DoubleBoth",4,-0.479157003006884,-0.520329230209088,0.631826939958133,0.602834126213746,0.830973487825358,0.838957529990437,-0.458808535913748,0.646371664485336,0.843473416306986,-1.68311177100598,-0.479157003006884,0.0923534562092551,0.631826939958133,0.259525120728568,0.830973487825358,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.928043274861236,0.684536136785648,1.78638115379599,1.47988081816568,0.155132243609061,0.243507138075587,0.858337878934754,0.551837543304449,0.772911031252175,1.10184501701034,0.795344681380036,0.529403893176587,0.306500335630305,1.63124891018693,1.32474857455662
"CYP26B1",-0.234084335126872,1,1,FALSE,-0.206954834490959,1,1,FALSE,-0.691582259907352,1,1,FALSE,-1.22228560963069,1,1,FALSE,-0.0144973317066647,1,1,FALSE,0.690953074965418,1,1,FALSE,"Unclear",0,"Herbivore",1,"Herbivore",2,"Insectivore",1,1.08288065534041,0.913019163875542,0.278861399326473,0.361232462657607,0.566637134471957,0.67596901137227,0.554295703705739,0.579376490106865,0.802866915692285,0.355466603010476,1.08288065534041,0.722240060286521,0.278861399326473,0.853329440286667,0.566637134471957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0191834538698587,0.323499884991051,0.698763822378842,0.155271459178862,0.654100225527499,0.342683338860909,0.717947276248701,0.136088005309003,0.634916771657641,0.375263937387791,0.478771344169913,0.97760011051855,0.854035281557704,1.35286404790634,0.498828766348638
"NDUFAF7",1.20445008581122,1,1,FALSE,-0.039230348587113,1,1,FALSE,-1.12190016067851,0.785714677076764,1,FALSE,-0.942742655607129,1,1,FALSE,-0.980554384474717,1,1,FALSE,0.667027885076149,1,1,FALSE,"Both",3,"Unclear",0,"Carnivore",1,"Insectivore",1,-0.281730692989215,1.14976854174865,0.778150017782438,0.250239215259368,0.908654537730389,0.575374932565104,0.285610681582255,0.775176321392086,0.908110072000781,1.91887826457589,-0.281730692989215,0.0549997419730045,0.778150017782438,0.188561586878264,0.908654537730389,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.87941486879209,1.64497803470788,1.51829454797144,1.5450314778621,0.380014882499964,0.765563165915791,0.638879679179355,0.665616609070014,0.499399986292126,0.126683486736436,0.099946556845778,1.26496315220792,0.0267369298906581,1.13827966547148,1.16501659536214
"FUCA2",1.53325810190812,0.751273641123983,1,FALSE,0.391471962383143,1,1,FALSE,-1.70134980948945,0.266631960007342,0.77840753440337,FALSE,-0.0116796964356576,1,1,FALSE,-0.810186336983886,1,1,FALSE,0.399988099686367,1,1,FALSE,"DoubleBoth",4,"Vertivore",2,"Carnivore",1,"Vertivore",2,-0.431483855411579,0.183625814975281,0.666116589084031,0.85430701004762,0.850164078146697,0.950008289901106,1.2300256732169,0.218687491132174,0.508397085741167,1.71939825980774,-0.431483855411579,0.0855418788961747,0.666116589084031,0.247602162264058,0.850164078146697,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.807364721922921,2.28721318862888,1.0924359937203,1.65706545407444,0.801342903486295,1.47984846670596,0.285071271797379,0.84970073215152,0.00602181843662598,1.19477719490858,0.630147734554438,1.48587028514258,0.564629460354141,0.291093090234005,0.855722550588146
"DBNDD1",-1.9245915615191,0.325682855584918,1,FALSE,-0.110521902188284,1,1,FALSE,1.31798739065856,0.562523606998401,1,FALSE,0.0510236938132404,1,1,FALSE,1.32171878250758,1,1,FALSE,-0.145369602882815,1,1,FALSE,"Both",3,"Unclear",0,"Carnivore",1,"Insectivore",1,0.822140629582958,-1.63344225240592,0.410996863972549,0.102376016724938,0.683947339806525,0.376369438669659,0.579097674582307,0.562523269036379,0.793882043464763,-1.73153164874532,0.822140629582958,0.0833569851681399,0.410996863972549,0.243894193118395,0.683947339806525,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.28274095765759,2.29284956561759,1.39697094406109,2.2954880580973,1.25809991218773,1.01010860796,0.1142299864035,1.01274710043971,0.0246410454698624,0.895878621556501,0.00263849247970958,1.03474965342986,0.898517114036211,0.138871031873363,1.03738814590957
"HS3ST1",-0.533435853428056,1,1,FALSE,1.13701319301783,1,1,FALSE,-1.18465971045039,0.708456054807474,1,FALSE,1.16817078245257,1,1,FALSE,1.47680963778773,0.83836003418105,1,FALSE,0.271551179951144,1,1,FALSE,"Herbivore",1,"Vertivore",2,"Both",3,"Vertivore",2,-0.97047995942567,0.0272989264998103,0.33180730949568,0.978221313079748,0.614683990819685,0.993508098558048,1.61816569135329,0.105626894500444,0.365341473323645,-0.284860351830246,-0.97047995942567,0.775751132658768,0.33180730949568,0.884581010221422,0.614683990819685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.18118584836849,0.460484805370948,1.20321759114322,1.42145821868836,0.569211790069674,1.64167065373944,0.0220317427747333,0.240272370319874,0.611974058298814,1.66370239651417,1.88194302405931,1.02969659544062,0.218240627545141,0.634005801073547,0.852246428618688
"SEMA3F",1.84873664838869,0.386975094271118,1,FALSE,2.48744254666243,0.0771991403848473,0.62897902741341,FALSE,-2.16078856229637,0.0921350279975715,0.403194927014759,FALSE,1.06388120773665,1,1,FALSE,0.927993171419138,1,1,FALSE,1.70024255684114,0.534511862571317,1,FALSE,"Both",3,"Both",3,"Both",3,"Unclear",0,-1.71399935221048,1.02470827862229,0.0865288448379962,0.305500855640814,0.303408346996924,0.631072402437464,1.33975622985198,0.180324610013212,0.466400276177594,2.04600798243214,-1.71399935221048,0.0407555853153111,0.0865288448379962,0.156977903787483,0.303408346996924,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.451633271853205,2.83516246581383,0.554976604336214,0.651063956298452,0.105001179099412,3.28679573766703,1.00660987618942,1.10269722815166,0.556634450952617,2.28018586147761,2.18409850951537,2.73016128671441,0.0960873519622385,0.449975425236801,0.54606277719904
"CFTR",-0.301961588560729,1,1,FALSE,-0.829711744904893,1,1,FALSE,2.03589308819627,0.125283276102022,0.486376725783596,FALSE,-0.983203357185691,1,1,FALSE,-0.551333071306762,1,1,FALSE,-0.109941712360507,1,1,FALSE,"Herbivore",1,"DoubleBoth",4,"DoubleBoth",4,"DoubleBoth",4,0.711303744295851,0,0.476896031825526,1,0.73241546098233,1,0.0914035411103257,0.927171948130877,0.971666230058564,-0.568000905537067,0.711303744295851,0.570034353059248,0.476896031825526,0.755008065441022,0.73241546098233,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.373175714323218,1.65311289536356,0.481710674222228,0.176332266484264,0.135778556583779,2.02628860968677,0.108534959899009,0.196843447838955,0.508954270906997,2.13482356958578,1.82944516184782,1.51733433877978,0.305378407737964,0.617489230806006,0.312110823068042
