,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
ARF5,-0.14253932901996,1,1,0.641426980589818,1,1,0.8315218406203,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-0.979818225670076,1,1,1.11270233203935,1,1,1.84460615803376,0.390569103384707,1,-2.03018342141561,0.25402739023306,1,-1.23304919045091,1,1,-2.64263418090336,0.0493583174240707,0.67015667883515
FKBP4,-0.392016571953957,1,1,2.13065647684907,0.198704718802834,1,2.06458408792058,0.233774220670759,1,0.678602178374884,1,1,0.874990571756954,1,1,-0.774240147767091,1,1
CYP26B1,2.24119440337189,0.15008091135501,0.661332398026679,2.36425550467019,0.108398087411035,0.731230869117873,-0.102241108069581,1,1,-1.02973504768,1,1,-2.32950981763503,0.118992441072579,1,-2.34600781394289,0.113854257885615,0.996115581183352
NDUFAF7,0.984528098493797,1,1,-1.01246201745587,1,1,-1.68874068522782,0.547614810999271,1,-0.953866033793969,1,1,-1.56023898503902,0.712220496388846,1,-0.158156493123695,1,1
FUCA2,1.86074044310988,0.376685037612378,1,-1.19747647521764,1,1,-2.60076145999337,0.0558102644244544,0.406367695441303,0.241229254917499,1,1,-1.12324328690261,1,1,1.02484114759628,1,1
DBNDD1,-1.98359450335133,0.283806374795203,1,1.15166395096457,1,1,2.69161183222261,0.04266459224846,0.341835212373705,-1.56022905060044,0.712234577163763,1,-0.0962279428748682,1,1,-2.17720200334589,0.176792993456398,1
HS3ST1,-0.0528295691533873,1,1,2.35669424450685,0.110630529414924,0.740988769520434,1.95894643764465,0.300714359174985,1,1.53652215067239,0.746462216376198,1,1.40230077325478,0.96495269768372,1,-0.134234802562214,1,1
SEMA3F,0.793671942376479,1,1,0.487611724523737,1,1,-0.32351523268972,1,1,0.566539905637156,1,1,-0.0686440607809398,1,1,0.199511085806913,1,1
CFTR,-0.770181741693576,1,1,-1.41918638522373,0.935068104981181,1,-0.469839614825831,1,1,-1.14483595692135,1,1,-0.420348599058681,1,1,-0.0252099246987343,1,1
CYP51A1,1.0471339606672,1,1,3.72187016951514,0.00118651619563802,0.0464975099845629,2.06533115037215,0.233350068623548,1,3.27590832639608,0.00631936452348082,0.147949110478619,2.28433796205523,0.134110058948794,1,0.813176489838975,1,1
USP28,-2.4301499616395,0.090555460444375,0.47147276775577,-0.0887678971557596,1,1,2.06189641070326,0.235305596040828,1,-1.16569135293979,1,1,0.791605866024045,1,1,-0.993061954137323,1,1
SLC7A2,-1.31579597237964,1,1,-1.37256429758555,1,1,0.109007043014015,1,1,-1.0344057151866,1,1,0.0891072834632605,1,1,-0.00117101810712367,1,1
HSPB6,0.572889908973837,1,1,1.04056394319629,1,1,0.408133177299048,1,1,-2.01852610320927,0.26121899046949,1,-2.24951042047354,0.146880243598224,1,-2.50317633164276,0.0738505223396152,0.803797743828654
PDK4,-1.91896318374055,0.329933959943834,1,3.28785283272479,0.00605727585916955,0.131634887720383,4.3485597087447,8.22207071971615e-05,0.00519295721214341,0.848589327796001,1,1,2.02207859379083,0.259009398482711,1,-1.34169499961669,1,1
USH1C,0.989769362009508,1,1,1.75276336977954,0.477855798965475,1,0.547684751117057,1,1,0.643867263654338,1,1,-0.166789995221262,1,1,-0.652542156459598,1,1
RALA,-0.563824612588226,1,1,1.69122775241999,0.544759874939959,1,2.57080796445166,0.0608769426145169,0.429975267668685,-0.322589583540553,1,1,0.0431966450295879,1,1,-1.4592363171778,0.867000457587445,1
BAIAP2L1,-0.028480066725053,1,1,2.24100295282386,0.150155302433411,0.879316473292917,1.84607394147772,0.389288819568907,1,2.21620943576889,0.160062971754092,1,1.99223786201831,0.278069795034848,1,0.568891606598125,1,1
CACNG3,-1.88396744487089,0.357416275045564,1,2.04500235501934,0.245127755571407,1,3.46914787995367,0.00313267188840356,0.0614494488170814,-0.324730422520454,1,1,0.379013717031336,1,1,-1.27044889863402,1,1
TMEM132A,0.880705642515761,1,1,3.66505872307032,0.00148369102485399,0.0536808120685322,2.11251166545956,0.207855518777432,0.936752683894019,-0.0270800441477967,1,1,-0.67729145573465,1,1,-2.61608494316545,0.0533666565141583,0.695065371203542
DVL2,-0.369066178633909,1,1,-3.75270982147627,0.00104959983930397,0.0430255402157647,-2.75787243830585,0.0349073376962359,0.296934710148554,-2.98724873646343,0.0168900351720421,0.271038383509544,-2.36629050683699,0.107804037776235,1,-0.0923339427533673,1,1
RPAP3,3.75731244470168,0.00103048801797844,0.0227973344014243,0.234961433992722,1,1,-3.14712226171232,0.00989316002932221,0.129744502970473,0.990991618795196,1,1,-1.84072524065395,0.393970998774471,1,0.750450416006305,1,1
HOXA11,-1.03738207164916,1,1,0.29578652153821,1,1,1.22185338218723,1,1,-2.34817509160037,0.113193903275755,0.875238282616938,-1.41318527389878,0.945607531656344,1,-2.44681888265752,0.0864739455854356,0.867837516758423
TRAPPC6A,0.246975868334161,1,1,0.670560884783253,1,1,0.327748412031082,1,1,0.832439684458908,1,1,0.571019606827011,1,1,0.328613425733464,1,1
