,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.020035903941171,274,0.140456003684569,0.290959819813358
FKBP4,0.0116953108444037,310,0.306293439153186,0.47136571122374
CYP26B1,0.00434234243363927,223,0.809961940085453,0.86919947622439
NDUFAF7,0.015765391609073,318,0.171970832649822,0.329361911356911
FUCA2,0.00985980200594981,339,0.343129244509831,0.505642859578294
DBNDD1,0.0120348201588903,267,0.361623210341522,0.522224718891194
HS3ST1,0.015699960597252,260,0.254394427027892,0.420440326731862
SEMA3F,0.0178116463101271,287,0.165032767620795,0.321081367576313
CFTR,0.00471761446723539,347,0.652089604428049,0.75759771252581
CYP51A1,0.0812791963487721,287,3.58875832176609e-05,0.00146679495440031
USP28,0.0134182204601964,331,0.218801968652879,0.38202366903541
SLC7A2,0.00383783026912497,309,0.7573121900071,0.83221119781
HSPB6,0.00176933031488311,226,0.940634850252356,0.959896778949952
PDK4,0.0488208671123766,273,0.00406997998735242,0.031896394885207
USH1C,0.00617508514544713,337,0.557021868205082,0.687002797490234
RALA,NA,NA,NA,NA
BAIAP2L1,0.0152179928890786,308,0.197458230221038,0.35814672954239
CACNG3,NA,NA,NA,NA
TMEM132A,0.00286907903846271,336,0.810653375101424,0.869613146429332
DVL2,0.0341089088282524,270,0.0270487709834615,0.105275444927847
RPAP3,0.0111009478552409,328,0.304287581643789,0.469482999861842
HOXA11,0.0254058839096397,200,0.167758581365414,0.324317401789047
TRAPPC6A,0.00182940133622258,250,0.928548778278308,0.95157694023192
SPATA20,0.00817125448802174,337,0.43254338772523,0.582942571058261
CD79B,0.00975304614292041,337,0.350853369095867,0.512578393596825
RHBDD2,0.024350076449081,263,0.0945286742462781,0.227670217356161
RPUSD1,0.0150574697041621,288,0.228776058764522,0.393131043815767
TSR3,0.0178224688832125,284,0.168620817498052,0.325355320616256
NDUFAB1,0.0159711279760948,252,0.260520500833146,0.425872658293067
YBX2,0.0368346565019532,252,0.0261987974572377,0.103389098094861
ITGA3,0.0427745353434665,340,0.00229723749834105,0.0220891835506525
KRT33A,0.0169082630793985,224,0.287331155566161,0.453040828187142
LRRC23,0.00866984694776968,323,0.424869600237712,0.576485210634616
TFAP2D,NA,NA,NA,NA
CRY1,0.00649922176938666,257,0.645011468365582,0.753400718383719
PGLYRP1,0.0191932955335175,274,0.155058738622555,0.309745782306342
STARD3NL,0.00971236696125926,215,0.556285468935259,0.686433204510438
CD74,0.017942714861732,327,0.119175486341032,0.262944527748222
RPS20,0.0555164333477015,98,0.145675096945278,0.297764336693436
MGST1,0.0527162394361036,283,0.00193483525554687,0.0197844217755552
CPA1,0.0305328668422074,325,0.0195010507604002,0.0860794244514042
SYPL1,0.0246317226126297,308,0.0559881549801265,0.16518391045405
RANBP9,0.0202045349399471,275,0.1364986951011,0.285681655715991
CD4,0.0147307768426867,336,0.176633370565287,0.334717619856095
PLEKHG6,0.00990755221730069,351,0.324982990413212,0.488745223200138
QPCTL,0.0143062895714588,272,0.275055376900324,0.440563795605386
PPP5C,0.0186243791380331,215,0.263021413664852,0.428420154736973
UBR7,0.0222142850942484,310,0.0763539971626251,0.200985317220566
MAP4K5,0.0118814079286707,272,0.358953064437225,0.519719687891736
ERCC1,NA,NA,NA,NA
GPRC5A,0.0425377745160281,326,0.00315362862263818,0.0272020870267813
HEBP1,0.0092273559018644,261,0.493799845519555,0.63586958747391
COX15,0.00204571348817667,307,0.890458011433874,0.926450429240419
MS4A12,0.0222629799236844,221,0.179431289900233,0.33774242044215
XYLT2,0.00251140343083018,312,0.853994888644828,0.900585160972471
FTSJ1,0.0867561199995564,244,0.000101240451205175,0.00289810451923211
SCTR,0.0174932511185219,321,0.132902395785779,0.281388841572024
RALBP1,0.0742704872031539,296,6.81118391826555e-05,0.00220529566255672
SYT13,0.00709358814342559,311,0.532142938693117,0.66729010159913
SNAI2,0.00978891188856812,187,0.610432630541146,0.727167206013119
SLC7A9,0.051904145317082,311,0.00108666138485251,0.0136286962983174
RTF2,0.00336284049746022,300,0.799923708214292,0.861739128354954
RB1CC1,0.00876499943542437,333,0.405713772481886,0.561740631396249
AKAP11,0.0134668766094525,356,0.188574632136307,0.347456948706255
