"","Herbivore...Insectivore.Rho","Herbivore...Insectivore.P","Herbivore...Insectivore.p.adj","Herbivore...Omnivore.Rho","Herbivore...Omnivore.P","Herbivore...Omnivore.p.adj","Insectivore...Omnivore.Rho","Insectivore...Omnivore.P","Insectivore...Omnivore.p.adj","Herbivore...Vertivore.Rho","Herbivore...Vertivore.P","Herbivore...Vertivore.p.adj","Insectivore...Vertivore.Rho","Insectivore...Vertivore.P","Insectivore...Vertivore.p.adj","Omnivore...Vertivore.Rho","Omnivore...Vertivore.P","Omnivore...Vertivore.p.adj","Carnivore...Herbivore.Rho","Carnivore...Herbivore.P","Carnivore...Herbivore.p.adj","Carnivore...Omnivore.Rho","Carnivore...Omnivore.P","Carnivore...Omnivore.p.adj"
"ARF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M6PR",-1.99675073959941,0.275113603251479,1,0.00961780094250383,1,1,1.96233627123537,0.298340081985606,1,-0.90073280770022,1,1,0.650401058680293,1,1,-0.895421540967122,1,1,1.62054584640939,0.315345222901535,0.835357012628181,1.29052162009028,0.59060883056302,1
"FKBP4",-1.03896909842703,1,1,1.20686292117037,1,1,2.08489566669852,0.222472632667562,1,0.39954196694816,1,1,1.17719003474709,1,1,-0.508508721339866,1,1,0.600698922059664,1,1,2.67545016739931,0.0223886900809628,0.217022376204945
"CYP26B1",0.0644176446202496,1,1,-0.540988439217606,1,1,-0.54807602095076,1,1,-0.232220806995983,1,1,-0.267041865552075,1,1,0.182006302077316,1,1,0.0121510944151989,1,1,-0.583847881476363,1,1
"NDUFAF7",1.41266825078567,0.946519745727367,1,-0.82337236461164,1,1,-2.1032169029052,0.21268088033223,1,0.362383718795442,1,1,-0.769929492269996,1,1,0.97960301118477,1,1,-0.549020616075147,1,1,-1.47319810333904,0.422092879090263,1
"FUCA2",1.82353789852303,0.409331775117643,1,0.551994369482415,1,1,-1.27122801029262,1,1,0.618887153038973,1,1,-0.834002109808046,1,1,0.192173178155969,1,1,-1.60657538807527,0.324442635333269,0.850325547200203,-1.80244463277103,0.214426435079585,0.783086584563239
"DBNDD1",-1.5638174586699,0.707162658226584,1,0.275836880327975,1,1,1.73598328115622,0.495400744700415,1,-0.292244892673987,1,1,0.880181608931618,1,1,-0.480808621547677,1,1,1.04644936872388,0.886060828681476,1,0.931004783907914,1,1
"HS3ST1",-0.40800437815194,1,1,1.23634893917816,1,1,1.51085449887781,0.784953155008758,1,1.21833599838631,1,1,1.45820543629431,0.8687035548829,1,0.261746301060997,1,1,-0.167276017834515,1,1,0.678844652632834,1,1
"SEMA3F",1.8928846322632,0.350239280207728,1,0.86963085740632,1,1,-1.04301024206106,1,1,2.21057304024932,0.162392504386514,0.907427445894899,0.619134850673027,1,1,1.50791189607503,0.789462465494167,1,-2.25773525374256,0.0718865098465451,0.332521866177224,-1.10124295441121,0.812372794316658,1
"CFTR",-0.0145967222217085,1,1,-0.393223800369966,1,1,-0.340655155094009,1,1,-0.781761015159462,1,1,-0.722946105481892,1,1,-0.471775598090005,1,1,1.49941263196209,0.401299855698974,0.975700429068886,0.909174448629723,1,1
"CYP51A1",-0.998026577638593,1,1,1.46010735020892,0.865563437132239,1,2.23040718212139,0.154322539229476,0.953459738606073,4.16503559101141,0.000186782398303816,0.0140505078510634,4.59818438965359,2.55713235456515e-05,0.0183918700396915,2.97658254594286,0.0174888361786638,0.544542698824169,-1.75960288009437,0.235425488611079,0.695416337742498,-0.301599883279965,1,1
"USP28",-2.0746989319559,0.228086678636303,0.991153417952059,-0.595385371273917,1,1,1.46613696387214,0.855665864276875,1,-1.53259492927067,0.752254149937919,1,0.194553180168105,1,1,-1.04018261588477,1,1,2.33119062921668,0.0592299301434499,0.294920166170615,1.26509324550853,0.617513711722388,1
"SLC7A2",-0.0467347096079778,1,1,0.172347264799608,1,1,0.194142977874849,1,1,1.22977085047617,1,1,1.15848905844205,1,1,1.0680871444861,1,1,-0.824333662347119,1,1,-0.818418164225756,1,1
"HSPB6",-0.507074273656332,1,1,-0.241049358830159,1,1,0.26433656934402,1,1,-0.272370917394375,1,1,0.0907155511378284,1,1,-0.102526064624609,1,1,-0.122488639524656,1,1,0.186524870248239,1,1
