,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.00220459559656711,282,0.431236361575305,0.723689479678721
FKBP4,0.000848722595015804,320,0.602834126213707,0.831814217982244
CYP26B1,0.00364019211180793,230,0.361232462657601,0.667673050428289
NDUFAF7,0.00403038932803252,329,0.250239215259396,0.565047492033678
FUCA2,9.66144410471378e-05,350,0.854307010047375,0.947381713804832
DBNDD1,0.00966715069545282,277,0.102376016724934,0.365659741136187
HS3ST1,2.7703769070982e-06,270,0.978221313080224,0.99282204807144
SEMA3F,0.00355941375009202,296,0.305500855640793,0.621722233960735
CFTR,0,357,1,1
CYP51A1,0.018228861519615,298,0.019976214142666,0.158054786938186
USP28,0.0098943072535326,343,0.065837970119195,0.292046562124043
SLC7A2,7.97807426607109e-06,320,0.959765347200602,0.985458209464295
HSPB6,0.00280082959290304,232,0.421190306010054,0.715332423513592
PDK4,0.000376381457405115,284,0.744146083374349,0.900312102645696
USH1C,4.51999644505783e-05,348,0.900335668482024,0.966048362733927
RALA,NA,NA,NA,NA
BAIAP2L1,0.00350442374808933,316,0.293413233099342,0.610415856084425
CACNG3,NA,NA,NA,NA
TMEM132A,0.000498016994625012,349,0.677186780601172,0.868583146192914
DVL2,0.010546998793659,280,0.0862710874846508,0.334546747258928
RPAP3,0.000782052236011006,337,0.608223788726521,0.835209258994564
HOXA11,0.00234720780837257,207,0.486830046366892,0.763008660499567
TRAPPC6A,0.000107906492568134,262,0.866724789097329,0.951885538723752
SPATA20,0.00667875099911844,347,0.128473956335571,0.406378450058447
CD79B,6.39788128074655e-05,348,0.881554564915103,0.958490005395858
RHBDD2,0.0205897140153196,271,0.0183835739785875,0.151727155401674
RPUSD1,0.0134455491598353,295,0.0467881233771543,0.246191546126586
TSR3,0.0132180305668912,297,0.0479271939378586,0.249992632628296
NDUFAB1,0.00941734424411201,259,0.119057594052392,0.392148114310925
YBX2,0.00553315865394928,261,0.230362582502216,0.543688793811258
ITGA3,0.00868262631004193,352,0.0808564554108971,0.323007448913416
KRT33A,2.4149612313844e-05,227,0.941108250416218,0.977324620690619
LRRC23,0.0040298127431091,333,0.247405030459845,0.561464895362785
TFAP2D,NA,NA,NA,NA
CRY1,0.00167553586049877,267,0.504387628839433,0.772531913958644
PGLYRP1,0.000497316047456384,286,0.70656217108011,0.882602925708572
STARD3NL,0.00277467290793642,221,0.434626691129436,0.726236019056616
CD74,0.0016825688692387,338,0.451443246960463,0.73769575563003
RPS20,NA,NA,NA,NA
MGST1,0.00500030893171446,291,0.228513577549136,0.541269151085037
CPA1,0.00310928325906416,336,0.307447349069943,0.623392504916809
SYPL1,1.45389713716666e-05,322,0.945534472513161,0.97943086905332
RANBP9,0.00607681831347513,282,0.191298881447519,0.496890460026625
CD4,0.000776271430507639,348,0.603757256963885,0.832740468052617
PLEKHG6,0.0102275127142718,365,0.0536738218626662,0.262674102642218
QPCTL,0.00686834760526348,281,0.165511215244694,0.459273867935698
PPP5C,0.00190711224573621,220,0.51810818553074,0.781870471314214
UBR7,2.29172168043666e-05,320,0.931862304797851,0.974606776291735
MAP4K5,0.00207537896108769,281,0.445879087806776,0.73383188118909
ERCC1,0.0315997831415111,173,0.0197352521028984,0.157346768255275
GPRC5A,0.000957682088855896,338,0.569966318430585,0.813594563124845
HEBP1,0.000822759587077487,269,0.638659534984136,0.851245624685153
COX15,0.000667120638332514,318,0.645612012396744,0.853959664162145
MS4A12,0.00363994063569928,230,0.361249049408883,0.667673050428289
XYLT2,0.00217108676679135,325,0.401632852279518,0.700936949434935
FTSJ1,0.0373094693431455,254,0.00212385034137052,0.0478508995023173
SCTR,0.00180021262915708,333,0.439468183157273,0.72879362028687
RALBP1,0.0347984177372503,307,0.00110171183554928,0.0338405798428028
SYT13,0.000637657305242101,321,0.651471203302407,0.857058659728909
SNAI2,0.000591602051353964,193,0.736096104633482,0.896440415001768
SLC7A9,0.0100678737577034,321,0.0726672549747892,0.306430619460554
RTF2,1.07183893262218e-05,309,0.954181456149663,0.982997488944966
RB1CC1,0.000346890746898895,347,0.729008245879551,0.892769255407761
AKAP11,3.56817007296542e-05,372,0.908400639257286,0.968701184837743
B4GALT7,2.39176420393505e-05,277,0.93524457205055,0.97585350694812
FAM13B,0.0333745105581881,318,0.00114334984928498,0.0345256277708586
CHPF2,1.93640664541353e-05,299,0.939447935582386,0.976808669500552
GABARAPL2,NA,NA,NA,NA
MYOC,0.000151801868417418,315,0.827175930866808,0.935089966132495
FAM136A,0.00500166492519293,217,0.298617119627215,0.615480348036889
NSMAF,0.0026874077002753,338,0.341269537785187,0.653570740060898
OTC,0.00564264271758191,278,0.211224745183881,0.522683535159458
TTC17,2.65227772956307e-05,308,0.92809986676932,0.973963532342754
HOXC8,NA,NA,NA,NA
MRI1,0.0104609326488109,306,0.0740635276213227,0.309697849865365
TARBP1,0.0188453497651173,353,0.0100074885515051,0.109509896444855
RTN4R,0.00343685698506433,302,0.309105499616577,0.624448689641912
PSMA4,NA,NA,NA,NA
ZPBP,0.00364002234825839,311,0.288115399255348,0.604470347570016
LCP2,0.00117606345750057,335,0.530828545729137,0.78941853823715
DCN,0.00618769122896493,319,0.160693714480523,0.452469426724364
TNFRSF17,0.000629353495973909,309,0.659738931160564,0.861262502392747
MRPS10,0.0056602722399283,298,0.194778238956825,0.501702530614545
GRN,0.00577514912787986,354,0.153347940449825,0.441324333665541
THAP3,0.000387319178879153,321,0.72479763931449,0.890215729433587
VAMP3,0.00255700427759272,245,0.429598359314568,0.722592185451663
RCN1,0.000196613501088905,273,0.817116708539284,0.931522910338388
RFC2,0.0230501561521193,270,0.0127714806259299,0.124433855936781
PPP1R3F,0.0251573979360331,256,0.0113151631453782,0.11657471507192
NFE2L3,0.041495560472608,348,0.000147884002072978,0.0118123360446034
CBLN4,0.0182783736214651,201,0.055878517742068,0.26765460074035
CLDN11,0.00413879579814268,195,0.370219866306277,0.676888098653825
FAM168A,NA,NA,NA,NA
RELT,0.00115448100171047,339,0.532186631717419,0.790277422023323
PKP2,0.00142570568956388,329,0.494078827558711,0.767292081190755
YIPF1,0.0151734646591697,278,0.0403513493837205,0.227757898964779
ADCK2,0.00233448251093859,317,0.390399780436054,0.692618159421183
INPP4A,4.63288678182554e-05,299,0.906464678222042,0.968568701003578
SLC2A3,9.53616841909433e-08,295,0.995775272967205,0.998153086036111
STYK1,0.000616835831165326,336,0.649413778923995,0.855543634129493
GNA11,NA,NA,NA,NA
CREB3L3,0.0203364885673843,303,0.0132036328537575,0.126286898535433
HDAC7,0.001838404672636,346,0.425800799564038,0.720006901981845
MRPS35,0.0193458796853542,317,0.0134168545926556,0.127119439877249
APPBP2,NA,NA,NA,NA
CA11,0.00125609210987046,213,0.605830366289802,0.833933272020582
ISOC2,0.000330315072533129,264,0.768190953574356,0.910073823331425
CD22,0.00788960397792361,354,0.095148899552773,0.351992697684579
GSC2,0.00387222526456209,219,0.358213952655659,0.665732462755643
KCNQ1,0.00501030076495898,305,0.217146228524395,0.530702658765428
TRIB2,0.0151576727190565,175,0.104371928305127,0.368662525312197
OTUD5,0.00152164529528623,225,0.559339834063834,0.806573934230619
GPKOW,0.0140545180391132,313,0.0362562872827836,0.216522783170095
AQR,0.000955523175129578,334,0.572697896460791,0.814551586947338
LMCD1,4.88818312881002e-05,284,0.906371809558056,0.968568701003578
PSMC4,NA,NA,NA,NA
FNDC8,0.000680181193840544,318,0.642399694010528,0.853052766618038
ACAP1,0.000422463778367324,340,0.705105340708968,0.882435726853005
DERL2,NA,NA,NA,NA
NOX3,0.0073616046072742,349,0.10947121654527,0.37757006418882
ANO8,0.00536385180047397,291,0.212322823519379,0.52407408582198
ICAM3,0.00997382194389063,285,0.0923706957731962,0.347030394587856
CTTNBP2,0.000307363988152977,356,0.741154850662891,0.898581784127771
ACTL6B,NA,NA,NA,NA
KIF22,0.00327060712356515,324,0.304036303558048,0.620388417414154
PRSS22,0.00374817729934966,303,0.287359879308481,0.604365481882776
YTHDC2,0.0226300137539913,285,0.0112403084914339,0.116504486915328
TMEM161A,0.0174374410930191,313,0.019675243545187,0.157346768255275
FOXJ2,0.0131334528490104,315,0.0422813952045055,0.233956202178238
