,Rho,N,P,p.adj
A1BG,-0.111644190387755,123,0.218922248382627,0.999120640650678
A1CF,-0.024569126810256,128,0.783099060229127,0.999120640650678
A2M,-0.160699561740311,169,0.0368723893335985,0.999120640650678
A2ML1,0.0528903113576871,134,0.543891585538943,0.999120640650678
A3GALT2,0.0135379102042215,132,0.877557349998066,0.999120640650678
A4GALT,-0.0650965505048395,154,0.422497130038017,0.999120640650678
A4GNT,0.0547492914752731,151,0.504337259436465,0.999120640650678
AAAS,-0.00738826360846992,132,0.932994040076436,0.999120640650678
AACS,0.0191042707232112,156,0.812878032323773,0.999120640650678
AADAC,-0.0651424309126584,107,0.505006874914515,0.999120640650678
AADACL2,0.0190404279739165,120,0.836468333619962,0.999120640650678
AADACL3,0.0248849677630015,158,0.756284520346741,0.999120640650678
AADACL4,-0.0235909439169658,141,0.781264153182867,0.999120640650678
AADAT,-0.0588869588022297,152,0.471131215031515,0.999120640650678
AAGAB,-0.0105506509069904,136,0.902971591429385,0.999120640650678
AAK1,0.140113650819472,145,0.0927840371196893,0.999120640650678
AAMDC,0.138093816698842,88,0.199467738752303,0.999120640650678
AAMP,0.242451739706831,95,0.017919376649378,0.999120640650678
AANAT,-0.106992983892397,138,0.211650745530175,0.999120640650678
AAR2,0.188222060757173,133,0.0300353749561448,0.999120640650678
AARD,-0.111535350350877,105,0.25731727071527,0.999120640650678
AARS1,-0.0684957171254167,145,0.413002689952482,0.999120640650678
AARS2,-0.0314088309748589,165,0.688799032626057,0.999120640650678
AARSD1,0.00761532720357504,145,0.927565438275335,0.999120640650678
AASDH,0.0903759077091806,165,0.248320570843246,0.999120640650678
AASDHPPT,-0.0388417490236307,113,0.682938313491434,0.999120640650678
AASS,0.00526329100998421,153,0.948516483322556,0.999120640650678
AATF,-0.0179111086983628,155,0.824933421372644,0.999120640650678
AATK,0.0411884213792541,156,0.609685434343716,0.999120640650678
ABAT,-0.0302267890532723,134,0.728815558910365,0.999120640650678
ABCA1,-0.121856893048568,162,0.122409808135013,0.999120640650678
ABCA10,0.1494326137237,111,0.117500596642973,0.999120640650678
ABCA12,-0.0664032199305214,168,0.392439015396942,0.999120640650678
ABCA13,-0.0182999018655436,147,0.825872066309487,0.999120640650678
ABCA2,0.0330259324449198,149,0.689269300993665,0.999120640650678
ABCA3,0.175768510167486,168,0.0226680682745114,0.999120640650678
ABCA4,0.130228433838887,168,0.0924672983040214,0.999120640650678
ABCA5,0.025914948746998,166,0.740324661104896,0.999120640650678
ABCA6,0.0171990682720372,156,0.8312455389357,0.999120640650678
ABCA7,0.0352879727309977,135,0.68450518932795,0.999120640650678
ABCA8,0.194220741573603,155,0.0154540038019673,0.999120640650678
ABCA9,-0.0469338027530321,142,0.579138667507184,0.999120640650678
ABCB1,-0.103533146967038,161,0.191223749471838,0.999120640650678
ABCB10,-0.0881284487085638,143,0.295260277307589,0.999120640650678
ABCB11,-0.0569647988354614,164,0.468750164018422,0.999120640650678
ABCB4,-0.0793679903354896,158,0.321547244908502,0.999120640650678
ABCB5,0.0610702999862818,146,0.464012141011978,0.999120640650678
ABCB6,-0.0490647916362428,156,0.543017068037008,0.999120640650678
ABCB7,-0.0487453353169371,132,0.578864077922008,0.999120640650678
ABCB8,0.077807305012953,156,0.334313622570026,0.999120640650678
ABCB9,-0.0622186049897254,143,0.460385693213474,0.999120640650678
ABCC1,-0.00807745129153773,163,0.918491558086151,0.999120640650678
ABCC10,0.118686877706595,169,0.124313944964212,0.999120640650678
ABCC11,0.00203322504944826,133,0.9814692172961,0.999120640650678
ABCC12,0.0548534474963724,143,0.515249885413094,0.999120640650678
ABCC2,-0.13398897544479,169,0.082427912474709,0.999120640650678
ABCC3,0.0247220422067743,158,0.757830543622694,0.999120640650678
ABCC4,-0.0650700811189181,164,0.407779462467928,0.999120640650678
ABCC5,-0.0540151514281404,137,0.530727312529375,0.999120640650678
ABCC6,0.02160887098877,168,0.780993683612717,0.999120640650678
ABCC8,0.00158831305325813,161,0.984046234194299,0.999120640650678
ABCC9,-0.152395493740755,121,0.095174515214071,0.999120640650678
ABCD1,-0.0291071685627719,144,0.729105812917225,0.999120640650678
ABCD2,0.14305371688342,137,0.0953857268649629,0.999120640650678
ABCD3,-0.0792528720118919,128,0.373869924455208,0.999120640650678
ABCD4,-0.137690443071804,154,0.088588140396369,0.999120640650678
ABCE1,0.0473817930444359,56,0.728763693813614,0.999120640650678
ABCF1,-0.0733261207169332,137,0.394467555159458,0.999120640650678
ABCF2-H2BE1,0.0188068632275064,100,0.852663909163952,0.999120640650678
ABCF2,0.00717031122742723,87,0.9474465261536,0.999120640650678
ABCF3,0.0103050327406777,131,0.907003351209693,0.999120640650678
ABCG1,-0.102112112286095,126,0.255221085065509,0.999120640650678
ABCG2,-0.0420643224860683,153,0.605666828562827,0.999120640650678
ABCG4,-0.122783372805444,120,0.18154688511554,0.999120640650678
ABCG5,-0.0079077297229482,160,0.920945316228772,0.999120640650678
ABCG8,-0.0629000800054421,159,0.430894348297642,0.999120640650678
ABHD1,-0.0223822384150146,153,0.783610513740859,0.999120640650678
ABHD10,-0.151859220628546,144,0.0692199676651329,0.999120640650678
ABHD11,0.0858669185435919,95,0.40802320358061,0.999120640650678
ABHD12,-0.0412536064575994,115,0.661568091612473,0.999120640650678
ABHD12B,-0.0200893514669353,152,0.805946695453048,0.999120640650678
ABHD13,0.188638171504568,83,0.0876582559899747,0.999120640650678
ABHD14A-ACY1,-0.0325492235357554,120,0.724148159129016,0.999120640650678
ABHD14A,0.137197048592625,118,0.138475633383654,0.999120640650678
ABHD14B,0.176583842197194,121,0.0526825471220676,0.999120640650678
ABHD15,0.12036423876462,135,0.16435814797912,0.999120640650678
ABHD16A,-0.0289826347552837,128,0.745368260873379,0.999120640650678
ABHD16B,0.0572786083956284,133,0.512550349653516,0.999120640650678
ABHD17A,0.0827001907202364,92,0.433198201353685,0.999120640650678
ABHD17B,0.163114797889133,54,0.238593374060764,0.999120640650678
ABHD17C,0.250805808361239,61,0.0512218212980536,0.999120640650678
ABHD18,0.217501038384136,125,0.0148281395067529,0.999120640650678
ABHD2,0.0211453549369877,90,0.843185557377912,0.999120640650678
ABHD3,-0.104194269781567,118,0.261501135109515,0.999120640650678
ABHD4,-0.0159434086848452,104,0.872379639652682,0.999120640650678
ABHD5,-0.155125779653937,124,0.0853700957192027,0.999120640650678
ABHD6,-0.207995900957806,119,0.0232134832597898,0.999120640650678
ABHD8,0.0466850544389241,111,0.626573611076602,0.999120640650678
ABI1,-0.0472656247026789,68,0.70190496021034,0.999120640650678
ABI2,0.125277649684449,99,0.216629495361751,0.999120640650678
ABI3,-0.0348949241892661,138,0.684509183550449,0.999120640650678
ABI3BP,-0.115153755348922,167,0.138374493960389,0.999120640650678
ABITRAM,-0.010513602446977,117,0.91042371384816,0.999120640650678
ABL1,0.0809548847973301,157,0.313497026473822,0.999120640650678
ABL2,0.265694680994834,143,0.00134029749668184,0.999120640650678
ABLIM1,0.142202487649893,125,0.113660938755935,0.999120640650678
ABLIM2,-0.0361715001611919,145,0.665789299973375,0.999120640650678
ABLIM3,-0.0183181030706071,110,0.849353710418198,0.999120640650678
ABO,0.0853684040469493,82,0.445720080972166,0.999120640650678
ABR,-0.0453434655186094,92,0.667782334222333,0.999120640650678
ABRA,-0.04947299580276,152,0.544993099081291,0.999120640650678
ABRACL,0.135472658273581,69,0.26704727176273,0.999120640650678
ABRAXAS1,0.0780574829942526,142,0.355824500222992,0.999120640650678
ABRAXAS2,0.138194180461757,131,0.11546249680449,0.999120640650678
ABT1,0.223570517648212,128,0.0111872633280458,0.999120640650678
ABTB1,-0.0821495997751703,139,0.33634624505347,0.999120640650678
ABTB2,0.0601093814177608,145,0.472635262688293,0.999120640650678
ACAA1,0.0403278728536321,130,0.648711463182373,0.999120640650678
ACAA2,-0.0590651919901,134,0.497825197575545,0.999120640650678
ACACA,-0.0109346654759635,134,0.90021022500034,0.999120640650678
ACACB,-0.128126405667956,158,0.10863570054131,0.999120640650678
