,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj,Carnivore...Omnivore.Rho,Carnivore...Omnivore.P,Carnivore...Omnivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,1.84542888919437,0.194925521795884,0.614401858372212,2.1254402145356,0.100649693115551,0.730762158986986,0.405075019900513,1,1
FKBP4,0.84939834481908,1,1,1.28941332879544,0.591763290194201,1,0.52143402666694,1,1
CYP26B1,0.335425971567017,1,1,-0.212428900894155,1,1,-0.529374998378234,1,1
NDUFAF7,-1.0191530404088,0.924390949848375,1,-1.9178664651777,0.16538383613378,0.913415474797021,-1.00893206531659,0.939021647496568,1
FUCA2,-1.60927242535498,0.322670357486376,0.846798073529303,-1.19289171151569,0.698735357210706,1,0.289720071262578,1,1
DBNDD1,1.21324581341758,0.675107559360187,1,1.12022271928294,0.787856594122289,1,0.0205324313862457,1,1
HS3ST1,-0.310632912950715,1,1,0.891802632440247,1,1,1.19751784473269,0.69331432930401,1
SEMA3F,-2.10384436063614,0.106176077273931,0.415782415337319,-1.63765308449545,0.304482247839315,1,0.307044411186964,1,1
CFTR,-0.133921004365781,1,1,0.823410851334157,1,1,0.962028863119892,1,1
CYP51A1,-1.16703075629352,0.729593847406674,1,0.687803137302431,1,1,1.8217927658128,0.205459307512699,1
USP28,2.00173809815634,0.135938719878172,0.487780112504028,1.49099689269514,0.407886932154565,1,-0.351745685514928,1,1
SLC7A2,0.00707377768439656,1,1,-0.697923355308359,1,1,-0.733033991497416,1,1
HSPB6,0.525683910241327,1,1,-0.0295378965319397,1,1,-0.521899806885092,1,1
PDK4,0.318474296608176,1,1,3.07822805984154,0.00624706460519961,0.199030682517251,2.84804597700727,0.0131965707258918,0.391104878360364
USH1C,0.818472612992146,1,1,1.02280693356146,0.919197417309228,1,0.268109322656118,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,0.470495010566398,1,1,0.729987574532037,1,1,0.290480189796488,1,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA
