,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj,Herbivore...5.Rho,Herbivore...5.P,Herbivore...5.p.adj,Insectivore...5.Rho,Insectivore...5.P,Insectivore...5.p.adj,Omnivore...5.Rho,Omnivore...5.P,Omnivore...5.p.adj,Vertivore...5.Rho,Vertivore...5.P,Vertivore...5.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-1.89531177730634,0.58051108798049,1,-0.227236015658851,1,1,1.68787462454976,0.914352986775406,1,-0.810725927476331,1,1,0.669272370398907,1,1,-0.644943577701148,1,1,-0.937158658973798,1,1,-0.5044079068206,1,1,-0.890032104665551,1,1,-0.693706987029283,1,1
FKBP4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP26B1,0.000152577354296236,1,1,-1.22228560963069,1,1,-1.08049347260397,1,1,-0.206954834490959,1,1,-0.192904605598974,1,1,0.690953074965418,1,1,-1.50559820055026,1,1,-1.49486320179381,1,1,-1.22715932889981,1,1,-1.41091593214414,1,1
NDUFAF7,0.988086314125774,1,1,-0.942742655607129,1,1,-1.82276966925758,0.683382833387562,1,-0.039230348587113,1,1,-0.813349689617908,1,1,0.667027885076149,1,1,1.80837184969403,0.705486461402168,1,1.58809504131603,1,1,1.98839643296926,0.467678629949067,1,1.79293568600918,0.729832083779177,1
FUCA2,1.28231113081252,1,1,-0.0116796964356576,1,1,-1.29261939671057,1,1,0.391471962383143,1,1,-0.622588361450254,1,1,0.399988099686367,1,1,2.15876910830514,0.308680842238161,1,1.88223461781239,0.598041673459036,1,2.16091951472182,0.307015571731333,1,2.02983338871393,0.423734778207702,1
DBNDD1,-2.01028345482544,0.444011969830138,1,0.0510236938132404,1,1,2.02101115699914,0.432786101582996,1,-0.110521902188284,1,1,1.39247740609475,1,1,-0.145369602882815,1,1,0.285937337568588,1,1,0.744462510765651,1,1,0.275142201980333,1,1,0.311303945843346,1,1
HS3ST1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEMA3F,2.07130428324093,0.383303692651087,1,1.06388120773665,1,1,-1.11346957932438,1,1,2.48744254666243,0.128665233974746,1,0.738516984121813,1,1,1.70024255684114,0.890853104285527,1,-1.33301453904586,1,1,-1.78891495261217,0.736285133220206,1,-1.54725608906933,1,1,-1.97898370485858,0.478178409463168,1
CFTR,-0.523310704238649,1,1,-0.983203357185691,1,1,-0.355827361117674,1,1,-0.829711744904893,1,1,-0.376487952708147,1,1,-0.109941712360507,1,1,1.72904064395385,0.838018211025714,1,1.82895032973552,0.674070495036316,1,1.90956868299559,0.561887705617979,1,1.90947758299013,0.562005108600027,1
CYP51A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USP28,-2.18751882608542,0.28704670416351,1,-0.438243537759107,1,1,1.78952297173568,0.735306313125238,1,-1.24917872982308,1,1,0.538714896019529,1,1,-0.920045739917074,1,1,-1.29632479809347,1,1,-0.833923632105648,1,1,-1.21403441830951,1,1,-0.968929358141758,1,1
SLC7A2,-0.201014175744253,1,1,-0.158145649427914,1,1,0.0619559520305186,1,1,1.04658847476672,1,1,1.12340569667633,1,1,1.16019148028666,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSPB6,-0.500578094535276,1,1,-0.72199312525351,1,1,-0.168074897810118,1,1,0.226744718081032,1,1,0.556972257060967,1,1,0.695406874644182,1,1,-0.756040012576131,1,1,-0.631115982875244,1,1,-0.591773374094498,1,1,-0.806317523504924,1,1
PDK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USH1C,-0.186354365935779,1,1,-0.261892623500947,1,1,-0.0492016951872655,1,1,-1.05443355534907,1,1,-0.840198340368606,1,1,-0.852815081279776,1,1,-1.69794692524527,0.895177795299531,1,-1.65215114665927,0.985037426006201,1,-1.64860312646743,0.99228967809463,1,-1.41905756076582,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,-0.585948630564374,1,1,0.51409698020031,1,1,1.03367255428471,1,1,-1.75498498773918,0.79261875627653,1,-1.18194551299471,1,1,-2.11882835979469,0.341049750989613,1,-0.0710304507511887,1,1,0.0500786629169216,1,1,-0.166272234342695,1,1,0.362149458851425,1,1
DVL2,-0.414180333551865,1,1,-3.14628613478613,0.0165358145357612,0.666944519609037,-2.39822461602725,0.164747592379924,1,-1.36120708971304,1,1,-0.931715008001674,1,1,1.09101381181415,1,1,-1.06325657344395,1,1,-0.961573900729654,1,1,-0.405061108982886,1,1,-0.688998983649508,1,1
RPAP3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOXA11,-1.56566837213352,1,1,-1.70429834936131,0.883253632032703,1,-0.0141770706221041,1,1,-1.12162270465957,1,1,0.131537709714876,1,1,0.148743377655382,1,1,-1.56041705840533,1,1,-1.14313584885327,1,1,-1.14483685827113,1,1,-1.16681477002293,1,1
TRAPPC6A,0.158436187688245,1,1,-0.117796668980795,1,1,-0.270583542480523,1,1,0.365121338645119,1,1,0.223328009019744,1,1,0.460114675854205,1,1,-0.263516176904785,1,1,-0.299953852293687,1,1,-0.237687049182029,1,1,-0.360778039349992,1,1
SPATA20,1.2967387912264,1,1,-0.684703689819909,1,1,-1.92095370686859,0.547375439591465,1,-0.45971302492518,1,1,-1.45054333858732,1,1,0.0551189868390982,1,1,-1.49234909039304,1,1,-1.75433482463879,0.793731519218959,1,-1.36392172650781,1,1,-1.35936334504268,1,1
CD79B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RHBDD2,1.47231019080244,0.845622795720303,1,2.60268516505616,0.0554981108681553,1,0.903187228882274,1,1,0.456610498324796,1,1,-0.690897953518565,1,1,-1.46012452076799,0.865535127698997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RPUSD1,-1.24788147627749,1,1,0.830476566821459,1,1,2.006500762487,0.448028474875872,1,0.621823928871176,1,1,1.55572186102025,1,1,0.0117120053523928,1,1,-1.80944006590757,0.703826633981559,1,-1.51903775570751,1,1,-1.97784709903095,0.479459583178663,1,-1.94758082231847,0.514651403053725,1
TSR3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDUFAB1,1.51599768529171,0.77711962622667,1,1.04524078319488,1,1,-0.555298900483106,1,1,2.22760178603588,0.155442488801024,1,0.947914611780322,1,1,1.44694117964714,0.887480390481195,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBX2,-2.39010082126101,0.168437482100585,0.965148844238101,-1.57534940669955,1,1,0.849694138228035,1,1,-1.95280462112458,0.508427507661487,1,0.0926105701949613,1,1,-0.641975323794667,1,1,-2.09836077851021,0.358732872479668,1,-1.53398510529874,1,1,-1.74398230654777,0.811621751433856,1,-1.54583803373348,1,1
ITGA3,-2.89429703421982,0.0380008495085179,0.389098952142367,0.240266148259126,1,1,3.07706742532291,0.0209048009358178,0.292887263637615,-2.0463869344847,0.407183165220893,1,0.365281249204895,1,1,-2.21100584006854,0.270354326449315,1,0.0775502833775581,1,1,0.673737256373336,1,1,0.0330855058795865,1,1,0.572665427297459,1,1
KRT33A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LRRC23,-0.425430336260747,1,1,-2.35985226975555,0.182822138967757,1,-1.68528570055148,0.919334632373496,1,-0.506243211867215,1,1,-0.137800775678938,1,1,1.27468153344088,1,1,-0.000134772737667565,1,1,0.0901583960003285,1,1,0.449871398333975,1,1,0.126062739887112,1,1
TFAP2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRY1,0.867460217341187,1,1,-0.271450133840638,1,1,-1.09591908120356,1,1,0.167571092396576,1,1,-0.511595810086813,1,1,0.36644033540336,1,1,0.370729419055371,1,1,0.166527677349678,1,1,0.428119480459137,1,1,0.317130540857513,1,1
PGLYRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STARD3NL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD74,-0.790082851433655,1,1,-0.772095743847707,1,1,0.0860882212567918,1,1,-2.06307689513555,0.391053229715393,1,-1.34019294844277,1,1,-1.4880030818312,1,1,-1.45284214684198,1,1,-1.28303721406057,1,1,-1.30558840329266,1,1,-0.921329933050024,1,1
RPS20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MGST1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPA1,2.52149579334966,0.116857072693516,0.776787242112249,2.7572301320277,0.0582933091442095,1,-0.0506553909036918,1,1,3.07758669253183,0.0208684128457265,0.360725422047559,1.00230536514522,1,1,1.10353656742686,1,1,2.1150806795751,0.344230715955054,1,1.57849182412181,1,1,1.59600731988556,1,1,1.28344945498994,1,1
SYPL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RANBP9,2.09908147954665,0.358097187563755,1,1.34252734639033,1,1,-0.875729554173101,1,1,0.616299396773122,1,1,-0.973960849692355,1,1,-0.332112573074213,1,1,-0.108736939587591,1,1,-0.583535068480159,1,1,-0.382886466948619,1,1,-0.280311280403593,1,1
CD4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLEKHG6,-1.65210713829419,0.985127120386761,1,-0.47149856593188,1,1,1.22718705845037,1,1,-2.07737587046286,0.377668814669563,1,-0.62737673609783,1,1,-1.71510003223287,0.863268884260493,1,1.80897129457184,0.704554630493524,1,2.13678213302725,0.326157160090368,1,1.89541569991998,0.580373503461312,1,2.27824872617157,0.227117626614895,1
QPCTL,0.899825925848793,1,1,0.842378352902747,1,1,-0.12510152351627,1,1,0.869768024663039,1,1,0.163667550159665,1,1,0.268472837335374,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPP5C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UBR7,-1.70869771345623,0.875069578879872,1,-2.57822262196951,0.0993099943246391,1,-0.529458596023813,1,1,-2.07798125328868,0.377110858329552,1,-0.579525327340338,1,1,-0.18213549820248,1,1,0.155286733660711,1,1,0.531461853543146,1,1,0.650828374556462,1,1,0.687303902526478,1,1
