,Background...Vertivore.Rho,Background...Vertivore.P,Background...Vertivore.p.adj
ARF5,NA,NA,NA
M6PR,0.44354176078554,0.65737392015267,0.848702939566281
FKBP4,-0.458808535913748,0.646371664485336,0.843473416306986
CYP26B1,0.554295703705739,0.579376490106865,0.802866915692285
NDUFAF7,0.285610681582255,0.775176321392086,0.908110072000781
FUCA2,1.2300256732169,0.218687491132174,0.508397085741167
DBNDD1,0.579097674582307,0.562523269036379,0.793882043464763
HS3ST1,1.61816569135329,0.105626894500444,0.365341473323645
SEMA3F,1.33975622985198,0.180324610013212,0.466400276177594
CFTR,0.0914035411103257,0.927171948130877,0.971666230058564
CYP51A1,3.90766040154556,9.31941704484385e-05,0.0185700865072691
USP28,-0.781105754729461,0.434740297545137,0.703634532160496
SLC7A2,1.74908055457868,0.0802770959851991,0.321704764595502
HSPB6,0.848315706832946,0.39626217252034,0.673547586512177
PDK4,1.70867046156964,0.0875120086076641,0.334797714794873
USH1C,-1.36164402824286,0.17331025325689,0.461427474914871
RALA,NA,NA,NA
BAIAP2L1,1.54804947291411,0.121610385733624,0.39214416441517
CACNG3,NA,NA,NA
TMEM132A,-2.78746842531369,0.00531216307079458,0.08783308993538
DVL2,-0.43158249189587,0.666044885593887,0.853398919404989
RPAP3,-1.04831260548887,0.294494603784659,0.585709767348419
HOXA11,-0.218368376109609,0.827142103185988,0.931338049568667
TRAPPC6A,0.602024679678494,0.547157709523853,0.784089963058257
SPATA20,-0.268510322980247,0.788306529941845,0.914258271126442
CD79B,0.732566799964386,0.463822686492838,0.726493607465294
RHBDD2,0.0101855388558684,0.991873256322132,0.99670402282724
RPUSD1,1.42592057272152,0.153891270292182,0.436256333801261
TSR3,-0.943601669876355,0.345373238599595,0.632804103678584
NDUFAB1,1.66937225133517,0.0950436293871107,0.347419888253369
YBX2,-1.02070822224062,0.307392697818715,0.595948225209252
ITGA3,-1.74470833245834,0.0810356521447467,0.322604768053309
KRT33A,1.74519616469901,0.0809507286261401,0.322510268583519
