,Background...Carnivore.Rho,Background...Carnivore.P,Background...Carnivore.p.adj
ARF5,NA,NA,NA
M6PR,-1.75025735435787,0.0800739160386007,0.237958789619059
FKBP4,-1.68311177100598,0.0923534562092551,0.259525120728568
CYP26B1,0.355466603010476,0.722240060286521,0.853329440286667
NDUFAF7,1.91887826457589,0.0549997419730045,0.188561586878264
FUCA2,1.71939825980774,0.0855418788961747,0.247602162264058
DBNDD1,-1.73153164874532,0.0833569851681399,0.243894193118395
HS3ST1,-0.284860351830246,0.775751132658768,0.884581010221422
SEMA3F,2.04600798243214,0.0407555853153111,0.156977903787483
CFTR,-0.568000905537067,0.570034353059248,0.755008065441022
CYP51A1,1.06565314873438,0.28658046393139,0.513747071547009
USP28,-2.23999050223781,0.0250915394782197,0.115757008539371
SLC7A2,0.837447162901669,0.402341264897648,0.624147575246014
HSPB6,0.028483933980354,0.977276181657303,0.988517553045934
PDK4,-1.30440372766857,0.192095964891149,0.403653860266659
USH1C,-1.43203663891809,0.152133335942267,0.353029162432695
RALA,NA,NA,NA
BAIAP2L1,-0.74186947077005,0.458166424470044,0.670769731600089
CACNG3,NA,NA,NA
TMEM132A,-1.69705473061212,0.0896863136945889,0.255080972011639
DVL2,0.589474469321149,0.555543033759137,0.744041635495324
RPAP3,0.898777332454172,0.368771276259139,0.595023635536676
HOXA11,-1.5193983771781,0.128662250212783,0.318721949907297
TRAPPC6A,0.561110691501522,0.574722080093472,0.758706651538685
SPATA20,0.869850726105333,0.384381986025205,0.607712325082642
CD79B,0.809280584800515,0.41835377130705,0.637299732463186
RHBDD2,0.71038167446027,0.477467484068481,0.684780313267351
RPUSD1,-0.925325386434447,0.354796677376928,0.581796907057455
TSR3,1.00065557832485,0.316993350333309,0.545708570131101
NDUFAB1,2.09321771874023,0.036329723737757,0.14598879097933
YBX2,-2.6446277413036,0.0081780831840072,0.0556683364596158
ITGA3,-3.89994027765638,9.62164191394244e-05,0.00271534485738665
KRT33A,1.45933353131417,0.144473330702935,0.341203938083875
LRRC23,1.33829710238247,0.180799606032638,0.390812425877273
TFAP2D,NA,NA,NA
CRY1,1.43078481837853,0.152491895429931,0.353424881562866
PGLYRP1,0.40613697634385,0.684641958271435,0.830768525995647
STARD3NL,-1.2052672974346,0.228100129935435,0.447189263864294
CD74,-1.5898840046105,0.111860953786829,0.292378439438996
RPS20,NA,NA,NA
MGST1,3.47160509798755,0.000517356775264269,0.00848156793384356
CPA1,2.05660791648465,0.0397239561226462,0.154348611942179
SYPL1,0.0141528576481593,0.988708030362498,0.994794423055262
RANBP9,1.38854667098277,0.164970643477531,0.369230258785257
CD4,0.104718820409915,0.916598927544447,0.961418671420609
PLEKHG6,-2.14730934523285,0.0317686623328342,0.13399870280472
QPCTL,1.19801684398776,0.230910459608963,0.45058403596418
PPP5C,0.793576816527556,0.427441833374275,0.645660673975818
UBR7,-1.32990823039416,0.183548509343304,0.393450863690407
MAP4K5,1.84869871378818,0.0645013295310219,0.208986531385041
ERCC1,1.16067480023598,0.245774173582653,0.466335173269698
GPRC5A,2.26155759670379,0.0237247503541198,0.112255843635903
HEBP1,-0.129023302463613,0.897339210239331,0.95163902280618
COX15,0.407286212923862,0.683797787678696,0.830554711900206
MS4A12,-0.595285878453165,0.551652393730611,0.74137072522363
XYLT2,-0.64907631126413,0.51628905253814,0.715748918088793
FTSJ1,4.62036636310056,3.83063015859288e-06,0.000285732123174738
SCTR,0.458092177750351,0.646886218500613,0.808479926293966
RALBP1,3.70237587033398,0.000213589869010925,0.004649548788204
SYT13,-0.128237087314741,0.897961350918697,0.951896005200172
SNAI2,-0.260010834010463,0.794855416612935,0.894966952964977
SLC7A9,4.18217842011289,2.88729241056056e-05,0.00118948536924929
RTF2,0.219117533659559,0.826558492753026,0.912446763501
RB1CC1,-0.867716157367152,0.385549738449681,0.608982291708808
AKAP11,-1.18872853289919,0.234546508863823,0.454494311054808
B4GALT7,0.445979524070263,0.655612036724521,0.813000016182304
FAM13B,4.21644977863253,2.48178525856572e-05,0.0010943872414385
CHPF2,-0.879511776962995,0.379123850428878,0.6035876483747
GABARAPL2,NA,NA,NA
MYOC,-3.28653467410985,0.00101428285810503,0.013454215708399
FAM136A,1.60439004596591,0.108628103746527,0.287021752949663
NSMAF,-2.15779241451983,0.030943974916413,0.131665124736305
OTC,1.38355582794164,0.166494501683,0.371395612195116
TTC17,0.610904152461862,0.54126303564702,0.732748815047878
HOXC8,NA,NA,NA
MRI1,0.937470427510599,0.348516628602653,0.576073752439773
TARBP1,1.65209241906099,0.098515712142294,0.270663055536893
RTN4R,-0.790406654069115,0.429290317426924,0.647661132050633
PSMA4,NA,NA,NA
ZPBP,-0.698859551730673,0.484639807570218,0.689468199493759
LCP2,0.107211898557632,0.914620876154768,0.960013549821251
DCN,0.137554080069283,0.890592849228637,0.949102344879207
TNFRSF17,-0.420004543069927,0.674482134871938,0.824358983350055
MRPS10,2.52168172687848,0.0116795329851597,0.0695269744647059
GRN,3.66949176860298,0.000243033162845918,0.00503170640812995
THAP3,-0.0566198553534147,0.954848017631061,0.978310062374223
VAMP3,-1.02023266423436,0.307618129590621,0.536618772001643
RCN1,0.498163565650608,0.618368760293592,0.78933879868716
RFC2,2.18423539616943,0.0289449552035265,0.127078917195745
PPP1R3F,0.513952027318838,0.607285531200956,0.782488153710035
NFE2L3,3.837125368837,0.000124482930236109,0.00320522229787735
CBLN4,-1.815446571747,0.0694553095948645,0.218539336760405
CLDN11,0.0191603287308713,0.984713204874897,0.99223564040098
FAM168A,NA,NA,NA
RELT,0.0906362666098575,0.927781613930405,0.96600554830851
PKP2,-0.220958346029457,0.825124866400576,0.91163869331855
YIPF1,1.5993184181176,0.109749869125897,0.289071427928903
ADCK2,0.977492565652205,0.328325356502767,0.557243251994795
INPP4A,-0.889615327983586,0.373672472917594,0.599036135454702
SLC2A3,0.539157237939948,0.589778363690489,0.769701202466054
STYK1,0.637046428141538,0.524094602098572,0.721025666217404
GNA11,NA,NA,NA
CREB3L3,2.31595225913507,0.0205608754918806,0.101568293288899
HDAC7,0.115529076721078,0.908025774880329,0.956593002031069
MRPS35,3.91040434430026,9.214174525623e-05,0.0026191595905821
APPBP2,NA,NA,NA
CA11,-1.3606555887265,0.173622555589986,0.381506686221955
ISOC2,1.34850123769101,0.177497222355498,0.386255532931928
CD22,3.67125238516665,0.000241364848048306,0.00502521647900604
GSC2,1.18494333682458,0.236039851237805,0.456166064469789
