,Rho,N,P,p.adj
A1BG,0.0297807260046443,153,0.209923654058286,0.435419113118182
A1CF,0.000475363223035856,151,0.995042954934073,0.996755225022151
A2M,0.0713956342904301,211,0.00182256939771404,0.0329299929588915
A2ML1,0.104242839089675,176,0.000391990287014621,0.0137255546362939
A3GALT2,0.015318600680399,166,0.470329324498546,0.668384866224442
A4GALT,0.0130046497869132,191,0.480576082778503,0.676554660670946
A4GNT,0.009523984129295,184,0.62744103819925,0.780290517362683
AAAS,0.0246083303908447,159,0.273801763173804,0.499890154307716
AACS,0.0358885857901202,186,0.0843245193722599,0.271576270205128
AADAC,0.0268914455739514,147,0.26954969315119,0.496163209883436
AADACL2,0.110710703633302,148,0.000996115565567028,0.0231367091713
AADACL3,0.0237085776957446,201,0.191716847051263,0.415219326458659
AADACL4,0.0165761979166514,175,0.409816631273577,0.618192906904542
AADAT,0.0546545123021716,183,0.0190210138131212,0.123529944790513
AAGAB,0.0497485670880055,162,0.0458153795574925,0.195252548706697
AAK1,0.0471805276584299,173,0.0436928427596378,0.190807031049248
AAMDC,0.0432385700008423,94,0.259185385416444,0.48552950116025
AAMP,0.0516179394702351,101,0.160325993598333,0.378379907354585
AANAT,0.0639468256773121,170,0.0128165364897748,0.100864571918684
AAR2,0.016295999187704,155,0.473561552187461,0.670887869354933
AARD,0.0465394064113752,121,0.13365781779661,0.346235270465199
AARS1,0.0272642461221489,177,0.187160140173654,0.410230015565247
AARS2,0.0459947363698533,203,0.0256626720980121,0.143470665018538
AARSD1,0.0195764566394176,181,0.31769329578419,0.540962678343002
AASDH,0.0782702863058436,208,0.00103083717931109,0.0235612699094564
AASDHPPT,0.0259819884749377,129,0.344082426407122,0.565666528912882
AASS,0.0230253426591862,186,0.234753473791649,0.460217607850014
AATF,0.0380858275711621,191,0.0647353492449864,0.234883148760344
AATK,0.0399648635556364,198,0.0487089353856658,0.202172470669381
ABAT,0.0309909476505089,166,0.163671850008185,0.382733298854494
ABCA1,0.00894198923843192,201,0.617462943056927,0.773666489760169
ABCA10,0.0204503065612827,158,0.360266436999537,0.579137313464564
ABCA12,0.0612155374749849,214,0.00455321255361549,0.0567719166323624
ABCA13,0.0968925893954445,199,0.000250375627054874,0.0105999935926777
ABCA2,0.0373599941270296,188,0.0723351163726302,0.248951491306704
ABCA3,0.0315653102391134,210,0.0859088931868231,0.274590058730978
ABCA4,0.0261939938950101,205,0.14829975063721,0.364109031807927
ABCA5,0.00595546326717649,207,0.746577914922094,0.857625394620669
ABCA6,0.0223565334937153,205,0.206936609845015,0.432105724491978
ABCA7,0.0644013027806824,182,0.0086568959541866,0.0824440990974376
ABCA8,0.0285383909344091,201,0.126731549475369,0.336341961499008
ABCA9,0.037429868715862,197,0.0619184644786945,0.229444431332628
ABCB1,0.0309387837709993,207,0.0947916980006162,0.288359897194975
ABCB10,0.0346019568674122,178,0.105705521634067,0.305161101982695
ABCB11,0.0994923352147501,208,0.000127767854737935,0.00702082477303322
ABCB4,0.0718506555408681,200,0.00252601534923709,0.0402864845253326
ABCB5,0.0380513060256344,189,0.0671585063116125,0.239107211857988
ABCB6,0.0197326077870115,188,0.29694312722491,0.522229661437465
ABCB7,0.0156880285970414,152,0.499451575055662,0.690704078703554
ABCB8,0.0216513786797518,197,0.236325874942979,0.461793601010994
ABCB9,0.0814073601233193,177,0.00249139586959089,0.0400774803616054
ABCC1,0.0340110987695682,204,0.0750129832722754,0.254235636091509
ABCC10,0.0947650215407583,218,0.000129668356862374,0.0070627548293342
ABCC11,0.00447787055471618,175,0.854447425145537,0.921048934414158
ABCC12,0.0173157268286442,186,0.361314068311325,0.580170542582825
ABCC2,0.0276575835878157,215,0.115632190325514,0.31991629903218
ABCC3,0.0548484086817081,201,0.0118909526500538,0.0965161943203499
ABCC4,0.0274713699236739,204,0.134123095212686,0.346861726728018
ABCC5,0.00764327347591589,161,0.747511661348148,0.858004204925075
ABCC6,0.011835384180015,213,0.47364849353972,0.670908990773165
ABCC8,0.015482049741158,199,0.381644370305211,0.596056966514263
ABCC9,0.0709729330783596,148,0.0152222051225721,0.110319883701412
ABCD1,0.00368173614455336,174,0.887926058338134,0.937835590914407
ABCD2,0.0528980530010624,164,0.0347565596435579,0.169178257914867
ABCD3,0.0738351299035969,148,0.0125434892436435,0.0994298372896131
ABCD4,0.00698335845959086,193,0.719467120731357,0.840898075353477
ABCE1,0.0535778507914324,48,0.472018284785215,0.66979894163396
ABCF1,0.0119872344943949,164,0.582025813921691,0.750881422656226
ABCF2-H2BE1,0.0290287838798079,110,0.367004152259734,0.584970766517869
ABCF2,0.0324379626784812,96,0.379213405225938,0.594011714812377
ABCF3,0.0243181017904912,151,0.302103201454295,0.527492445780636
ABCG1,0.0216646155593029,149,0.360889212406029,0.579788206011169
ABCG2,0.0243321265434175,190,0.203647458198729,0.42874602750067
ABCG4,0.0364117264089859,142,0.162240184901253,0.38098498826894
ABCG5,0.0449185226821519,194,0.0340270954175995,0.167068195424102
ABCG8,0.0561715341135967,200,0.0108006160040798,0.0916641504156132
ABHD1,0.0450617454720037,190,0.0364575619601446,0.173261714054754
ABHD10,0.0253704363219435,178,0.21313321379851,0.438537267653819
ABHD11,0.0312118461145068,118,0.301602959203975,0.527189633485187
ABHD12,0.0251532778662163,137,0.331174188531735,0.553184431848024
ABHD12B,0.0336091828245897,184,0.104514183080945,0.303206697154935
ABHD13,0.0196183243584358,91,0.622438430066748,0.776765798571942
ABHD14A-ACY1,0.114140177695269,156,0.000509162511421661,0.0161854594927691
ABHD14A,0.136861084192274,149,0.000150258206627092,0.00775348995304564
ABHD14B,0.0500618405591551,149,0.0599392413899148,0.225740614209768
ABHD15,0.0090191040667484,167,0.68292335231784,0.817483475820703
ABHD16A,0.0708492657285878,157,0.0114454260536523,0.0948422582417415
ABHD16B,0.131695235797815,166,7.42471085395038e-05,0.00499305103925587
ABHD17A,0.00314204051213502,106,0.95430764569093,0.973593451116197
ABHD17B,0.0669140860167684,46,0.38991173587505,0.602362983073015
ABHD17C,0.0032102469186024,61,0.978772621289329,0.98714544609516
ABHD18,0.0150325002678411,149,0.527078114043931,0.712235893058072
ABHD2,0.0361526246922087,93,0.344034571937098,0.565666528912882
ABHD3,0.00613734700175549,142,0.833776723236581,0.908386524766114
ABHD4,0.022550729180953,107,0.495428400211029,0.688051907785808
ABHD5,0.00477440267797215,142,0.879490889011382,0.933629726103087
ABHD6,0.0131095880281281,139,0.612951651775539,0.770886773578889
ABHD8,0.0546336947733014,140,0.0551896886223837,0.216090834570871
ABI1,0.0183236172162511,66,0.755155253822023,0.862519374723124
ABI2,0.077693389942846,107,0.0413873004483059,0.18533988888671
ABI3,0.0390125024506686,172,0.0831521585839555,0.269524692900978
ABI3BP,0.0233353401241587,214,0.173975443777956,0.395855149380884
ABITRAM,0.0400855004356534,134,0.149079642439385,0.364873942893294
ABL1,0.0225524761542782,190,0.234486485745424,0.459936217380831
ABL2,0.0193900487063901,177,0.332269268468832,0.554317844580472
ABLIM1,0.0341955886056948,155,0.153315939631686,0.369848397236343
ABLIM2,0.0156680820366723,181,0.420176466634227,0.62761985570222
ABLIM3,0.00251446553197571,119,0.960646623005222,0.977223967526282
ABO,0.062111520735837,113,0.0732975799213569,0.250813815217566
ABR,0.0430851333402678,105,0.214004449756243,0.439320100105771
ABRA,0.0037342050982327,190,0.871847188090187,0.930063533372122
ABRACL,0.0868116614899936,66,0.130345106651322,0.341452488637438
ABRAXAS1,0.0558521225627136,175,0.0211192023969742,0.130138439381686
ABRAXAS2,0.0189893118057929,154,0.406447393066273,0.615703182730629
ABT1,0.0512322698398065,163,0.0402086518919264,0.181930232558369
ABTB1,0.0151348418376477,163,0.484056775088099,0.678461408717258
ABTB2,0.0227196066154683,172,0.274146864596016,0.50004097833894
ACAA1,0.0147274727557077,162,0.499032681121508,0.690381045965945
ACAA2,0.0069327367959321,167,0.764818776452508,0.868510373552629
ACACA,0.00907688007034475,158,0.699668809247967,0.828143549806261
ACACB,0.0431836161220204,197,0.0373353411621804,0.175538297619661
ACAD10,0.166533169534482,204,2.17684682300302e-07,0.000202688269020708
ACAD11,0.0157716876404858,192,0.38971846482794,0.602312748926812
ACAD8,0.0189587521441628,172,0.355804666923666,0.575041587320324
ACAD9,0.00749969954645283,177,0.724401973374144,0.844232500943895
ACADL,0.00966921383871274,179,0.632248575326064,0.783496970541107
ACADM,0.0365293160729093,174,0.0970562911784132,0.292374218228763
ACADS,0.014028159122347,167,0.507049918348908,0.696455233667855
ACADSB,0.00755139495640212,184,0.709781662485996,0.834725553078025
ACAN,0.0335135865991494,222,0.0600100968730221,0.22583193627286
ACAP1,0.105650854686617,173,0.000405353161147558,0.0139573358333765
ACAP2,0.0357014173766979,135,0.18831523337843,0.411632969651888
ACAP3,0.0138152907662883,172,0.500669454857587,0.691483963097807
ACAT1,0.0407257427828819,162,0.0874474505057021,0.277128196218121
ACAT2,0.00972555322343089,177,0.634336342092762,0.785131409003671
ACBD3,0.0321048756853865,162,0.159840112225509,0.377807589206545
ACBD4,0.0147133547507688,180,0.451613756657123,0.652447732201713
ACBD5,0.00998009922472254,178,0.622256819108419,0.77669525772927
ACBD6,0.00580251688115342,157,0.824174529605314,0.904287500789933
ACBD7,0.0194374270354703,115,0.528829895225553,0.713403690680716
ACCS,0.0200541360123942,195,0.273533230223887,0.499595745917302
ACCSL,0.0200688049385927,187,0.291800243964759,0.517184325308923
ACD,0.027731326364128,191,0.153129782975993,0.369562948834788
ACE,0.00591567122204147,202,0.755631774605143,0.86265339172951
ACE2,0.027410847597759,201,0.139708975596859,0.353985146547645
ACER1,0.167067274998439,176,1.99699993310925e-06,0.00065263359217472
ACER2,0.0307284850791344,99,0.389872157696579,0.602362983073015
ACER3,0.0360892296582588,126,0.211297557209737,0.436756646216487
ACHE,0.00808338546702793,156,0.740340727669136,0.853936041796946
ACIN1,0.0975684419171907,136,0.00427955161937649,0.0545276932734236
ACKR1,0.0182448648124808,190,0.327532314919072,0.550058915953606
ACKR2,0.0188726448984901,189,0.314582537409904,0.538211196443028
ACKR3,0.0799995606264248,157,0.0059075593185197,0.0665332617807648
ACKR4,0.0384042137003784,165,0.097966009273565,0.293767899798153
ACLY,0.0419789316089456,156,0.0893972939453113,0.279707410708963
ACMSD,0.0134227406645991,154,0.561340437564048,0.735554985294252
ACO1,0.0578775384891533,181,0.0153278966049581,0.110556613766321
ACO2,0.0342973113132823,154,0.154546296469286,0.371648308473522
ACOD1,0.0366372617138548,193,0.070810809393257,0.245986936208956
ACOT1,0.00387407014960449,205,0.851783248027696,0.920040493114921
ACOT11,0.0120172436870614,183,0.534486156064925,0.717683848494176
ACOT12,0.105680666421297,182,0.000257208474850463,0.0107911699763838
ACOT13,0.0534621380246944,147,0.0502078302051259,0.206248103743591
ACOT2,0.00129802155620787,192,0.969505607907149,0.981948045139111
ACOT4,0.01021775747981,184,0.599854085117196,0.762475735077661
ACOT6,0.0287863585119917,204,0.11947077624133,0.325270625522288
ACOT7,0.00387665304077068,109,0.936357486288787,0.963246479709936
ACOT8,0.0355481536089753,169,0.112976040524613,0.315683467399731
ACOT9,0.035918113126858,165,0.11705729239487,0.32189891389602
ACOX1,0.0296648656526549,180,0.150454113044787,0.367032375300981
ACOX2,0.0559621289056826,202,0.0104558472287567,0.0901262399791472
ACOX3,0.00991506015635851,205,0.567714350338931,0.740397458150982
ACOXL,0.088902078804236,180,0.00118125656590673,0.02543866741007
ACP1,0.0388865202306174,124,0.188390888318184,0.411713249105116
ACP2,0.00672815658334916,163,0.779497985866321,0.877476944689257
ACP3,0.0235574045717841,200,0.196128053955346,0.420325976654417
ACP4,0.0265194236104895,167,0.221179229721921,0.446822023343126
ACP5,0.0475253910115934,163,0.0526571570774343,0.211071763055992
ACP6,0.0295508041046104,197,0.122182490903766,0.328962966284588
ACP7,0.0405855958166144,183,0.0605454843167473,0.226428685374898
ACR,0.0161821798180178,182,0.402706036275419,0.612176272542722
ACRBP,0.0102308542651467,182,0.603731372226448,0.765326581148792
ACRV1,0.0493821627206568,173,0.0368372500708313,0.174300842416773
ACSBG1,0.0904796131312378,172,0.00145464410373686,0.0287655099409874
ACSBG2,0.0153579268562314,175,0.444958715106775,0.64803579343293
ACSF2,0.0125673104840066,186,0.5077575433238,0.696964668560589
ACSF3,0.0187457353539627,189,0.317637224313166,0.54095321032233
ACSL1,0.010188285024958,195,0.577292818352304,0.747750703915023
ACSL3,0.0232200252209856,165,0.282947209385836,0.509151914261915
ACSL4,0.0373274831571098,148,0.139409812785971,0.353611927093827
ACSL5,0.0359640772490519,201,0.0659995214299867,0.237023151185231
ACSL6,0.0850446188942566,161,0.00349173761707277,0.0485403644259937
ACSM1,0.0312144431007575,177,0.139013395412272,0.353087200673548
ACSM2A,0.0342992776003434,168,0.125621257577995,0.334754383913795
ACSM2B,0.0443196962321244,160,0.0704199723328397,0.24537658896673
ACSM4,0.0821093250935662,180,0.00209421418695539,0.0361819230859783
ACSM5,0.0298702371766171,167,0.174864347707963,0.396998545899321
ACSM6,0.0675644712430425,49,0.35564166600087,0.574927792611663
ACSS1,0.010006326549423,179,0.619050689816707,0.774609919474157
ACSS2,0.0344911090412474,176,0.109874502712469,0.311090387966582
ACSS3,0.0505720625877153,160,0.0451727690865862,0.1936868560532
ACTA1,0.0421536796536792,21,0.839139044833157,0.911757739954664
ACTA2,0.634615384615384,13,0.0546666817693523,0.21506461414984
ACTB,0.196205582035186,33,0.0988159843870565,0.2948965327078
ACTBL2,0.103318987090716,137,0.00283604047822863,0.0430505206350142
ACTC1,0.294688644688645,13,0.31608920314787,0.539372431982033
ACTG1,0.0412761151891589,22,0.833431806428421,0.908259589515758
ACTG2,0.555311355311356,14,0.0652342008799998,0.235657350676661
ACTL10,0.00625339760541154,172,0.784482380875056,0.880586790656255
ACTL6A,0.173804188342003,50,0.0364619210539747,0.173261714054754
ACTL6B,0.0165635560372404,37,0.897281618816966,0.943100039232774
ACTL7A,0.0291944639924931,175,0.166043586612721,0.385436914186398
ACTL7B,0.0893148065425417,176,0.00135019869380354,0.0275826818298855
ACTL8,0.0783846572635828,162,0.0055349576115072,0.0635221316830182
ACTL9,0.0190017417615714,159,0.391274518445427,0.60336603721866
ACTN1,0.0298578169927898,103,0.384663438870697,0.598572428308691
ACTN2,0.0494088295542842,100,0.179918625961328,0.4032151304629
ACTN3,0.081209251908332,163,0.0043113125648677,0.054819884271915
ACTN4,0.0528076421847547,110,0.124102206039693,0.331921955877424
ACTR10,0.0397080383492022,138,0.142271573658134,0.357367162095971
ACTR1A,0.299821428571429,15,0.240912301811635,0.466595379304131
ACTR1B,0.0307057084676158,88,0.445110041495792,0.64803579343293
ACTR2,0.485164835164835,13,0.120600015328392,0.327454809110533
ACTR3,0.0587615283267456,23,0.730854515471278,0.84845805273582
ACTR3B,0.0498278369444426,74,0.30337017246341,0.528592233902198
ACTR3C,0.00980860377159319,94,0.822482678279854,0.90342634182423
ACTR5,0.0442234090360325,163,0.0668445186931019,0.238585877412359
ACTR6,0.0577943931068932,65,0.295873888619749,0.521185701863704
ACTR8,0.0595239401042968,111,0.0878027705236515,0.277399648520285
ACTRT1,0.0760810759321662,135,0.0169803147634327,0.1160376024777
ACTRT2,0.0442755233236755,189,0.0397729590223865,0.1809909913741
ACTRT3,0.0376898121548719,180,0.0804327909238234,0.264157621531908
ACVR1,0.0189529951311987,98,0.606605785384766,0.767003233301939
ACVR1B,0.0386593793370542,83,0.366139801668293,0.584719785603594
ACVR1C,0.00579866964280116,148,0.836895799216557,0.910257683279274
ACVR2A,0.0309308900936972,57,0.629814378595436,0.781989085148023
ACVR2B,0.0492482869785146,81,0.26803149328705,0.494688462989316
ACVRL1,0.040886539678824,161,0.0880267160312121,0.277594948269723
ACY1,0.0498232213934852,177,0.032526833459881,0.163626749578899
ACY3,0.162551764844578,140,4.90512208391739e-05,0.00382312193218465
ACYP1,0.026588446348583,103,0.438188225971539,0.642629745914676
ACYP2,0.0164030335365523,114,0.603353306047982,0.764992198819889
ADA,0.0215521843334492,180,0.277229558119541,0.502993299761451
ADA2,0.0592944406462693,154,0.0283481302926826,0.151390379080489
ADAD1,0.0314656859991623,163,0.164799504819484,0.383735646972168
ADAD2,0.0398653005898825,173,0.0766037683663364,0.257007695050677
ADAL,0.0189900289631635,174,0.349697352965278,0.570393748046498
ADAM10,0.027682584339659,146,0.25995906032217,0.486115026616156
ADAM11,0.0170555802488763,164,0.426792993271873,0.633591474953155
ADAM12,0.0582686547713159,204,0.00799420605904178,0.0788332824075332
ADAM15,0.0758099246132348,191,0.00240389644749231,0.0393955620309186
ADAM17,0.0107280652959718,178,0.59366004771271,0.7580682320258
ADAM18,0.0256292188368136,190,0.183589224514226,0.406569323747161
ADAM19,0.0189248182843593,192,0.306195195324358,0.531184659130728
ADAM2,0.101715428367202,205,0.00011864418590262,0.00676903429865403
ADAM20,0.0415099325100368,129,0.150243546980298,0.366614722707492
ADAM21,0.0352431567959613,185,0.0902662335186612,0.280996318908411
ADAM22,0.0125632395116019,180,0.522396498012909,0.709258483087371
ADAM28,0.0161935025474978,210,0.336061744509751,0.557896638154143
