,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj,Carnivore...Omnivore.Rho,Carnivore...Omnivore.P,Carnivore...Omnivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,1.61359081615013,0.319848630583985,0.868508041439076,1.7827375032746,0.223887130170572,0.913662158888643,0.273926648450997,1,1
FKBP4,-0.0691853541916111,1,1,1.7294456701958,0.25118808659289,0.97039354318227,1.94845920519433,0.154080124684498,0.846103615080735
CYP26B1,-0.691582259907352,1,1,-0.743210239014178,1,1,-0.108606871277923,1,1
NDUFAF7,-1.12190016067851,0.785714677076764,1,-2.14121205583677,0.0967708238094445,0.587559532255158,-1.19582523746053,0.695294295365,1
FUCA2,-1.70134980948945,0.266631960007342,0.77840753440337,-1.87925888661484,0.180627457583931,0.818142549497499,-0.332329096755342,1,1
DBNDD1,1.31798739065856,0.562523606998401,1,1.66415417537639,0.288244868913328,1,0.494740235290784,1,1
HS3ST1,-1.18465971045039,0.708456054807474,1,0.211619078597601,1,1,1.41332267541545,0.472682609103053,1
SEMA3F,-2.16078856229637,0.0921350279975715,0.403194927014759,-1.26578438885234,0.61677085700218,1,0.813398796213521,1,1
CFTR,2.03589308819627,0.125283276102022,0.486376725783596,0.930549810936464,1,1,-1.04580774419126,0.886949414962728,1
CYP51A1,-0.808136376447677,1,1,0.64636296995583,1,1,1.52238337479555,0.383739144202084,1
USP28,2.20529647029749,0.0822998921249712,0.375038432755452,1.51972845132172,0.385737713567606,1,-0.571712458808237,1,1
SLC7A2,-0.220504865085535,1,1,-0.221173482598895,1,1,-0.0166266973747613,1,1
HSPB6,-0.491016044498822,1,1,0.0525069265172702,1,1,0.552580783950623,1,1
PDK4,-0.856428503893995,1,1,2.56154455518945,0.0312623621412992,0.323565632211794,3.59638294184219,0.000968018057680887,0.0634377797811313
USH1C,1.30173450224625,0.579021482341003,1,0.766241719309492,1,1,-0.474773577913495,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,-0.306723217767995,1,1,1.40740596621515,0.477921129209969,1,1.81328737763472,0.209362527260654,0.977220610435117
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA
