"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"ARF5",NA,-0.374105840161421,NA,NA,0.708325573849646,NA,NA,0.888435287977165,NA,"MissingData",5
"M6PR",0.650401058680293,-0.787077736081577,0.44354176078554,1,0.431236361575327,0.65737392015267,1,0.731489353314467,0.848702939566281,"Insectivore",1
"FKBP4",1.17719003474709,-0.520329230209088,-0.458808535913748,1,0.602834126213746,0.646371664485336,1,0.838957529990437,0.843473416306986,"DoubleBoth",4
"CYP26B1",-0.267041865552075,0.913019163875542,0.554295703705739,1,0.361232462657607,0.579376490106865,1,0.67596901137227,0.802866915692285,"Insectivore",1
"NDUFAF7",-0.769929492269996,1.14976854174865,0.285610681582255,1,0.250239215259368,0.775176321392086,1,0.575374932565104,0.908110072000781,"Insectivore",1
"FUCA2",-0.834002109808046,0.183625814975281,1.2300256732169,1,0.85430701004762,0.218687491132174,1,0.950008289901106,0.508397085741167,"Vertivore",2
"DBNDD1",0.880181608931618,-1.63344225240592,0.579097674582307,1,0.102376016724938,0.562523269036379,1,0.376369438669659,0.793882043464763,"Insectivore",1
"HS3ST1",1.45820543629431,0.0272989264998103,1.61816569135329,0.8687035548829,0.978221313079748,0.105626894500444,1,0.993508098558048,0.365341473323645,"Vertivore",2
"SEMA3F",0.619134850673027,1.02470827862229,1.33975622985198,1,0.305500855640814,0.180324610013212,1,0.631072402437464,0.466400276177594,"Unclear",0
"CFTR",-0.722946105481892,0,0.0914035411103257,1,1,0.927171948130877,1,1,0.971666230058564,"DoubleBoth",4
"CYP51A1",4.59818438965359,-2.32679433369726,3.90766040154556,2.55713235456515e-05,0.0199762141426659,9.31941704484385e-05,0.0183918700396915,0.165119248966169,0.0185700865072691,"Both",3
"USP28",0.194553180168105,-1.83952523241947,-0.781105754729461,1,0.0658379701192051,0.434740297545137,1,0.30221856551954,0.703634532160496,"Insectivore",1
"SLC7A2",1.15848905844205,-0.0504480494254762,1.74908055457868,1,0.959765347200928,0.0802770959851991,1,0.986420424372573,0.321704764595502,"Vertivore",2
"HSPB6",0.0907155511378284,0.804357902901861,0.848315706832946,1,0.421190306010027,0.39626217252034,1,0.72328357560298,0.673547586512177,"Unclear",0
"PDK4",1.76717888690845,-0.326367817723537,1.70867046156964,0.463189646341769,0.744146083374376,0.0875120086076641,1,0.904973449141284,0.334797714794873,"Both",3
"USH1C",-0.829815178366447,-0.12523732536461,-1.36164402824286,1,0.900335668481612,0.17331025325689,1,0.968196502322227,0.461427474914871,"Vertivore",2
"RALA",NA,-0.108767067571806,NA,NA,0.913387245079726,NA,NA,0.971935125256526,NA,"MissingData",5
