,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.127591240126725,126,0.0818198668125691,0.367489398990984
FKBP4,0.00533416131748977,177,0.931127727387059,0.977634878653354
CYP26B1,0.245694579789983,96,0.00352531352938507,0.0777511297968509
NDUFAF7,0.050740074656755,187,0.397960512490903,0.724921639666202
FUCA2,-0.0316992124088291,192,0.592539990212777,0.840291368885328
DBNDD1,-0.0459883853935058,137,0.512814637114089,0.798598324204512
HS3ST1,0.00316035516878832,140,0.963731148699776,0.986590573043975
SEMA3F,-0.0556002248380706,153,0.40269670545959,0.728320181115636
CFTR,0.159073210608321,210,0.00495634958029871,0.0946553264637518
CYP51A1,-0.0348675139147311,155,0.597333412649807,0.842910249700248
USP28,-0.0223613731333547,203,0.697803744166536,0.891462176991481
SLC7A2,-0.0112990803859677,179,0.853923299287067,0.95535354025884
HSPB6,0.0387240478667145,91,0.654527940876671,0.871895086525358
PDK4,-0.113186843792104,160,0.0814108851309589,0.367197490906173
USH1C,0.0590493459450918,203,0.305201183599841,0.654113418792753
RALA,0.114332390095006,18,0.574149072797162,0.829493364037549
BAIAP2L1,-0.079831819656012,176,0.197132474253723,0.547975830921437
CACNG3,-0.0854373881350773,54,0.4503531705078,0.760980895543573
TMEM132A,-0.00755316955220742,180,0.901771639647288,0.967772620243457
DVL2,0.044272184433797,127,0.54434228856842,0.81505328870423
RPAP3,0.00658601878115185,192,0.91146740540529,0.971859632106913
HOXA11,0.189266857459228,79,0.041911420087276,0.269790620099056
TRAPPC6A,-0.0897012091719166,135,0.205137409136172,0.558615679436801
SPATA20,0.136341681440589,206,0.017076250799852,0.177418968203568
CD79B,-0.0224352982105074,194,0.703388908231442,0.894430050714886
RHBDD2,0.0186312085069452,163,0.7721643633957,0.923097425509551
RPUSD1,-0.0578474425400499,162,0.370144306770167,0.705078048626716
TSR3,0.165783083437208,147,0.0144826781641458,0.164414038227161
NDUFAB1,0.0305500152416102,126,0.676917521793272,0.882450856390648
YBX2,0.168727218307175,135,0.0171577209881586,0.177817870097663
ITGA3,0.0423869197155804,203,0.461722145374223,0.769713169363045
KRT33A,-0.0291527133045613,126,0.690913819607877,0.888814501302639
LRRC23,0.194529613641137,182,0.00139084244558773,0.0454089070233655
TFAP2D,0.0119324152797794,43,0.925404533393678,0.97666334533717
CRY1,-0.0241910312411307,121,0.746525716576911,0.916247874737812
PGLYRP1,-0.142495526518385,147,0.0355878896196526,0.25126535352463
STARD3NL,0.17132192089773,102,0.0358645171214736,0.251980100109274
CD74,0.213473574236962,175,0.000583954511693981,0.0281634928953133
RPS20,NA,NA,NA,NA
MGST1,-0.185990509838581,135,0.00861012661730638,0.127299489747285
CPA1,0.0526283884691637,191,0.375535241497829,0.709225005338571
SYPL1,0.0207036202810704,188,0.729471624333085,0.908945489545979
RANBP9,-0.0668292855572757,133,0.348832643563889,0.688379133441582
CD4,0.0124950958627845,208,0.826144649321405,0.943929507987322
PLEKHG6,0.197104295656468,217,0.000400535619956957,0.0228234033692199
QPCTL,0.0600559354611012,158,0.35824403552502,0.697028803104387
PPP5C,0.129024299009561,107,0.105364476823829,0.41237010000702
UBR7,0.112492777850039,175,0.0699543585800104,0.343275877898598
MAP4K5,0.0689261360060237,134,0.332080822621212,0.6746958675055
ERCC1,-0.0373375226747558,116,0.625345811135695,0.857794665287823
GPRC5A,0.0669336156977473,202,0.24631241366938,0.600388851830433
HEBP1,0.0666744619898537,135,0.346299162113292,0.686086356628602
COX15,-0.00396811584354002,170,0.949771219363484,0.982983437686517
MS4A12,0.0781808916676902,87,0.377287834312476,0.710207454366435
XYLT2,0.0682803952175829,175,0.271347257241127,0.623081286180761
FTSJ1,-0.0293298229062866,128,0.686769316897637,0.887033177556261
SCTR,0.00959659988026497,188,0.87264524710916,0.960857907902067
RALBP1,0.148808812184593,142,0.0310405667242197,0.236121031331681
SYT13,0.123682906037251,173,0.0475997217201343,0.288029817420904
SNAI2,0.0972712374014272,74,0.311987937056311,0.659256143348146
SLC7A9,-0.122064429870947,170,0.0526500442511927,0.301719257429105
RTF2,0.0676870068443499,160,0.297379602671226,0.64793062974169
RB1CC1,0.113871253028014,209,0.0447951840105793,0.278778445239968
AKAP11,0.125944599787889,214,0.0247063642913884,0.211436827917537
B4GALT7,0.0533191167974728,134,0.453068877189796,0.763394597660004
FAM13B,0.0634899823530115,165,0.320808633894345,0.665618416512549
CHPF2,0.0991842871602404,156,0.131674091474503,0.458739241229275
GABARAPL2,NA,NA,NA,NA
MYOC,0.085655863946672,190,0.150307374614708,0.485715778472391
FAM136A,-0.0541882213181219,90,0.533512572335558,0.809474859394748
NSMAF,0.0254588203693142,201,0.660033535664388,0.874365597175327
OTC,0.043420975393116,143,0.527710993104209,0.806928673039488
TTC17,-0.0328803033157829,157,0.616105320540038,0.853401497253133
HOXC8,0.506640397104899,17,0.015861332739773,0.170979467478839
MRI1,0.0758799223143815,168,0.231147700345327,0.58553029234763
TARBP1,0.00380927182685763,212,0.946096588662531,0.981047470483577
RTN4R,-0.199112029779388,162,0.00203724291650155,0.0572286554017943
PSMA4,0.127342907993403,37,0.355808941313978,0.69435865549292
ZPBP,0.0340089503247417,156,0.605217120898049,0.847496352304879
LCP2,0.00704624653239825,195,0.904567959701208,0.969409154055
DCN,-0.0378649147539281,149,0.573917907674327,0.829493364037549
TNFRSF17,-0.0024873855235882,168,0.968689730206459,0.988821876837041
MRPS10,0.0222065525371931,153,0.738212690649975,0.912307330808288
GRN,0.034119620743729,199,0.55751602352998,0.821926762615048
THAP3,-0.0373285998239931,175,0.547609356553661,0.816522519936152
VAMP3,0.0781521038496684,117,0.304646753144807,0.6539621019689
RCN1,0.0109093209106914,125,0.882191470314457,0.96407656447414
RFC2,0.0671765848642544,154,0.310398010511057,0.658666591993119
PPP1R3F,0.0155069047751223,153,0.815460390858558,0.939745600213016
NFE2L3,0.0851834575805724,210,0.132407875391454,0.459750649837184
CBLN4,0.0572758162924668,64,0.580616100779713,0.834087851119787
CLDN11,0.139910591634202,71,0.154543127775569,0.492054993426607
FAM168A,0.233723197152962,26,0.160169529810252,0.499421731516839
RELT,-0.0489206200871369,199,0.400363423237582,0.727157342658821
PKP2,0.0400820056730784,178,0.514868222769569,0.800006089409992
YIPF1,0.0837335735427219,144,0.221665796150746,0.575774418850397
ADCK2,0.00554323319565086,193,0.925244978372624,0.97666334533717
INPP4A,-0.0395837390891404,161,0.540979123098303,0.813571979133519
SLC2A3,0.0993115972429792,172,0.112754519402417,0.425607110955093
STYK1,-0.0395109402002401,200,0.495911783389899,0.790388914788907
GNA11,-0.214078056443128,39,0.110506022465754,0.421592192452146
CREB3L3,0.10737698041202,189,0.072111315738787,0.348099604344123
HDAC7,0.00200264616802454,184,0.973602715243676,0.990577831190638
MRPS35,0.0272295122109637,180,0.656357546145393,0.872455340268971
APPBP2,0.101331606513569,45,0.415516276581985,0.737201841621134
CA11,0.0759955523054314,99,0.359258698455492,0.697099048565521
ISOC2,-0.00411069911502471,138,0.953178607657713,0.983584310012699
CD22,-0.0306961767002701,213,0.584989779931011,0.83625525032539
GSC2,-0.0439607406621123,112,0.572256496695778,0.828494241511016
KCNQ1,-0.00836561940495067,154,0.899475899006961,0.967344233839991
TRIB2,0.344871812655339,68,0.00059873980381842,0.028617975339524
OTUD5,0.100162850259106,98,0.229332276842236,0.584442854431615
GPKOW,0.0708625393879705,177,0.250910272495781,0.603820638507704
AQR,-0.0213903897020361,187,0.721587123464555,0.904426850952208
LMCD1,0.171650086505297,138,0.0142150238838402,0.162811847230364
PSMC4,0.0262296491788211,19,0.894318153360176,0.966352695405004
FNDC8,0.00952670026849734,189,0.873228521333971,0.961103593868542
ACAP1,0.220252732576585,168,0.000509610481184237,0.0258939961071122
DERL2,-0.0535998512070196,35,0.70585728718337,0.895666530155659
NOX3,-0.0226520045452611,197,0.698446101097055,0.891489753287859
ANO8,-0.13630746304125,161,0.0352792485325355,0.250728507546808
ICAM3,0.000270290093586971,212,0.996172338620139,0.998667135360986
CTTNBP2,-0.00608710975611712,215,0.91335573713716,0.972600338918704
ACTL6B,0.155363866566466,29,0.322198806162582,0.666457471163319
KIF22,-0.00780093150843204,165,0.90291189528022,0.968412168747196
PRSS22,0.00620267527084864,181,0.919042453650711,0.974421120901548
YTHDC2,0.168696556982455,171,0.00723075573715574,0.117066593390635
TMEM161A,0.0776569608284991,175,0.210928146116989,0.564945613858758
FOXJ2,0.215496194747701,174,0.000537181266955765,0.0266295555619062
GOLGA5,0.0765201848609868,201,0.186140249453959,0.534627742905311
PPP2R5B,0.142008637994471,71,0.148453688749754,0.482647810002245
PYGM,0.162655683629863,162,0.0117372294502124,0.147981510202206
BCL3,-0.115116608697688,140,0.097656081253796,0.397234540260804
PRLH,0.0254775151159248,149,0.705178810471635,0.895333735301736
FSTL3,0.0248513204993305,106,0.756240989942236,0.918804972376893
EPHA8,-0.0321607195652305,174,0.605439040018113,0.847625243400369
TRIP13,0.142109064120573,143,0.0387530479588747,0.261326215924668
VASH1,-0.0913136580696133,133,0.200512186759047,0.552376189338483
KRT14,0.193744621372606,163,0.00260425037500505,0.0660844009581314
KRT20,0.268052184011827,175,1.57310106134405e-05,0.00254429234285263
HSD17B10,-0.0518413674480661,144,0.449267611175719,0.760937513970032
FGF4,0.0284643771613008,109,0.718367214420449,0.902530539500548
ST6GAL1,-0.0268900828716892,178,0.662165015310399,0.875595526067396
TIMM21,0.0676295452753167,177,0.273184237241518,0.624751685821713
BPIFB2,0.0871395297524123,185,0.148802624806827,0.483466213700687
REXO1,0.0683512078150424,172,0.275044852405763,0.62635622059349
MKRN2,-0.0481437334816971,156,0.464320157296122,0.771562156066244
GPATCH1,0.138826913288642,208,0.0146705557318711,0.16532492331859
KEAP1,0.0536692545059465,102,0.510939658122694,0.797423764458098
P2RY10,-0.0913256906858783,138,0.19207652808842,0.54261280306136
TNS1,0.11164343657816,210,0.0486026204687261,0.289518288298082
NGFR,0.0890033890322672,140,0.200333643020078,0.552214591229045
NTN1,0.220121883305707,70,0.0261765494616942,0.21766205740715
ISOC1,0.0488832075485064,86,0.583151136846909,0.835321229513665
MNT,0.0484829268849236,121,0.517117298079242,0.801169054363311
AP3M2,0.234740576514988,72,0.0161350734335069,0.17280583200144
LAPTM4A,0.167592264350769,59,0.121113867656852,0.440644228339359
PTPN18,0.0391827129719828,132,0.584249267338311,0.835725288268263
STK10,-0.0103491724434017,190,0.862025003324165,0.957973657571374
TBX21,0.0358356600172981,141,0.60482372986624,0.847229156246725
MRPS34,0.0453358633070124,125,0.537999935058029,0.812377872515009
MAP2K5,-0.0224552269909049,93,0.793026714781133,0.931275669752512
TIGAR,-0.108606357058149,168,0.0865580239649863,0.378946171352596
FGF20,-0.031696393500153,72,0.745290863414883,0.915728507596079
MTMR7,0.0135732331622184,179,0.824958883701388,0.943382491488832
CPB2,-0.0442680502885017,192,0.454851665409453,0.764837866424233
FAM107B,0.0129261707208857,184,0.830873244441406,0.946428284128604
CDK13,-0.0337127643547858,172,0.590323028034979,0.838937804983088
TSPAN32,-0.0684269768417901,162,0.28909600870201,0.63874779789383
TRAM2,0.136063676207758,125,0.0645614520263178,0.331280464037647
CLDN18,-0.0810471342713402,154,0.221013786586788,0.574772251230737
NDUFB4,-0.118953851085716,136,0.0916891881386194,0.387669820066439
HEATR6,-0.022789895785126,210,0.687272682761169,0.887154125993754
ERLEC1,-0.00953050954400127,108,0.904336161490689,0.969336317396787
TMEM131,-0.138867633517936,211,0.013938817515829,0.161496632462702
TMEM38A,0.0314215972985216,133,0.659583559763367,0.874131100722649
ACTR6,0.144167056231033,56,0.194313115694825,0.545466621407002
FAP,0.0733434648136681,177,0.23470023664196,0.588939067404962
DMRT3,0.202265063783727,130,0.00506557229307619,0.0959880988837113
GAL3ST2,0.208221576147775,144,0.0023733220216722,0.063441790001695
UHRF1BP1,-0.165155281118042,218,0.00295041006558187,0.0713298395555164
OSTM1,-0.0169372491166614,143,0.805425847860212,0.935680394212958
SLC13A1,-0.0392547290729145,188,0.512015948522591,0.79828620912792
HSPB11,0.0393694120744192,133,0.581012905206149,0.834087851119787
STRADB,0.113132279645707,160,0.0815578411061884,0.367200319869251
DLG3,0.00912206021277451,115,0.905456675833699,0.969797151266469
PLOD1,0.128502752140615,180,0.0357449031751932,0.251581270171953
OXCT1,-0.088220674046003,163,0.170367150453395,0.515674633848725
FAM234B,0.0740099615331696,198,0.204427145256415,0.557629889241177
RRN3,0.0212303155460282,177,0.73086022362496,0.909429118797238
MOGAT2,-0.214092717450436,182,0.000434797422705927,0.0233623366857963
CHERP,0.0156539353457327,115,0.838496099913131,0.948565744793631
AQP2,0.106814317830369,117,0.160618426966874,0.499870854697695
DIMT1,0.192645085491379,111,0.0137588291922871,0.160380823469142
EIF2AK1,-0.00181827789628708,207,0.974563375395021,0.990649363053903
NME8,0.0616538143838005,211,0.274981327096241,0.62631593306757
EPDR1,0.0460689976626179,135,0.515217511491122,0.800006089409992
HBQ1,-0.0381496485364313,140,0.583069913171378,0.835321229513665
RBM22,0.033574010345689,28,0.833708633298575,0.946897564725373
HSD17B2,-0.13660277519009,188,0.0225022674002121,0.203096845875457
ZW10,0.0569829429898054,200,0.326074756956108,0.669436700888939
ITGB4,0.245366297145673,210,1.46336571659684e-05,0.00249270338873922
TRIP6,-0.0954622309310943,159,0.142914752787865,0.475365544386326
ADAM11,0.0945971965469193,164,0.140298723999638,0.470936836965497
SLC22A4,-0.0310886242835514,175,0.616495548639596,0.853490654422968
TFAP2C,0.0211270278507248,129,0.770579804470868,0.922818411046733
SULT2B1,-0.0989382308489125,154,0.135176159561585,0.463081015596941
EPS8L1,-0.0982328565107566,173,0.115646425788271,0.430835404774732
REM1,0.147080065900106,156,0.0253834975247899,0.214036769104863
PDRG1,0.155639761784144,105,0.0530211355971163,0.302579062432904
PPP1R13B,-0.020274092968816,190,0.733503064982988,0.910548088990298
TGM6,0.0465814568937565,184,0.441492799244654,0.755254562126646
RALGAPA2,-0.073499489746058,217,0.186850728911793,0.535779055752459
RPL6,-0.0646517654470542,107,0.417110301564844,0.738393604052657
ESF1,0.010514101686625,206,0.854071492912569,0.955385828176335
SLC8B1,0.0983936182375638,202,0.0883307624630685,0.380611455478647
SIRT4,0.0603705471404333,169,0.339309800514476,0.680286013116342
TRMT6,-0.0289191815871706,174,0.642270742874478,0.867192776364461
HAUS5,-0.0737051742020349,202,0.201728487248838,0.553518909064281
