,Rho,N,P,p.adj
A1BG,-0.10255201507732,49,0.388997445578695,0.771072637578921
A1CF,0.12814687219653,39,0.339417146236575,0.741392425407566
A2M,-0.0937003836959161,60,0.381995196227913,0.767844179303748
A2ML1,0.151460862734876,56,0.172696464584711,0.592814463128335
A3GALT2,0.102336343850693,45,0.410907345089229,0.781033738135625
A4GALT,-0.0780124932091123,55,0.486544481771769,0.824799777747943
A4GNT,-0.0905760227978645,50,0.441966373670603,0.800156512631068
AAAS,0.100870613972138,37,0.464518769219675,0.811964751409357
AACS,-0.0244364217991558,53,0.83069601130637,0.95604595885358
AADAC,-0.0249340993829693,43,0.844886943829055,0.960359497855589
AADACL2,-0.00281183007342128,32,0.984935739244274,0.998781840800908
AADACL3,0.020763404095607,55,0.85307637839624,0.962901751480533
AADACL4,-0.138736449360712,44,0.270562148710169,0.684802026213463
AADAT,-0.303047133925081,52,0.00865331592367481,0.1759826293649
AAGAB,-0.0322251693317745,40,0.807656193499339,0.949064357924646
AAK1,0.103879978991315,44,0.409395486209919,0.779464756571645
AAMDC,0.198852919667102,18,0.328383214240683,0.73315697312228
AAMP,0.192705159543249,29,0.219491557701988,0.640974753854625
AANAT,0.134144236295571,50,0.254821432311397,0.674162130683062
AAR2,-0.037497368135981,35,0.791749601432756,0.943624746520345
AARD,0.131240788475933,35,0.355414623476484,0.751524637955437
AARS1,-0.0545867056327463,48,0.650093462348504,0.901255080859064
AARS2,0.209446957253766,53,0.0668653880067178,0.418022237181943
AARSD1,0.112993359225703,48,0.34772578772387,0.746284434313685
AASDH,-0.0195536879533551,58,0.85772825890192,0.964354832320698
AASDHPPT,-0.0405162721413875,28,0.799990504718343,0.947912722303812
AASS,-0.163526205503012,46,0.183803295362333,0.604621128946748
AATF,0.204221173338918,53,0.0739610525809876,0.433826710444
AATK,0.342109905188181,53,0.00275954893530291,0.111871141308921
ABAT,-0.136043404770287,39,0.310494434317235,0.720879509909877
ABCA1,-0.0723129168187493,56,0.515028632925912,0.839548794976417
ABCA10,0.100988912040906,48,0.401329597598335,0.775543612816751
ABCA12,0.093761160774719,59,0.38581743566684,0.76898324619941
ABCA13,0.121506339115011,54,0.283051287051885,0.696893392653484
ABCA2,0.0381588893310959,49,0.748563052452277,0.93118457827176
ABCA3,-0.0775887415233956,57,0.480837850339306,0.821793292765128
ABCA4,0.0907445344340501,61,0.393156269514077,0.771072637578921
ABCA5,-0.215544613529878,54,0.0568706069397064,0.398264675105047
ABCA6,-0.109593939550977,54,0.332921608065566,0.73638050672356
ABCA7,0.299621957565259,44,0.0173392702326697,0.240308184211059
ABCA8,0.00221750477621592,51,0.984826265083473,0.998781840800908
ABCA9,-0.251694097056227,53,0.0276495270934384,0.294592620109505
ABCB1,-0.261403101873816,53,0.0221857035256354,0.269778435820085
ABCB10,-0.107734564828598,52,0.3506337580136,0.748772991067475
ABCB11,0.0728067416339465,56,0.512162926428578,0.837303132076566
ABCB4,-0.204906917419099,52,0.0758623158962866,0.437469568053138
ABCB5,0.327690168711327,54,0.00379046277791843,0.130074477938589
ABCB6,0.186414678524477,47,0.125457854644243,0.526783718770038
ABCB7,-0.113670336208423,44,0.366681119073093,0.7595271549832
ABCB8,0.100167084494127,49,0.400121919927851,0.774985026913434
ABCB9,-0.271479525244472,51,0.0198927115470015,0.256390305337929
ABCC1,-0.220646619547181,58,0.0430863828133914,0.354858679532452
ABCC10,0.221478185737343,61,0.0371498801527803,0.332883906627031
ABCC11,-0.0755852146827799,56,0.496195577222374,0.829453303503497
ABCC12,0.012945463786422,47,0.915259386777456,0.978925153063708
ABCC2,0.124581479477255,61,0.241071164400435,0.662104695929106
ABCC3,0.369115803543875,48,0.00215881919973308,0.0983491766611072
ABCC4,0.0372304332460699,54,0.742212202211387,0.929090361266448
ABCC5,0.0421193892466823,36,0.763390388546796,0.935121470961981
ABCC6,0.0301746998342781,60,0.778303612617555,0.938646090703499
ABCC8,0.0147265982401778,54,0.89648156452925,0.974014702565133
ABCC9,-0.0377157143202357,37,0.784482952680093,0.94159441398703
ABCD1,-0.155764665677992,39,0.245558774755749,0.667303785978607
ABCD2,-0.143051169026334,40,0.279828080545437,0.694071298501914
ABCD3,-0.237573858754567,38,0.0806291513310367,0.447869380893815
ABCD4,-0.144809454887035,52,0.209638598155309,0.630639090344382
ABCE1,0.0235702260395516,16,0.913626661062859,0.978925153063708
ABCF1,0.190847489445479,41,0.144127034816015,0.556813198108472
ABCF2-H2BE1,0.0896993701844904,30,0.56057496910008,0.85971021633922
ABCF2,0.0920824366849717,28,0.564739017068058,0.861468124879857
ABCF3,0.0199512896431653,36,0.886610898152208,0.972008195168656
ABCG1,0.0511198632443248,41,0.69562694084734,0.91232120796086
ABCG2,-0.183003604348671,50,0.120310586646894,0.519061497242401
ABCG4,-0.219989225281401,32,0.139616011635057,0.551293363328142
ABCG5,0.184542972224046,51,0.113479091322219,0.508280521883549
ABCG8,-0.0470279156792462,54,0.677787257099189,0.906194571183393
ABHD1,0.298285714285714,50,0.0113390729281152,0.201255324731085
ABHD10,0.0181565714885267,47,0.881363862296307,0.970971369176827
ABHD11,-0.235007995970211,18,0.248057539902026,0.667303785978607
ABHD12,-0.311372744054052,33,0.0335622077884206,0.320695124505095
ABHD12B,0.151882335420959,48,0.206880772693083,0.627118147994122
ABHD13,-0.0124341182825498,22,0.945584744246869,0.987824226238144
ABHD14A-ACY1,-0.0426508852144267,36,0.760495426636855,0.934820822982245
ABHD14A,-0.152554834248358,34,0.290112815877025,0.702939228043266
