"","Rho","N","P","p.adj","permPValue"
"ENSG00000000003",0.0249113731743888,64,0.810100650351703,1,0.824008034155152
"ENSG00000000005",NA,NA,NA,NA,NA
"ENSG00000000419",-0.055794898657775,68,0.578707175711768,1,0.99993954050786
"ENSG00000000457",0.257146726010568,44,0.0411397790409939,1,0
"ENSG00000000460",-0.0565697198166404,56,0.610546961876794,1,0.999990001199856
"ENSG00000000938",-0.168761961772815,58,0.121815750142374,1,0.723594805633624
"ENSG00000000971",-0.101937015276072,60,0.341566871095937,1,0.99993954050786
"ENSG00000001036",0.0329697128432307,68,0.742823558168084,1,0.99993954050786
"ENSG00000001084",-0.042849884542941,66,0.674529789821297,1,0.461938939421571
"ENSG00000001167",-0.102713336165449,68,0.306681906274075,1,0.99993954050786
"ENSG00000001461",-0.04927305444663,55,0.660313616757878,1,0.141903544371134
"ENSG00000001497",-0.175139720554696,62,0.0965206395846145,1,0
"ENSG00000001561",-0.0524333955885482,64,0.613014743322165,1,0.99993954050786
"ENSG00000001617",-0.0335250793957651,37,0.807931920536725,1,0.999994652349223
"ENSG00000001626",0.0680217023851436,64,0.511733859690689,1,0.999998187394416
"ENSG00000001629",0.0723091801662129,66,0.478543198638701,1,0.999998081277102
"ENSG00000001630",0.0317016469646449,68,0.752384585952634,1,0.685128055315532
"ENSG00000001631",0.0374936489750734,66,0.713285696121794,1,0.769283931656748
"ENSG00000002016",-0.0755928946018454,25,0.656500727775343,1,0.673596471313203
"ENSG00000002330",0.010523115735439,62,0.920457498810808,1,0.99993954050786
"ENSG00000002549",-0.0355058446004023,68,0.723821372745789,1,0.457732485131163
"ENSG00000002586",NA,NA,NA,NA,NA
"ENSG00000002587",0.0561584803931125,44,0.655611764829049,1,0.639001386735942
"ENSG00000002726",0.193022008047862,28,0.227424558028569,1,0.0508889176066609
"ENSG00000002745",-0.0633247586861304,20,0.741464612632977,1,0.401568353469771
"ENSG00000002746",NA,NA,NA,NA,NA
"ENSG00000002822",0.0736618101480728,62,0.484550694851482,1,0.810647737761247
"ENSG00000002834",-0.194938123747835,62,0.0643373920610815,1,0
"ENSG00000002919",-0.136434928401769,62,0.195431418612111,1,0.463376438046434
"ENSG00000002933",NA,NA,NA,NA,NA
"ENSG00000003056",0.00850271279814295,64,0.934632767992689,1,0.999997886089837
"ENSG00000003096",-0.0131173630244657,42,0.919022017711696,1,0.623268698060942
"ENSG00000003137",-0.150772455086216,62,0.152507196120775,1,0.792517492503213
"ENSG00000003147",-0.0124673221923249,61,0.906608305639934,1,0
"ENSG00000003249",-0.107402722817805,37,0.436102511484232,1,0.792517492503213
"ENSG00000003393",0.00742392338645623,28,0.962972439770723,1,0.999998187394416
"ENSG00000003400",NA,NA,NA,NA,NA
"ENSG00000003402",0.381385035698237,11,0.157299207050285,1,0
"ENSG00000003436",0.0926908929457468,46,0.451216540711487,1,0.141903544371134
"ENSG00000003509",0.0323875137815648,40,0.806706335646521,1,0.999997786048118
"ENSG00000003756",-0.222283776066506,66,0.0293736538259025,1,0.680055486424186
"ENSG00000003987",-0.0850271279814295,64,0.412116141160895,1,0.792517492503213
"ENSG00000003989",0.0399721251648386,60,0.709192707266765,1,0.490413755366613
"ENSG00000004059",0.0215571199359585,68,0.830127748020357,1,0.999991420065036
"ENSG00000004139",-0.13465462536381,66,0.186952521958814,1,0.792517492503213
"ENSG00000004142",-0.0107124711357353,66,0.91638784807712,1,0.999998187394416
"ENSG00000004399",0.00641368343878791,52,0.955688280448471,1,0.999998081277102
"ENSG00000004455",-0.0160687067036029,66,0.874868742936207,1,0.282291289014864
"ENSG00000004468",NA,NA,NA,NA,NA
"ENSG00000004478",-0.0205563075671696,63,0.844075598282895,1,0.999996769723262
"ENSG00000004487",-0.106740793452257,60,0.319302036482855,1,0.207906219662023
"ENSG00000004534",-0.0531995176598931,54,0.638348108071144,1,0.944691965807008
"ENSG00000004660",-0.0929001995985777,62,0.378013819070415,1,0.141903544371134
"ENSG00000004700",NA,NA,NA,NA,NA
"ENSG00000004766",-0.11158979731555,68,0.26676285011272,1,0.999991420065036
"ENSG00000004776",0.0460043706228236,64,0.657215997341141,1,0.999967227083538
"ENSG00000004777",-0.216939932212468,54,0.0552847755465545,1,0.299980113721356
"ENSG00000004779",-0.0632560096063825,64,0.54174905744502,1,0.999998187394416
"ENSG00000004799",0.0355058446004023,68,0.723821372745789,1,0.999998081277102
"ENSG00000004809",0.111274865515178,35,0.433306086089974,1,0.433590996799427
"ENSG00000004838",-0.0743391941675028,57,0.49940204112036,1,0.438834293459844
"ENSG00000004846",0.253085534121766,18,0.213524354036182,1,0
"ENSG00000004848",-0.0156269076979498,14,0.94684707139927,1,0.999993200193115
"ENSG00000004864",-0.0487345309369588,62,0.643752448336554,1,0.999997295682015
"ENSG00000004866",-0.0211880575387909,55,0.850106739138526,1,0.684918824798901
"ENSG00000004897",0.139836635139227,58,0.199838516373841,1,0.70901880034512
"ENSG00000004939",-0.117337615205138,24,0.499499336012048,1,0
"ENSG00000004948",0,21,1,1,0
"ENSG00000004961",0.0819121978638317,46,0.505552016918914,1,0
"ENSG00000004975",0.0163299316185545,50,0.889749919759926,1,0.81871769030546
"ENSG00000005007",-0.129426660825176,67,0.201152486054599,1,0
"ENSG00000005020",0.18068630765869,29,0.249609103986738,1,0
"ENSG00000005022",-0.0693675342783266,66,0.496619239767892,1,0.81871769030546
"ENSG00000005059",-0.182500140252323,60,0.0886187857648458,1,0
"ENSG00000005073",0.0377425678048199,13,0.877370556064143,1,0.999997625656209
"ENSG00000005075",-0.061608007261268,65,0.549144678638317,1,0.999998187394416
"ENSG00000005100",0.0439306827904052,64,0.671742840767154,1,0.999998187394416
"ENSG00000005102",-0.107190101400992,41,0.412018324506558,1,0.76197884311134
"ENSG00000005108",-0.104420319352873,31,0.490545764684761,1,0.858087875693902
"ENSG00000005156",0.0374104778420971,53,0.743420697695252,1,0.486566464908141
"ENSG00000005175",-0.18386955239494,68,0.0672677900359816,1,0.110116641644532
"ENSG00000005187",0.0342355256609224,42,0.790746493549438,1,0.999998187394416
"ENSG00000005194",-0.0696310623822791,66,0.494985184152609,1,0.112462006079027
"ENSG00000005206",-0.0106606786424597,62,0.919421202841577,1,0.999993200193115
"ENSG00000005238",-0.0571886263589597,50,0.62735024087826,1,0.99993954050786
"ENSG00000005243",0.0143218843554676,57,0.896466939891479,1,0.999998187394416
"ENSG00000005249",-0.0405781081147455,68,0.686333523268837,1,0.81871769030546
"ENSG00000005302",-0.00887646115010057,68,0.929607190892353,1,0.99993954050786
"ENSG00000005339",-0.0346717637585861,56,0.754928628909561,1,0.141903544371134
"ENSG00000005379",-0.103547350196934,63,0.321811379198151,1,0.717092145617482
"ENSG00000005381",-0.0481025021215338,49,0.686167849855239,1,0.792517492503213
"ENSG00000005421",0.00497527147281552,59,0.963295983419093,1,0.917678923985725
"ENSG00000005436",-0.079193612772558,62,0.452354624122,1,0.999991420065036
"ENSG00000005448",0.0581018707873101,64,0.5751703741981,1,0.432237415384323
"ENSG00000005469",-0.0408044319284274,66,0.689235051338765,1,0.351504718184137
"ENSG00000005471",0.0341571350985945,58,0.754166665261853,1,0.999998187394416
"ENSG00000005483",-0.181760827634918,48,0.130918816650499,1,0
"ENSG00000005486",-0.0427307331016652,55,0.703108708808113,1,0.99993954050786
"ENSG00000005513",0.054638249234908,37,0.69196540021438,1,0.37715710723192
"ENSG00000005801",NA,NA,NA,NA,NA
"ENSG00000005810",-0.0704594848625236,48,0.558184649422657,1,0.99993954050786
"ENSG00000005812",-0.132305282681923,56,0.233600851238967,1,0.141903544371134
"ENSG00000005844",0.228887543840804,45,0.065890438888395,1,0.999998187394416
"ENSG00000005882",0.0317016469646449,68,0.752384585952634,1,0.970892119578129
"ENSG00000005884",-0.133700202122581,64,0.197162496373224,1,0.545612406922703
"ENSG00000005893",-0.0152167905430295,68,0.879629902126111,1,0.99993954050786
"ENSG00000005961",-0.12980882325586,63,0.214231941418717,1,0.299980113721356
"ENSG00000005981",0.0194697889486317,57,0.859588063258623,1,0.999998081277102
"ENSG00000006007",-0.0443823057505028,68,0.658709692965825,1,0.999998187394416
"ENSG00000006015",-0.0854981960070962,49,0.472643320171249,1,0.333969754530228
"ENSG00000006016",-0.153613417156234,33,0.294409585776561,1,0.633166793082391
"ENSG00000006025",-0.0974580721174323,59,0.367364352798866,1,0.999993200193115
"ENSG00000006042",0.113369503975239,64,0.274144859291269,1,0.947735330583006
"ENSG00000006062",-0.0716186611066814,63,0.493187256885258,1,0.141903544371134
"ENSG00000006071",-0.0398054289351021,34,0.782527924740067,1,0.999967227083538
"ENSG00000006116",-0.160934849861756,27,0.323678160907016,1,0
"ENSG00000006118",-0.082335267823348,59,0.446331257209584,1,0.301300571504319
"ENSG00000006125",0.0510552933347296,53,0.655081892659916,1,0.586715867158672
"ENSG00000006128",-0.0819565348257925,34,0.56981887020931,1,0.999998187394416
"ENSG00000006194",-0.0826300858793997,52,0.474073155195828,1,0.999991420065036
"ENSG00000006210",0.0570504909524573,57,0.604214628441953,1,0.999998187394416
"ENSG00000006282",0.00154306105452864,61,0.988414941304398,1,0.999998187394416
"ENSG00000006283",0.0732956667952456,47,0.546865268955839,1,0.99993954050786
"ENSG00000006327",-0.171791998954203,63,0.100236512149876,1,0.141903544371134
"ENSG00000006377",NA,NA,NA,NA,NA
"ENSG00000006432",-0.170750237888493,28,0.285634112305983,1,0.680055486424186
"ENSG00000006451",0.10997536295081,60,0.304857746964635,1,0.56550466188347
"ENSG00000006453",-0.0545268327791892,68,0.587367874785891,1,0.432968111961415
"ENSG00000006459",0.00267811778393381,66,0.979060960803665,1,0.999998081277102
"ENSG00000006468",-0.125973758200278,50,0.284907778462611,1,0.60119745360769
"ENSG00000006534",0.0437736330270748,63,0.675342793791307,1,0.267044758353901
"ENSG00000006555",-0.0767464803164901,60,0.473963060262863,1,0.999993200193115
"ENSG00000006576",-0.0470279156792462,54,0.677787257099189,1,0
"ENSG00000006606",NA,NA,NA,NA,NA
"ENSG00000006607",0.305952345320048,40,0.0208123340518824,1,0.185412255885265
"ENSG00000006611",-0.194322731665165,42,0.132043486344781,1,0.680055486424186
"ENSG00000006625",0.0682565476767419,67,0.500227477747936,1,0.99993954050786
"ENSG00000006634",-0.00479665501978063,60,0.964304296980899,1,0.999996603526219
"ENSG00000006638",NA,NA,NA,NA,NA
"ENSG00000006652",0.0321374134072058,66,0.752796213958787,1,0.864467705226292
"ENSG00000006659",NA,NA,NA,NA,NA
"ENSG00000006695",-0.0639269433545362,66,0.530987284507012,1,0.821153919950881
"ENSG00000006704",-0.115272670280599,44,0.359964661347358,1,0.1770412663046
"ENSG00000006712",0.0634032939292898,68,0.528044891057857,1,0.999998081277102
"ENSG00000006715",-0.00913772455067977,62,0.930901235040378,1,0
"ENSG00000006740",-0.125820508683078,48,0.295742413994498,1,0.141903544371134
"ENSG00000006744",0.013978553547906,51,0.904571746502785,1,0.999997625656209
"ENSG00000006747",-0.0154985475097483,58,0.887009295984607,1,0.99993954050786
"ENSG00000006756",0.118279469712838,40,0.371555539357456,1,0.815061664841977
"ENSG00000006757",NA,NA,NA,NA,NA
"ENSG00000006788",0.0135612700724162,30,0.929885999950233,1,0.5055711263155
"ENSG00000006837",-0.0707106781186548,16,0.744881619545956,1,0.680055486424186
"ENSG00000007001",0.0777713771047819,32,0.60150813444059,1,0.999997625656209
"ENSG00000007038",NA,NA,NA,NA,NA
"ENSG00000007047",-0.0587968040575849,54,0.603439408904629,1,0.999997871389344
"ENSG00000007062",NA,NA,NA,NA,NA
"ENSG00000007080",0.055794898657775,68,0.578707175711768,1,0.999993200193115
"ENSG00000007168",-0.166991553264794,41,0.201242620957724,1,0.307787711388432
"ENSG00000007171",0.031510052661165,59,0.770709705706111,1,0.999997625656209
"ENSG00000007174",-0.0198779268053623,38,0.883782185585655,1,0.883248186037017
"ENSG00000007202",0.0258902195602594,62,0.805929058944871,1,0.999991420065036
"ENSG00000007216",-0.065021632695425,54,0.565659088074039,1,0.99993954050786
"ENSG00000007237",-0.104574722748857,48,0.384820773523065,1,0
"ENSG00000007255",-0.00910379896311753,57,0.934077936550405,1,0
"ENSG00000007264",-0.00420294224883908,37,0.975687355291384,1,0.999997392621641
"ENSG00000007312",-0.177571201301144,37,0.197887812135486,1,0.535837432761712
"ENSG00000007314",0.11453422015351,48,0.341190973930472,1,0.200293598119049
"ENSG00000007341",0.0426355543820392,58,0.695886261876501,1,0.999998187394416
"ENSG00000007350",0.162650012158089,10,0.568811400413337,1,0.999995254973974
"ENSG00000007372",-0.0496608887642327,24,0.775032604908896,1,0
"ENSG00000007376",-0.0373023548476495,22,0.837761913983851,1,0.999991420065036
"ENSG00000007384",-0.0666942319631378,31,0.659681877818457,1,0.0884447962010289
"ENSG00000007392",-0.0625270504232531,56,0.573485103377122,1,0.99993954050786
"ENSG00000007402",-0.0636595070120767,41,0.626117479916739,1,0.843355474420446
"ENSG00000007516",0.00910379896311753,57,0.934077936550405,1,0.794358640539207
"ENSG00000007520",0,65,1,1,0
"ENSG00000007541",0.0367739104789881,68,0.714382889841032,1,0.999998187394416
"ENSG00000007545",0.00507226351434318,68,0.959740312506868,1,0.999997786048118
"ENSG00000007866",-0.197923695331785,40,0.134849226699296,1,0.99993954050786
"ENSG00000007908",-0.0284267621807481,25,0.867174601424439,1,0.999993200193115
"ENSG00000007923",-0.028120236731305,66,0.782866699669326,1,0.351504718184137
"ENSG00000007933",-0.173954026417552,64,0.0933533279197416,1,0.99993954050786
"ENSG00000007944",-0.124270456101408,68,0.21618105713166,1,0.999991420065036
"ENSG00000007952",-0.100916529798716,45,0.417429194992072,1,0.680055486424186
"ENSG00000008018",0.0326435455427419,66,0.749032993448596,1,0
"ENSG00000008056",-0.0128448151289569,58,0.906257585986684,1,0.99999776706465
"ENSG00000008083",0.0108218834123928,46,0.929908548180603,1,0.999997625656209
"ENSG00000008086",0.0271810451120902,60,0.799804937182689,1,0.999998187394416
"ENSG00000008118",0.00497567861688777,34,0.972475828466415,1,0.999997786048118
"ENSG00000008130",0.0110341853688094,56,0.920868378195854,1,0.999994314822395
"ENSG00000008197",NA,NA,NA,NA,NA
"ENSG00000008226",-0.0814900515848111,55,0.467328473727883,1,0.792517492503213
"ENSG00000008256",-0.115159064709154,66,0.259072141250941,1,0.766226900799853
