,Herbivore.Insectivore.Rho,Herbivore.Insectivore.P,Herbivore.Insectivore.p.adj,Herbivore.Omnivore.Rho,Herbivore.Omnivore.P,Herbivore.Omnivore.p.adj,Insectivore.Omnivore.Rho,Insectivore.Omnivore.P,Insectivore.Omnivore.p.adj,Herbivore.Vertivore.Rho,Herbivore.Vertivore.P,Herbivore.Vertivore.p.adj,Insectivore.Vertivore.Rho,Insectivore.Vertivore.P,Insectivore.Vertivore.p.adj,Omnivore.Vertivore.Rho,Omnivore.Vertivore.P,Omnivore.Vertivore.p.adj,Carnivore.Herbivore.Rho,Carnivore.Herbivore.P,Carnivore.Herbivore.p.adj,Carnivore.Omnivore.Rho,Carnivore.Omnivore.P,Carnivore.Omnivore.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-1.7695444270353,0.46081838146294,1,0.405075019900513,1,1,2.04108957095184,0.24745154887765,1,-1.06933242105223,1,1,0.215574677396006,1,1,-1.31431637640771,1,1,1.84542888919437,0.194925521795884,0.614401858372212,2.1254402145356,0.100649693115551,0.730762158986986
FKBP4,-1.37723829097018,1,1,0.52143402666694,1,1,1.7482256477441,0.48254977272323,1,0.41172545171664,1,1,1.37417498185682,1,1,0.0309259769038587,1,1,0.84939834481908,1,1,1.28941332879544,0.591763290194201,1
CYP26B1,0.0627138414270313,1,1,-0.529374998378234,1,1,-0.532821024704765,1,1,-0.824672377949645,1,1,-0.819707584868312,1,1,-0.41617403868971,1,1,0.335425971567017,1,1,-0.212428900894155,1,1
NDUFAF7,1.4254270230905,0.924202807472734,1,-1.00893206531659,1,1,-2.22051330226313,0.158303662320939,1,-0.117454986440871,1,1,-1.14322189919581,1,1,0.603399245138399,1,1,-1.0191530404088,0.924390949848375,1,-1.9178664651777,0.16538383613378,0.913415474797021
FUCA2,1.76318500260199,0.467215754297687,1,0.289720071262578,1,1,-1.38653134718543,0.993508291107343,1,0.577759463532045,1,1,-0.724398495824014,1,1,0.351281924399459,1,1,-1.60927242535498,0.322670357486376,0.846798073529303,-1.19289171151569,0.698735357210706,1
DBNDD1,-1.59160268495495,0.668844038533435,1,0.0205324313862457,1,1,1.48482295206599,0.825544381347729,1,0.108071012126407,1,1,1.17014991956778,1,1,0.0899999125957498,1,1,1.21324581341758,0.675107559360187,1,1.12022271928294,0.787856594122289,1
HS3ST1,-0.403053908063131,1,1,1.19751784473269,1,1,1.44837121775362,0.885079559146245,1,1.40298869296368,0.96372126427726,1,1.60515977038523,0.650751889853713,1,0.510441725872242,1,1,-0.310632912950715,1,1,0.891802632440247,1,1
SEMA3F,1.72477396377174,0.507409293668461,1,0.307044411186964,1,1,-1.33733568859776,1,1,1.71856572604985,0.514160861966778,1,0.390134960324962,1,1,1.43777797149803,0.902982369210342,1,-2.10384436063614,0.106176077273931,0.415782415337319,-1.63765308449545,0.304482247839315,1
CFTR,0.462178827986469,1,1,0.962028863119892,1,1,0.427486539639934,1,1,-0.463124530306312,1,1,-0.769772060242187,1,1,-1.12705227032014,1,1,-0.133921004365781,1,1,0.823410851334157,1,1
