,Rho,N,P,p.adj
ARF5,0.0593406593406594,14,0.679964773578894,0.760138396262192
M6PR,0.0239230706595159,341,0.0433250449742644,0.11558152810378
FKBP4,0.0129619733426827,455,0.11735473886494,0.228000396847797
CYP26B1,0.047457307107341,239,0.0102338701893907,0.041854675018003
NDUFAF7,0.00742260371550699,511,0.285573972938805,0.419064759422507
FUCA2,0.0124545081682989,550,0.0772607142414665,0.171017087123633
DBNDD1,0.0276698709024618,351,0.0214479098610931,0.0710635648952451
HS3ST1,0.019743225024073,382,0.0569915700255993,0.138856719403435
SEMA3F,0.00193339803875172,428,0.843343923252139,0.88414689797589
CFTR,0.00464260302731145,580,0.442258967158664,0.566131037905844
CYP51A1,0.0485880443166325,424,0.000130368224399913,0.00179052433648827
USP28,0.0128256209901598,541,0.0742995988126145,0.166397451294778
SLC7A2,0.00628545067548887,500,0.371063451927962,0.499613995925854
HSPB6,0.0264823217287189,250,0.086024467821381,0.184011767014693
PDK4,0.0521796239562946,388,0.000154766869712848,0.00202809323733458
USH1C,0.00612935934444882,544,0.343731170588782,0.474246638736076
RALA,0.283212530338967,28,0.0539056011645481,0.133766678350422
BAIAP2L1,0.0192116383263663,475,0.0279102418156532,0.0853386790960111
CACNG3,0.127136466707896,99,0.005964322029963,0.0286817142202961
TMEM132A,0.0246369622777203,582,0.00250736721935008,0.0155166338964259
DVL2,0.0550852192064407,363,0.000174601523968297,0.00222634305979623
RPAP3,0.0283473426231389,535,0.00170285232130369,0.0117088447043567
HOXA11,0.0333800698872417,218,0.0645292637505287,0.151409023480233
TRAPPC6A,0.00261296201384632,355,0.819393690011135,0.86676623967123
SPATA20,0.0127035321383797,537,0.0782380663770168,0.172442206805669
CD79B,0.000556696645068957,526,0.961476462220579,0.971293630182241
RHBDD2,0.0320228465174843,397,0.00537967456689637,0.0265881664996038
RPUSD1,0.0159920108210092,424,0.0797907975612582,0.174607597173571
TSR3,0.00919547911062803,455,0.243202329724796,0.374848248949806
NDUFAB1,0.0359351028903394,341,0.0066727005826486,0.0308968826795406
YBX2,0.0530651376086176,338,0.000464986939510981,0.00461528813568955
ITGA3,0.0177831047337262,552,0.0203590395943203,0.0683524689186772
KRT33A,0.0207334711368513,356,0.0612564615118011,0.145951919891653
LRRC23,0.0144390833838396,493,0.0686549006585251,0.157944703280442
TFAP2D,0.0497558150618194,122,0.110619341192015,0.219133209816538
CRY1,0.0179878527909474,333,0.112982079096607,0.222193467946063
PGLYRP1,0.00791465123399151,464,0.300047332352441,0.432283922961342
STARD3NL,0.0335351269800632,244,0.0430299373867648,0.11496646715037
CD74,0.0237646627531038,467,0.0113306458266913,0.0449301314473548
RPS20,0.128682745825603,21,0.276145477909261,0.409630700595061
MGST1,0.0561056696809431,363,0.000146376721237089,0.00194376643578132
CPA1,0.0105321337905234,520,0.140675634794559,0.258157668249048
SYPL1,0.0116882608864448,469,0.140437577074557,0.257809355784103
RANBP9,0.025681063024794,373,0.0227704702966739,0.0740594760379647
CD4,0.00429516126584939,592,0.468384096869532,0.588012258013572
PLEKHG6,0.0199994771106863,595,0.00780686493261896,0.034537242931277
QPCTL,0.0203957648066336,400,0.04324586585022,0.115389501889017
PPP5C,0.0113077317727324,261,0.400967194065966,0.52764385767564
UBR7,0.008740155969057,455,0.26493698183822,0.397083406106508
MAP4K5,0.0222769582001555,381,0.0373141861850675,0.10428452941138
ERCC1,0.0120232570378343,295,0.316271833920866,0.447564167088153
GPRC5A,0.0294018556866267,517,0.0016759156859071,0.0115682931152967
HEBP1,0.00940760382117298,343,0.359305392972374,0.488418865114173
COX15,0.00318396861108845,460,0.691197748554805,0.769501806892854
MS4A12,0.0100446006092967,330,0.346992696098447,0.477185665642721
XYLT2,0.00419722916802481,501,0.552193093277149,0.65826540943709
FTSJ1,0.0656758806302084,338,6.1210447077621e-05,0.00102516305722059
SCTR,0.00273082525709626,522,0.700208449967258,0.776728654985304
RALBP1,0.0416286225898023,393,0.000975643521862916,0.00779930891192959
SYT13,0.0160590735836823,478,0.0535825254248233,0.133178835708935
SNAI2,0.00376781546695037,169,0.88883956155658,0.917992170412325
SLC7A9,0.0216190771559444,471,0.0172462710995796,0.0605761467943742
RTF2,0.00163123842393675,441,0.869022443249623,0.903521777400425
RB1CC1,0.00991953294225326,575,0.127495271400094,0.24161662380942
AKAP11,0.0121546964393721,647,0.0491729826652626,0.125992189589233
B4GALT7,0.0102494782782742,366,0.290816728239866,0.424247794687227
FAM13B,0.0612208402737345,469,2.6508441331952e-06,0.000103628609187446
CHPF2,0.00960763041096021,422,0.256665681215818,0.388207751111364
GABARAPL2,0.136356209150327,16,0.359632871731839,0.488656804689549
MYOC,0.0123289141155454,540,0.0841055981510453,0.18113539034291
FAM136A,0.0314487735775209,226,0.0695152429076134,0.159374955417426
NSMAF,0.0200478807287496,528,0.0143248501399412,0.0530986813235377
OTC,0.00999893828127339,374,0.292181234283276,0.42537948163118
TTC17,0.00831363110173484,439,0.302884380036124,0.434970249353523
HOXC8,0.14860388129882,44,0.0941044207494867,0.195629786740956
MRI1,0.0137398926224414,477,0.0880909569801325,0.187158252714417
TARBP1,0.00637183128076967,625,0.264064910195299,0.396201336505329
RTN4R,0.0138399685111704,442,0.106685321674313,0.213668223667811
PSMA4,0.0485164005752723,79,0.285720021352847,0.419064759422507
ZPBP,0.00991921143297687,441,0.224704136675591,0.355639172769465
LCP2,0.00420805817580058,525,0.530959776112726,0.640347877466876
DCN,0.0223975085177443,401,0.0298409537300563,0.0892337221863268
TNFRSF17,0.00959639976956344,461,0.22005905484017,0.35057128301714
MRPS10,0.0400577078962832,426,0.000698581235644721,0.0061690688952692
GRN,0.0215692364516361,598,0.00491067256187249,0.0248919227772588
THAP3,0.00240200508651548,472,0.769513313395741,0.830108990921183
VAMP3,0.028306243208719,259,0.0628419439584819,0.148734595062987
RCN1,0.00931365121827219,326,0.38749069233007,0.51511162118822
RFC2,0.0310227723743356,380,0.00826125509202721,0.0360597485335
PPP1R3F,0.0129535152299131,439,0.128614133270363,0.242978232915769
NFE2L3,0.0255289536774074,602,0.00154587099734238,0.0108863006789998
CBLN4,0.0315399827621844,180,0.130181679818198,0.244842990392641
CLDN11,0.0169650225399968,170,0.412574644891533,0.538409575665323
FAM168A,NA,NA,NA,NA
RELT,0.00557434282590278,533,0.396967183634562,0.524144494546071
PKP2,0.00748242419077288,531,0.265193469870689,0.397282076370446
YIPF1,0.0252786535830179,394,0.0191310990491339,0.0653105975632626
ADCK2,0.00809528968444767,510,0.248742598736046,0.379808171148074
INPP4A,0.0216414064094875,415,0.0298336586496713,0.0892337221863268
SLC2A3,0.00228165940857473,433,0.804717676696372,0.855760013408271
STYK1,0.021107856441587,532,0.0106513675313716,0.0429661429931214
GNA11,0.0397169087419247,126,0.174406725159488,0.298557192230724
CREB3L3,0.0326177449449473,497,0.00104236735569213,0.0082300807768638
HDAC7,0.00368808638713348,521,0.589640598299806,0.689094619513677
MRPS35,0.0237447324545626,488,0.00903752462049173,0.0384022917861192
APPBP2,0.00979297391130586,124,0.751916648413566,0.816678189386232
CA11,0.000957109722552237,241,0.972656929860705,0.979255356269308
ISOC2,0.000527165764471555,396,0.976249807160611,0.981784769174587
CD22,0.00829309557838342,635,0.153862751399179,0.274037908796557
GSC2,0.00526477286657191,338,0.620559105752797,0.713919131998696
KCNQ1,0.0263047294610457,467,0.00654963477849848,0.0305167285551668
TRIB2,0.0688000746080044,148,0.017624681720589,0.0615175084097563
OTUD5,0.00623613367481888,242,0.681599278521978,0.761354326862517
GPKOW,0.00608344191173282,508,0.37880875847071,0.507060863601849
AQR,0.00841106590600525,519,0.225412155605159,0.35647814800587
LMCD1,0.0091023615461298,356,0.357313961687958,0.486743853300577
PSMC4,0.0696392529764407,47,0.201553017419741,0.330046154802167
FNDC8,0.00117008964489958,481,0.905154370110476,0.930658534857079
