,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj,Carnivore...Omnivore.Rho,Carnivore...Omnivore.P,Carnivore...Omnivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,2.25793006443809,0.0718500597145688,0.310067221982514,1.94846886785478,0.154076659264268,0.661940378208902,-0.194480898341843,1,1
FKBP4,1.15694040554729,0.741890127338891,1,1.24173502579615,0.64300302720473,1,0.15801360203221,1,1
CYP26B1,0.572206247252341,1,1,-0.0641528841217235,1,1,-0.615136961194725,1,1
NDUFAF7,-0.720053131360837,1,1,-1.69887430974712,0.26802860538554,0.906024759545926,-1.07317321923741,0.84958021248889,1
FUCA2,-1.184371102903,0.70879858176435,1,-1.63215962959245,0.30793758834695,0.978574364972305,-0.55107072530542,1,1
DBNDD1,1.529862442911,0.378152344227635,0.918417356175837,1.38281867592767,0.500161413059591,1,-0.0345676435917233,1,1
HS3ST1,-0.449901244830649,1,1,1.03366736537233,0.903875083731718,1,1.50996045344796,0.393160546232149,1
SEMA3F,-1.78550592207262,0.222537874862599,0.658128724639075,-1.1133340741743,0.79669493212921,1,0.574395544312137,1,1
CFTR,1.37477935381325,0.507599582431405,1,0.0823154878799692,1,1,-1.25744073077447,0.625782264417784,1
CYP51A1,-1.93291691174744,0.159739302535584,0.526694132522967,-0.0504160215135167,1,1,1.84355009316848,0.195746204850297,0.958608608485511
USP28,1.65882045162503,0.291455933762038,0.774705569525472,1.09642842073396,0.818673996228558,1,-0.473580849104634,1,1
SLC7A2,0.49188572304956,1,1,-0.307400636820723,1,1,-0.818128528373497,1,1
HSPB6,1.03495438594591,0.902070641806516,1,0.057897760020198,1,1,-0.937481931158843,1,1
PDK4,0.182649121494894,1,1,3.42575989776475,0.00183924622982208,0.0500090683157751,3.42840296961597,0.00182143057443748,0.0946460085181248
USH1C,1.69399487174045,0.270798772612967,0.738551507322662,1.08926083260794,0.828116638823244,1,-0.519513914806192,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,0.296008028101234,1,1,1.47753971225658,0.418593063946957,1,1.22691695000735,0.659561421416708,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,-0.826017855470218,1,1,1.93529833041199,0.158861091340922,0.67241037410774,2.81155549301753,0.0147907755892477,0.277852679503994
DVL2,1.75997017175326,0.235238592504496,0.67958947802624,-1.41469322157364,0.47147538802204,1,-3.13542262010311,0.00514820081863755,0.16329449471616
RPAP3,-1.59043857717538,0.335207941553997,0.84965258175244,-1.63322388090814,0.307265757447078,0.977255307527003,-0.130690206943784,1,1
HOXA11,2.14122645554038,0.0967673417684695,0.379587766235341,0.891296584907456,1,1,-1.12080744260518,0.787109506334817,1
TRAPPC6A,-0.484921842582569,1,1,-0.103466697804332,1,1,0.353937414377985,1,1
SPATA20,-1.1779166058153,0.716489562661448,1,-0.644676040337964,1,1,0.475939670375401,1,1
CD79B,-1.15875165702971,0.739672283900493,1,-0.755754172563254,1,1,0.354759193314898,1,1
RHBDD2,-2.86280207022137,0.012597383548062,0.0946669123984421,0.838946454071683,1,1,3.65650909736989,0.000767020024841486,0.061462525674798
RPUSD1,2.09922818397161,0.107390371978525,0.405913210867192,2.3495855349296,0.0563829761856384,0.373881015865133,0.402597765108229,1,1
TSR3,-2.04455562709115,0.122696063802518,0.442455606677721,-1.53492326384389,0.374408034969888,1,0.462151186336198,1,1
NDUFAB1,-1.92368068303049,0.163183862370647,0.533906715516338,-0.359371018420309,1,1,1.50040344874777,0.400529780199429,1
YBX2,2.78165784302052,0.0162246073454953,0.113259810561745,1.49736150568527,0.402897656678153,1,-0.984116258914249,0.975175060622692,1
ITGA3,3.35695866473846,0.00236414679152922,0.0299768813009814,3.52507863970459,0.0012700712775723,0.0394629289817108,0.409694155954869,1,1
KRT33A,-2.14448126740742,0.0959830344428585,0.377412628975341,-0.101642109567178,1,1,2.02026523565148,0.130067648296118,0.801084120270385
LRRC23,0.647904948580461,1,1,-2.14639490483493,0.0955244564794751,0.508510683771336,-2.85313186432399,0.0129871961642739,0.260411937099541
TFAP2D,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRY1,-2.15259590640658,0.0940513516388198,0.371672047420932,-0.811620623717168,1,1,1.24068742865663,0.644163720399795,1
PGLYRP1,0.0453851440931577,1,1,1.25727895834045,0.625957921670163,1,1.31496322489275,0.565566786540784,1
STARD3NL,1.5515459273044,0.362312729903975,0.892645256215097,0.872275053393612,1,1,-0.584630228074084,1,1
CD74,2.81537699643824,0.0146160130421488,0.10521157366508,1.29173001372371,0.589351978865972,1,-1.38534214043046,0.497843621888193,1
RPS20,2.36902553038425,0.053505066855224,0.256499596216464,0.237338880150599,1,1,-1.68966064970327,0.273278686758835,1
MGST1,-3.65817638295042,0.000762048649193533,0.013272726322649,-1.07839736464279,0.842569387767268,1,2.40192995445996,0.0489264928169148,0.510559186523323
CPA1,-2.2405921160834,0.075157523594199,0.319450948275176,-0.274133769111827,1,1,1.90934778412269,0.168651725732787,0.892810335285706
SYPL1,-0.644094608931762,1,1,1.11620668293942,0.793001023615373,1,1.73005962403925,0.250858869098676,1
RANBP9,-1.59748049110081,0.330475928906846,0.84279665286545,-0.0108067042334509,1,1,1.5397314062151,0.370877514189555,1
CD4,1.11231295468303,0.798010847371328,1,-1.49555546390251,0.404308608738116,1,-2.65214133947649,0.0239949158497768,0.343671301799485
PLEKHG6,1.65838486571142,0.291719428029615,0.77525367284882,0.971476687033438,0.993932870460106,1,-0.609506687851195,1,1
QPCTL,-1.17680062124069,0.717825283827739,1,-0.0459798630980224,1,1,1.11444833520241,0.795260691442943,1
PPP5C,-0.949742019879256,1,1,0.504797454141169,1,1,1.4199216643388,0.466891464138836,1
UBR7,2.33274678807139,0.0589843168930322,0.272049749983767,-0.366796368685097,1,1,-2.69537741222805,0.0210926831122593,0.327355861757541
MAP4K5,-0.584857416741633,1,1,-2.38906801773227,0.0506735245740501,0.352123617513868,-1.92073282209102,0.164296198376869,0.884558925680374
ERCC1,-1.29927365088873,0.581550100709686,1,-0.641553275286304,1,1,0.438923704142302,1,1
GPRC5A,-2.87724447773756,0.0120349397813539,0.0917995782420407,0.81773216022011,1,1,3.62161858596879,0.000878296645360265,0.0659115122340455
HEBP1,0.776349921813721,1,1,-0.168711761449473,1,1,-0.911067448271381,1,1
COX15,-0.774556541696275,1,1,-0.11407384928573,1,1,0.631334981361776,1,1
MS4A12,-0.156362397877504,1,1,1.26771386369015,0.614700456192314,1,1.62536574382788,0.312253951674671,1
XYLT2,-0.654248179040661,1,1,1.1784987783814,0.715793457204293,1,1.88034276335835,0.180184136208483,0.922118814713999
FTSJ1,-4.28442200378676,5.49644600324978e-05,0.00204604866502391,-3.451907706036,0.00166991427858424,0.0471165506881352,0.513986341688359,1,1
SCTR,0.942387860539807,1,1,-1.35376737093464,0.52743181979573,1,-2.32753595579228,0.059810272815384,0.554237007677554
RALBP1,-4.83723351634082,3.94976161551489e-06,0.000287727849742651,-2.55440077257043,0.031911223027111,0.270516910126818,2.02414538544985,0.128865585021668,0.79658080875148
SYT13,-0.0793131529024171,1,1,1.68713287110847,0.274733417040108,0.916588378659845,1.82184262475775,0.20543660424203,0.982340546352042
SNAI2,0.197282437395897,1,1,-0.108618895276748,1,1,-0.29382596913957,1,1
SLC7A9,-4.26615630724829,5.96608424014462e-05,0.0021524557477773,-1.98135899783341,0.142653085382274,0.63654549382917,2.11742421586651,0.102671582401563,0.715750684607552
RTF2,-1.11447845273483,0.795221949838134,1,-0.08741743923803,1,1,0.987711359952066,0.969882088124306,1
RB1CC1,-0.754159759646746,1,1,0.616601109923584,1,1,1.35042290182412,0.530641106374118,1
AKAP11,1.76351797285541,0.233439506150513,0.676624350555765,-0.479158015689898,1,1,-2.21773834818866,0.0797180337563516,0.629394853857926
B4GALT7,0.287560671787114,1,1,0.545765948974541,1,1,0.290023718226407,1,1
FAM13B,-5.74922631661745,2.68958239501674e-08,6.60465999421448e-06,-3.37710609080524,0.00219758371739217,0.0553022342532091,2.03245171766112,0.126323840863278,0.789200031655069
CHPF2,-0.354796154326285,1,1,0.759017084978629,1,1,1.13512367878654,0.76897050483938,1
GABARAPL2,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYOC,3.50540335713036,0.00136774796414481,0.0199164623109793,2.20992899135073,0.0813302724394398,0.464585807861848,-1.10277955913847,0.810368720911294,1
FAM136A,-1.32506575789465,0.555448026313434,1,-1.00627637486917,0.942847925326789,1,0.17415672733867,1,1
NSMAF,0.245101378165099,1,1,2.55819551121785,0.0315650755282357,0.269321393475486,2.37930679830167,0.0520356987322452,0.522588069392106
OTC,-1.75145694354611,0.239601695018064,0.686059974873911,0.0614600968109016,1,1,1.72400986257243,0.254118188175833,1
TTC17,-0.509837011547469,1,1,-0.526911418220484,1,1,-0.0607364463458868,1,1
HOXC8,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRI1,-1.20752322678493,0.681692116888012,1,-0.838095634179061,1,1,0.312333768792102,1,1
TARBP1,-1.56004055359695,0.356250894258244,0.883075914396101,-1.17662846403936,0.718031494927395,1,0.305740171982008,1,1
RTN4R,1.88544866821213,0.178107865725939,0.56536843215621,1.69086925151714,0.272585331371526,0.913086105053636,-0.0974186909082842,1,1
PSMA4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZPBP,0.59815427471201,1,1,2.04302646909846,0.123149453879823,0.583355244377757,1.52839709287496,0.379241928561689,1
LCP2,0.510842587396318,1,1,1.17814067708994,0.716221583455329,1,0.716832803209361,1,1
DCN,1.31502488381799,0.565504618923201,1,-1.62758150360238,0.310840961138064,0.982604865754416,-2.95772783547417,0.00929746875618351,0.221871413499834
TNFRSF17,0.88622023910984,1,1,-0.247284925815895,1,1,-1.1240019864074,0.783036549756936,1
MRPS10,-4.17628370954556,8.88930655621378e-05,0.00290647885827438,-1.98122228311299,0.14269905409741,0.63656404882305,1.88621578716048,0.177797645864931,0.915134941951852
GRN,-4.08802597302212,0.000130517835997775,0.00382141164051178,-2.51349441961922,0.0358625007415855,0.289477850228194,1.35097533180282,0.530110004644338,1
THAP3,-0.666058540370581,1,1,0.325145940745233,1,1,1.00107872227872,0.95036625302228,1
VAMP3,0.715458406868335,1,1,1.82430986589694,0.204315719181415,0.778844973594651,1.20210891323866,0.687964000397802,1
RCN1,-1.26023718989898,0.622751431776065,1,-0.0256991060968303,1,1,1.20422277307009,0.685510458687721,1
RFC2,-2.06570586072465,0.116568784722626,0.427660787061442,-1.17510209634752,0.719861616229267,1,0.726768482233702,1,1
PPP1R3F,-0.728143914377967,1,1,-0.731123409743736,1,1,-0.0248108958916506,1,1
