"","main_Rho","Herbivore_Rho","Vertivore_Rho","main_P","Herbivore_P","Vertivore_P","main_p.adj","Herbivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"ARF5",NA,4.45440685947892,NA,NA,8.41254389329987e-06,NA,NA,0.000831456853454253,NA,"MissingData",5
"M6PR",-0.90073280770022,1.28128502337676,0.44354176078554,1,0.200093571391083,0.65737392015267,1,0.475629373614617,0.848702939566281,"Herbivore",1
"FKBP4",0.39954196694816,-0.479157003006884,-0.458808535913748,1,0.631826939958133,0.646371664485336,1,0.830973487825358,0.843473416306986,"Unclear",0
"CYP26B1",-0.232220806995983,1.08288065534041,0.554295703705739,1,0.278861399326473,0.579376490106865,1,0.566637134471957,0.802866915692285,"Herbivore",1
"NDUFAF7",0.362383718795442,-0.281730692989215,0.285610681582255,1,0.778150017782438,0.775176321392086,1,0.908654537730389,0.908110072000781,"Both",3
"FUCA2",0.618887153038973,-0.431483855411579,1.2300256732169,1,0.666116589084031,0.218687491132174,1,0.850164078146697,0.508397085741167,"Vertivore",2
"DBNDD1",-0.292244892673987,0.822140629582958,0.579097674582307,1,0.410996863972549,0.562523269036379,1,0.683947339806525,0.793882043464763,"Unclear",0
"HS3ST1",1.21833599838631,-0.97047995942567,1.61816569135329,1,0.33180730949568,0.105626894500444,1,0.614683990819685,0.365341473323645,"Vertivore",2
"SEMA3F",2.21057304024932,-1.71399935221048,1.33975622985198,0.162392504386514,0.0865288448379962,0.180324610013212,0.907427445894899,0.303408346996924,0.466400276177594,"Both",3
"CFTR",-0.781761015159462,0.711303744295851,0.0914035411103257,1,0.476896031825526,0.927171948130877,1,0.73241546098233,0.971666230058564,"Both",3
"CYP51A1",4.16503559101141,-2.09698189179794,3.90766040154556,0.000186782398303816,0.0359951783602454,9.31941704484385e-05,0.0140505078510634,0.18405231736316,0.0185700865072691,"Both",3
"USP28",-1.53259492927067,0.987035267678311,-0.781105754729461,0.752254149937919,0.32362534954278,0.434740297545137,1,0.606432750374441,0.703634532160496,"Both",3
"SLC7A2",1.22977085047617,-0.03685823100053,1.74908055457868,1,0.970598043932791,0.0802770959851991,1,0.988681978478877,0.321704764595502,"Vertivore",2
"HSPB6",-0.272370917394375,1.02496774738374,0.848315706832946,1,0.305378406166948,0.39626217252034,1,0.58982686506939,0.673547586512177,"Unclear",0
"PDK4",1.18466738590345,-1.59735482927136,1.70867046156964,1,0.110186635324683,0.0875120086076641,1,0.345925851632344,0.334797714794873,"Unclear",0
"USH1C",-1.3791283183508,0.749628735692611,-1.36164402824286,1,0.453478339042796,0.17331025325689,1,0.714948450993765,0.461427474914871,"Both",3
"RALA",NA,4.37697735724881,NA,NA,1.20336469940599e-05,NA,NA,0.00106745308021686,NA,"MissingData",5
"BAIAP2L1",1.52358881726007,-1.74013559826389,1.54804947291411,0.765668750407673,0.0818352107768413,0.121610385733624,1,0.294573362555757,0.39214416441517,"Unclear",0
"CACNG3",NA,2.73841628105446,NA,NA,0.00617358764801182,NA,NA,0.0644991432330907,NA,"MissingData",5
"TMEM132A",-1.34463212588136,0.474077170806186,-2.78746842531369,1,0.635444877495179,0.00531216307079458,1,0.83305774986407,0.08783308993538,"Vertivore",2
"DVL2",-1.5338585652657,2.79647764607695,-0.43158249189587,0.750386708362123,0.00516629847391652,0.666044885593887,1,0.0579847423450024,0.853398919404989,"Herbivore",1
"RPAP3",-0.414194975804225,-0.177932375744532,-1.04831260548887,1,0.858776084367789,0.294494603784659,1,0.944682833492873,0.585709767348419,"Vertivore",2
"HOXA11",-1.6706453611526,2.04563165647845,-0.218368376109609,0.56875048251017,0.0407926244469361,0.827142103185988,1,0.197841025663952,0.931338049568667,"Herbivore",1
"TRAPPC6A",0.611600165577002,-0.303624061310827,0.602024679678494,1,0.761414318194629,0.547157709523853,1,0.899086813114063,0.784089963058257,"Both",3
"SPATA20",-0.481269879458855,0.16846417107422,-0.268510322980247,1,0.866218128139671,0.788306529941845,1,0.948539166327347,0.914258271126442,"DoubleBoth",4
