,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.236384684336423,126,0.00126386039966587,0.0300027037354309
FKBP4,-0.0677911549345895,177,0.272039682613282,0.559142329475399
CYP26B1,-0.0418773493119521,96,0.618963054058868,0.818991314952112
NDUFAF7,0.0200546263217165,187,0.738314502925272,0.883601725910056
FUCA2,-0.13899872003002,192,0.0189439312353478,0.141941553050469
DBNDD1,-0.0607741334212339,137,0.387106028168111,0.664867044785227
HS3ST1,-0.0308762360091495,140,0.65685858774733,0.84199896223266
SEMA3F,-0.0297216644220658,153,0.654638385737578,0.840892426947062
CFTR,0.252736241301843,210,8.03257646839311e-06,0.00126749331626262
CYP51A1,0.0173253956548186,155,0.792953040882242,0.911222275667548
USP28,0.0306848007278545,203,0.594160703147695,0.805171046321642
SLC7A2,-0.113008842745871,179,0.0655566408922867,0.274339628296395
HSPB6,0.0289440209362906,91,0.738027621164005,0.883558060297134
PDK4,0.0372044875387128,160,0.566794799605741,0.789832233736312
USH1C,0.0510295430605596,203,0.375571127002572,0.653352495580026
RALA,0.248755496770252,18,0.221461838356929,0.509170079131639
BAIAP2L1,0.0449045201211083,176,0.468158665484014,0.727163770264423
CACNG3,0.0512134156600461,54,0.65093564245221,0.839286162402333
TMEM132A,-0.036439752047982,180,0.55154342307876,0.780335038190282
DVL2,-0.0541306370758539,127,0.458535446788941,0.720363886390239
RPAP3,-0.108931397604846,192,0.0659116861939719,0.274973714176251
HOXA11,0.157244169924184,79,0.0909912332239448,0.326971176320471
TRAPPC6A,-0.00156292608517299,135,0.9823867831021,0.993264204697024
SPATA20,0.0974658532193572,206,0.0881950810900337,0.322555687214993
CD79B,-0.0254388796494651,194,0.665942288111432,0.846165878742961
RHBDD2,0.0818378464770186,163,0.203433378906585,0.488688218321183
RPUSD1,-0.162988622480358,162,0.0115663495712138,0.109699703210775
TSR3,-0.0303186208482795,147,0.654762244717497,0.840919113368027
NDUFAB1,-0.0744756412593228,126,0.309735675125554,0.597601976881538
YBX2,0.198413359421656,135,0.00506871723975527,0.0682115417841648
ITGA3,0.113732863203175,203,0.0482820202706157,0.231141914412719
KRT33A,-0.105257120832203,126,0.151114232682783,0.420647453308437
LRRC23,0.242048203240305,182,6.9679185802629e-05,0.00459625612907096
TFAP2D,-0.0249340993829693,43,0.844886943829055,0.937247688264974
CRY1,-0.02684479453023,121,0.719833289695545,0.875120235489826
PGLYRP1,-0.115920418737625,147,0.0873287216552221,0.32071715008432
STARD3NL,0.0519962884699691,102,0.524200600389227,0.76492774575745
CD74,0.0911194453535087,175,0.142133646041953,0.411076555803276
RPS20,0.217597069944622,12,0.395765687345556,0.671499972362083
MGST1,-0.121042608509108,135,0.0873112963042005,0.32071715008432
CPA1,-0.0856235496464227,191,0.149380625654613,0.419446257414525
SYPL1,0.0792393150030091,188,0.185637536004211,0.46663066406181
RANBP9,-0.124232093356928,133,0.0815844977888292,0.308496983990964
CD4,0.0415638528677006,208,0.464997345235339,0.724364331355283
PLEKHG6,0.0501012997322438,217,0.368251916124167,0.64742137345874
QPCTL,0.0385232871294917,158,0.555648820101455,0.783045946898951
PPP5C,0.0775256950975654,107,0.330540606205286,0.615177041729196
UBR7,0.0311608586070925,175,0.615676755382578,0.817330697614863
MAP4K5,0.0782631547066012,134,0.270756539456252,0.557872431608721
ERCC1,-0.0374165798392966,116,0.624613781218972,0.822835723170894
GPRC5A,0.016723994698981,202,0.772064715589653,0.901274284611459
HEBP1,-0.0238674763217247,135,0.736016235610535,0.882807107605943
COX15,-0.0348022244917919,170,0.580614452996415,0.797078672154806
MS4A12,0.0940189187806812,87,0.288342390709733,0.57672674620838
XYLT2,0.0456961925632152,175,0.46164287894556,0.722234383525036
FTSJ1,-0.123292432107724,128,0.0900574031593607,0.325288550929664
SCTR,0.0429975932815241,188,0.472620518309077,0.729881715811227
RALBP1,-0.142302433467743,142,0.0391828770192894,0.208169692365375
SYT13,-0.0041956516219675,173,0.946423910616214,0.98079279127989
SNAI2,-0.00728320769499674,74,0.939655126752389,0.978580432682446
SLC7A9,-0.116224694463794,170,0.0650267676653002,0.273051350266895
RTF2,0.0500816475638868,160,0.440690647939108,0.706958634364591
RB1CC1,-0.0680755540131926,209,0.230299534811352,0.517258025786871
AKAP11,-0.131675660914152,214,0.0188661660116147,0.141562210702536
B4GALT7,0.0944347289414816,134,0.183884596973234,0.464400217838412
FAM13B,0.00966565315091097,165,0.879863283609389,0.953117139204868
CHPF2,-0.0147219201522394,156,0.822941668159208,0.925645790664
GABARAPL2,NA,NA,NA,NA
MYOC,0.044709753428012,190,0.45275777521681,0.716080989102097
