,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.015990239458306,282,0.343347739945312,0.464184646626091
FKBP4,NA,NA,NA,NA
CYP26B1,0.0105181815784767,230,0.661062182280256,0.734548858174944
NDUFAF7,0.02628651808138,329,0.0712749103772502,0.169357867915433
FUCA2,0.0102439414555651,350,0.46654615234313,0.57416454184064
DBNDD1,0.0224919939356872,277,0.184158477625252,0.306423507134414
HS3ST1,NA,NA,NA,NA
SEMA3F,0.0306092740483367,296,0.0603605086273908,0.152889105626639
CFTR,0.0167780167877995,357,0.201175704861691,0.324822004616554
CYP51A1,NA,NA,NA,NA
USP28,0.0161788271755458,343,0.236830125262358,0.361349410641393
SLC7A2,0.0049743519369509,320,0.662382368855214,0.735020289780419
HSPB6,0.00565788120713509,232,0.860191767866721,0.88984029361508
PDK4,NA,NA,NA,NA
USH1C,0.0176418384852419,348,0.190240835311855,0.313018063972675
RALA,NA,NA,NA,NA
BAIAP2L1,NA,NA,NA,NA
CACNG3,NA,NA,NA,NA
TMEM132A,0.015730009822179,349,0.242020523310883,0.366386147744287
DVL2,0.0461042689469578,280,0.0119644961301344,0.0570968730630554
RPAP3,NA,NA,NA,NA
HOXA11,0.027945316824295,207,0.218066922150378,0.342737456306697
TRAPPC6A,0.00121127425673202,262,0.988748428014464,0.990534529947558
SPATA20,0.022599366313591,347,0.0984231249308452,0.206672871143148
CD79B,0.017034884961418,348,0.205886086264543,0.329514335739911
RHBDD2,0.0268610136292847,271,0.0642714465926395,0.158824632445273
RPUSD1,0.0276545881680515,295,0.0869148819222348,0.191274459234459
TSR3,NA,NA,NA,NA
NDUFAB1,0.021948619768369,259,0.129222350057823,0.24547864935601
YBX2,0.0474649043471586,261,0.0149885172880378,0.0656690256399396
ITGA3,0.0398857491259979,352,0.00729538145462273,0.0412621762680406
KRT33A,0.0657254225809402,227,0.00501393046094719,0.0326122131277781
LRRC23,0.0187322304159722,333,0.183372320458509,0.305485239631828
TFAP2D,NA,NA,NA,NA
CRY1,0.00508846194151702,267,0.852230000421706,0.884375370735033
PGLYRP1,NA,NA,NA,NA
STARD3NL,NA,NA,NA,NA
CD74,0.0150120924838646,338,0.281289548816935,0.404268578120372
RPS20,NA,NA,NA,NA
MGST1,NA,NA,NA,NA
CPA1,0.0542509457358969,336,0.00114107710644047,0.0125900832152495
SYPL1,NA,NA,NA,NA
RANBP9,0.0167836371244955,282,0.31767533539893,0.439839394531102
CD4,NA,NA,NA,NA
PLEKHG6,0.0261049945813813,365,0.0497016918290811,0.136298280660892
QPCTL,0.00468276264301924,281,0.726481534157842,0.78528271701079
PPP5C,NA,NA,NA,NA
UBR7,0.0326134810285439,320,0.0341496632716841,0.10747759913194
MAP4K5,0.0302836864953154,281,0.0755131255052748,0.175341096611437
