,Herbivore.Insectivore.Rho,Herbivore.Insectivore.P,Herbivore.Insectivore.p.adj,Herbivore.Omnivore.Rho,Herbivore.Omnivore.P,Herbivore.Omnivore.p.adj,Insectivore.Omnivore.Rho,Insectivore.Omnivore.P,Insectivore.Omnivore.p.adj,Herbivore.Vertivore.Rho,Herbivore.Vertivore.P,Herbivore.Vertivore.p.adj,Insectivore.Vertivore.Rho,Insectivore.Vertivore.P,Insectivore.Vertivore.p.adj,Omnivore.Vertivore.Rho,Omnivore.Vertivore.P,Omnivore.Vertivore.p.adj,Carnivore.Herbivore.Rho,Carnivore.Herbivore.P,Carnivore.Herbivore.p.adj,Carnivore.Omnivore.Rho,Carnivore.Omnivore.P,Carnivore.Omnivore.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-2.12647765483081,0.200781047327645,0.835854056127566,-0.194480898341843,1,1,1.85837213111869,0.378697122334826,1,-1.34302427090587,1,1,0.18127700533188,1,1,-1.18307860982699,1,1,2.25793006443809,0.0718500597145688,0.310067221982514,1.94846886785478,0.154076659264268,0.661940378208902
FKBP4,-1.59738423221509,0.661080510231245,1,0.15801360203221,1,1,1.65964239801014,0.581918481957364,1,0.128497597516606,1,1,1.24831731888348,1,1,0.0190506390837976,1,1,1.15694040554729,0.741890127338891,1,1.24173502579615,0.64300302720473,1
CYP26B1,-0.1508353318627,1,1,-0.615136961194725,1,1,-0.398813811006558,1,1,-0.983530860715621,1,1,-0.810969861492183,1,1,-0.52795299964735,1,1,0.572206247252341,1,1,-0.0641528841217235,1,1
NDUFAF7,1.24307192842285,1,1,-1.07317321923741,1,1,-2.10194413578048,0.213349018222576,1,-0.471544361253112,1,1,-1.32069086164109,1,1,0.274203809312562,1,1,-0.720053131360837,1,1,-1.69887430974712,0.26802860538554,0.906024759545926
FUCA2,1.25356359062892,1,1,-0.55107072530542,1,1,-1.66152260111959,0.579651201528089,1,0.481303960553908,1,1,-0.436490300793711,1,1,0.834833602978286,1,1,-1.184371102903,0.70879858176435,1,-1.63215962959245,0.30793758834695,0.978574364972305
DBNDD1,-1.86685304115406,0.37153267837366,1,-0.0345676435917233,1,1,1.72019263217525,0.51238459122056,1,-0.106924907512988,1,1,1.13437584993891,1,1,-0.081601101381669,1,1,1.529862442911,0.378152344227635,0.918417356175837,1.38281867592767,0.500161413059591,1
HS3ST1,-0.229044217867293,1,1,1.50996045344796,0.786321092464299,1,1.54037990250081,0.740806664082478,1,1.40858957737359,0.953739375167754,1,1.47639967397145,0.839019781144503,1,0.363077816955496,1,1,-0.449901244830649,1,1,1.03366736537233,0.903875083731718,1
SEMA3F,1.43307527977375,0.911017950546332,1,0.574395544312137,1,1,-0.853870969856743,1,1,1.47405867874676,0.842794756945849,1,0.372854887649454,1,1,1.04309802523346,1,1,-1.78550592207262,0.222537874862599,0.658128724639075,-1.1133340741743,0.79669493212921,1
CFTR,-0.939253114194118,1,1,-1.25744073077447,1,1,-0.200626122234551,1,1,-1.407161768626,0.956276552481758,1,-0.641787928060821,1,1,-0.513838353413646,1,1,1.37477935381325,0.507599582431405,1,0.0823154878799692,1,1
