,Rho,N,P,p.adj
A1BG,0.0672108561824265,125,0.456432728557736,0.937553639727833
A1CF,-0.00210820492543657,131,0.980933752004863,0.998782466816528
A2M,-0.103833604635585,173,0.17398989754951,0.85062378146222
A2ML1,0.0725288559299954,136,0.4014001655342,0.923076168856971
A3GALT2,0.0638814860164483,136,0.459992928187653,0.937946088795288
A4GALT,-0.205419100125714,156,0.0100954072464768,0.579427111488464
A4GNT,-0.0524692293430167,155,0.516728992216372,0.947545457628256
AAAS,0.0405458179304476,136,0.639305694333454,0.968817178858073
AACS,0.112016737031386,159,0.159795137409443,0.842868892383288
AADAC,-0.0989158049053482,111,0.301659510533947,0.901845074315253
AADACL2,0.11853959471745,123,0.19160229921092,0.86011779231612
AADACL3,0.0208171115484706,162,0.7926004160537,0.982623604953839
AADACL4,0.0193612789344104,145,0.81720255469708,0.983105034159392
AADAT,0.0189275235397276,154,0.815767947676502,0.983105034159392
AAGAB,-0.0976164517359324,139,0.252946881028827,0.886334709106804
AAK1,0.201697998444644,148,0.0139605699222934,0.585573970839715
AAMDC,0.115676264701076,89,0.28036966813376,0.894352421790276
AAMP,0.299142841256971,98,0.0027697210063865,0.511312462169272
AANAT,-0.0864669939377235,142,0.306220966522818,0.901845074315253
AAR2,0.10632387295449,137,0.216237551822957,0.8722606757236
AARD,-0.0590176991690191,109,0.542132828246052,0.953324229714507
AARS1,0.0186626014655671,148,0.821874339805863,0.983415038557164
AARS2,0.062062750879235,169,0.422783848315118,0.927370750942297
AARSD1,0.0750806311537574,148,0.364442976143041,0.913141621816806
AASDH,-0.0599110420156518,169,0.439073592189961,0.93210911098358
AASDHPPT,-0.0122753326230918,115,0.896404147202634,0.993042929577886
AASS,-0.130370053696721,157,0.10364543176206,0.802307828733985
AATF,-0.0507870024042673,159,0.524934622037738,0.94866387479845
AATK,-0.0372543511950976,160,0.639997706500039,0.968817178858073
ABAT,-0.02328522063565,137,0.787094166292327,0.982623604953839
ABCA1,0.0482748190984453,165,0.538062014534851,0.952304339943075
ABCA10,0.121802436039063,115,0.194717062956519,0.86011779231612
ABCA12,0.0178753572123454,172,0.815961554692739,0.983105034159392
ABCA13,-0.113309319440183,151,0.165971932744813,0.846283636071577
ABCA2,-0.0669800451498278,152,0.412278883591464,0.925619189561963
ABCA3,0.0178429281002988,172,0.816289516719942,0.983105034159392
ABCA4,0.125497148391923,172,0.100928262528851,0.795018337904115
ABCA5,-0.0363988708339376,170,0.637470802169541,0.968535252544362
ABCA6,-0.0522151307940223,160,0.511988922386339,0.946884260641024
ABCA7,-0.0115782301752988,139,0.892392730687402,0.992743556745349
ABCA8,0.0919587829992622,157,0.252018045763307,0.886167306645481
ABCA9,-0.0220357060137975,146,0.791778479295328,0.982623604953839
ABCB1,8.10383552639822e-05,165,0.999175751218859,0.999985582910373
ABCB10,-0.0255853528944085,145,0.760006742400255,0.977396946300026
ABCB11,0.0127457001848393,168,0.869749725630886,0.989521470820278
ABCB4,0.124946754909319,162,0.113145372304088,0.814500369915819
ABCB5,0.122181819259522,149,0.137695901507054,0.83073476258011
ABCB6,0.0157756828206978,160,0.84304813599782,0.986065690018997
ABCB7,-0.10367734920837,134,0.233212669714264,0.879107535696647
ABCB8,-0.0355979470893172,160,0.654951942468425,0.970114321535195
