,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.0202567328716908,298,0.11082231452111,0.230142669806426
FKBP4,0.0103327543781183,336,0.325793464938047,0.464460147654278
CYP26B1,0.00483914685408036,238,0.765771316892974,0.827361357500608
NDUFAF7,0.0135428448058386,345,0.198560720486227,0.335490634090911
FUCA2,0.00823526806810975,367,0.389455093390004,0.524068296956015
DBNDD1,0.0143259744818836,287,0.251154778341759,0.391581435110907
HS3ST1,0.0160039750135103,283,0.211122909922335,0.349714239023931
SEMA3F,0.0108368000854915,313,0.33651608361092,0.4747219197848
CFTR,0.00748432939198007,377,0.421182776122389,0.553814414909958
CYP51A1,0.0765273123062608,313,2.65074865990585e-05,0.000852947031792115
USP28,0.00804479566914085,359,0.410493327298439,0.543846486897828
SLC7A2,0.00368115866681658,334,0.746817105833843,0.813174728200822
HSPB6,0.00592419020659636,243,0.697665345736053,0.776487499970949
PDK4,0.0573699478234946,296,0.000732591760036183,0.00833336815228005
USH1C,0.0102849477861873,361,0.295422729025861,0.435438111153749
RALA,NA,NA,NA,NA
BAIAP2L1,0.01833603781678,332,0.108290256945574,0.227021723238517
CACNG3,NA,NA,NA,NA
TMEM132A,0.0224016636354503,363,0.043803981985903,0.124896329304129
DVL2,0.0361646751742551,292,0.014599505649657,0.0606618826065465
RPAP3,0.0142194441151447,354,0.170377446739798,0.303776604286302
HOXA11,0.0254358015059747,212,0.146816366024613,0.275337437911266
TRAPPC6A,0.00104323724180917,271,0.963437424826508,0.973349990432091
SPATA20,0.0108204285285158,365,0.268167029386294,0.410017064157402
CD79B,0.00465923289751211,362,0.640946771082135,0.73209830062815
RHBDD2,0.0541214406379144,288,0.00141352910309639,0.0127225978409977
RPUSD1,0.0269471121197528,314,0.0378365822983689,0.113517205318584
TSR3,0.0154491482426549,301,0.200581708686248,0.338116469842142
NDUFAB1,0.01594498858617,276,0.222792223117933,0.362013635746629
YBX2,0.029121334646497,269,0.0502293096913021,0.136833737873925
ITGA3,0.0434490965963823,369,0.00113974407186542,0.0110505729987934
KRT33A,0.0282335971538621,233,0.0877038360950995,0.197191438779969
LRRC23,0.0248633234912744,350,0.0339037656551578,0.105567780947525
TFAP2D,NA,NA,NA,NA
CRY1,0.0175942162404989,281,0.177267980109948,0.311394926512229
PGLYRP1,0.0124515049299896,301,0.291484007942124,0.431513140830574
STARD3NL,0.0105035286720245,233,0.486817643759447,0.610075301607146
CD74,0.0286364606477792,353,0.0178979246050009,0.0692441312882852
RPS20,0.0690612992732434,98,0.0821382528767444,0.189329730241413
MGST1,0.0545272145932677,308,0.000799359861117533,0.0087527029397186
CPA1,0.017595498010812,354,0.10177452094353,0.218078024603762
SYPL1,0.0104135042429682,331,0.329097507306076,0.467593732374765
RANBP9,0.0186827423269894,298,0.135750294384425,0.26246164748329
CD4,0.0291057876607408,366,0.0139453860592315,0.0586709601166377
PLEKHG6,0.00826079142631252,373,0.38050421670167,0.515880471957903
QPCTL,0.00636644514612174,295,0.59945038825608,0.700632384369339
PPP5C,0.0143532061618767,232,0.345478608294803,0.483271973139228
UBR7,0.0323434473148416,336,0.0126520660269968,0.0551918730097138
MAP4K5,0.0224730358749076,297,0.0838562489493193,0.191889388110005
ERCC1,0.0184331482525312,172,0.36876825809416,0.505872274735747
GPRC5A,0.0454232479310575,352,0.001164600972576,0.0111972373989935
HEBP1,0.00549373105605875,281,0.673472016217555,0.757649795759567
COX15,0.00229855067698523,331,0.859360143473936,0.897043253013979
MS4A12,0.0152732738744759,236,0.309373687203824,0.448273754687948
