,Rho,N,P,p.adj
ENSG00000000003,-0.106540852620701,121,0.15458393305491,0.44406139019045
ENSG00000000005,NA,NA,NA,NA
ENSG00000000419,0.107053487896161,125,0.145888185417581,0.430705821625766
ENSG00000000457,0.000800263810435046,93,0.992539224003239,0.998389867159067
ENSG00000000460,0.107432048011529,103,0.186016066369039,0.486056487350753
ENSG00000000938,-0.0568242487281117,117,0.455437627012462,0.735729718573469
ENSG00000000971,0.193762966350345,95,0.0220913822583737,0.152823200753398
ENSG00000001036,-0.0236392560389354,117,0.756181438221568,0.901187950281607
ENSG00000001084,-0.0678313048307573,125,0.356832582921668,0.660681784147701
ENSG00000001167,0.180422042100858,125,0.0142521412366865,0.118519231040831
ENSG00000001461,0.0192695283659354,101,0.81433071927469,0.926213673161378
ENSG00000001497,0.110572486257444,119,0.142940299548827,0.425727028877327
ENSG00000001561,0.110972676342262,119,0.141499224110424,0.423483338705134
ENSG00000001617,0.0278091606188149,75,0.771010208263318,0.907891286463495
ENSG00000001626,0.18745384517274,119,0.0130099003071239,0.112402061855383
ENSG00000001629,-0.0466051822306564,125,0.526679666990487,0.781151622634471
ENSG00000001630,-0.0296809339717413,127,0.684413216815349,0.868811501288006
ENSG00000001631,-0.0851350207097642,121,0.25532290862641,0.565461359741656
ENSG00000002016,NA,NA,NA,NA
ENSG00000002330,-0.13296726084253,119,0.0781321640411744,0.309011328891643
ENSG00000002549,-0.0341780451795809,127,0.639762129971334,0.846261638357603
ENSG00000002586,NA,NA,NA,NA
ENSG00000002587,0.0955233031094649,89,0.275112280346219,0.587530819588705
ENSG00000002726,0.0428767204805577,53,0.707545723489303,0.878336933647703
ENSG00000002745,0.0931704975513973,43,0.464738848216754,0.742012448999433
ENSG00000002746,NA,NA,NA,NA
ENSG00000002822,-0.13296726084253,119,0.0781321640411744,0.309011328891643
ENSG00000002834,0.0291716329984386,121,0.696705730331232,0.874715334501012
ENSG00000002919,0.0848873398017368,117,0.264856354116509,0.575153489933423
ENSG00000002933,NA,NA,NA,NA
ENSG00000003056,0.145421185162304,123,0.0500808323911907,0.243472558856827
ENSG00000003096,0.161922759125095,81,0.0779129583176053,0.308954150425084
ENSG00000003137,0.0594795874537244,117,0.434650744360461,0.720405604117478
ENSG00000003147,0.21394374200561,109,0.00671507643355922,0.0750571391340549
ENSG00000003249,0.112348406846286,79,0.227195491100064,0.533894750276229
ENSG00000003393,0.00978634457890098,55,0.930443263004748,0.97492190657146
ENSG00000003400,NA,NA,NA,NA
ENSG00000003402,-0.396177935979475,37,0.00406929652518766,0.0566075407711749
ENSG00000003436,-0.207030080392287,79,0.026058917269946,0.168722482784674
ENSG00000003509,-0.0374513795872139,79,0.687272838377162,0.871182188668272
ENSG00000003756,-0.107711314620437,113,0.164540576054428,0.458871594594029
ENSG00000003987,0.0794804303532417,119,0.292339514530799,0.604825530725627
ENSG00000003989,-0.177294420292016,117,0.0198726685091983,0.143627053783043
ENSG00000004059,-0.089042801915224,127,0.222713282582397,0.53035959665808
ENSG00000004139,-0.0499203680415187,117,0.512017998398181,0.769313750133081
ENSG00000004142,-0.0918260521178279,125,0.212265204231906,0.519265287149499
ENSG00000004399,0.029400014700011,111,0.70694640385417,0.877825627410613
ENSG00000004455,0.135473807675632,123,0.0679631605910021,0.287998756783717
ENSG00000004468,NA,NA,NA,NA
ENSG00000004478,0.062371717422451,113,0.420891066014752,0.710418005466995
ENSG00000004487,-0.109967579047027,113,0.155876435358933,0.446041530915074
ENSG00000004534,0.0151055526745454,107,0.849630503868822,0.942462229878894
ENSG00000004660,0.162241872359053,119,0.0315967492239592,0.188347189900987
ENSG00000004700,NA,NA,NA,NA
ENSG00000004766,-0.0213343917260248,119,0.777444765784612,0.90972757218904
ENSG00000004776,-0.0418513557527125,97,0.61732339621524,0.835246118304754
ENSG00000004777,-0.141414451403371,99,0.0880146395027617,0.328573463321519
ENSG00000004779,-0.136661032762404,123,0.0655854301574172,0.282717297034692
ENSG00000004799,0.0912913575191438,127,0.21124968047226,0.518055120905227
ENSG00000004809,0.159863945578231,49,0.179318236045376,0.478139693985009
ENSG00000004838,0.0702060189864119,95,0.406936373105974,0.70101226607883
ENSG00000004846,NA,NA,NA,NA
ENSG00000004848,NA,NA,NA,NA
ENSG00000004864,-0.0777181412876619,119,0.303171804793653,0.613050080365188
ENSG00000004866,0.0616330476746933,103,0.448041216875695,0.731356656043218
ENSG00000004897,0.0818410249484941,111,0.295301026215721,0.607801909873894
