,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.0138727247830459,272,0.152627615778124,0.325830085953669
FKBP4,0.0146793408705941,306,0.10660770580458,0.259598602965483
CYP26B1,0.00304613038027898,220,0.716375164386366,0.823318134746136
NDUFAF7,0.0145321597237238,317,0.100652505264833,0.250697557293226
FUCA2,0.0124575399030654,334,0.125659376495092,0.288549023012846
DBNDD1,0.0113071829691419,266,0.223531766416389,0.408170692919346
HS3ST1,0.00930161379262238,262,0.297048278375422,0.484089136169215
SEMA3F,0.0164874387590538,285,0.0962105457838798,0.243727965392035
CFTR,0.0123031445741644,342,0.122740102135207,0.283626088092713
CYP51A1,0.00817453202279713,289,0.308161090607778,0.493749132034706
USP28,0.0152419400570095,330,0.0814880301067108,0.219521062475574
SLC7A2,0.000203813101062958,308,0.969199010473088,0.98177793705649
HSPB6,0.00172780598572596,226,0.823346477653626,0.891725798033612
PDK4,0.049254317073768,273,0.00123265226014762,0.0151898816314164
USH1C,0.00514197671676216,332,0.426988949011248,0.603541167800925
RALA,NA,NA,NA,NA
BAIAP2L1,0.0118720222086212,303,0.166514089170039,0.343306543206361
CACNG3,NA,NA,NA,NA
TMEM132A,0.0059020428072136,336,0.372100176160101,0.555364897001733
DVL2,0.0280352237159689,270,0.0230350665895922,0.0997565387363888
RPAP3,0.0029193369243529,325,0.623172082935753,0.756186724475078
HOXA11,0.0110218264943264,202,0.330319945406202,0.515429873742065
TRAPPC6A,0.0059775786915186,254,0.469463979396571,0.63902975150344
SPATA20,0.00371043292098507,333,0.540137325710236,0.694660790127469
CD79B,0.00660344965553697,334,0.33304609750151,0.518282901756786
RHBDD2,0.0488664449497894,260,0.00178523606892263,0.0192751514223417
RPUSD1,0.0160539054058988,286,0.101501518467569,0.251619362765267
TSR3,0.0234397055789285,287,0.0350185310937119,0.129608319548963
NDUFAB1,0.0173899468077675,251,0.113751008987466,0.270714435085199
YBX2,0.0280507689184328,249,0.0308599717989553,0.120327057224226
ITGA3,0.0258292091262796,338,0.0128781688585768,0.0690256963445589
KRT33A,0.0288916214366936,218,0.0435110249496562,0.14830337299318
LRRC23,0.0101373064805659,320,0.198513060777783,0.379345103527575
TFAP2D,NA,NA,NA,NA
CRY1,0.00176937783227205,257,0.797334999800733,0.875398487766542
PGLYRP1,0.0213963297176368,277,0.0521989185869164,0.166629881236268
STARD3NL,0.0126189421712244,215,0.259181468428327,0.445597212199887
CD74,0.00600787438411641,323,0.380120194163932,0.562812958895451
RPS20,0.017572582204348,99,0.422715235818207,0.600270844765236
MGST1,0.04952462867931,283,0.000927541849465831,0.012733077778961
CPA1,0.0396233758067258,322,0.00173014195836683,0.0188885938100528
SYPL1,0.0221925322293059,310,0.032427572031989,0.124028640082565
RANBP9,0.0053188132192719,274,0.483831775273945,0.650647877850013
CD4,0.00348736364924173,333,0.560513267582019,0.708591205759719
PLEKHG6,0.0112783504946323,350,0.139725965854223,0.308407293502115
QPCTL,0.0190745539057747,271,0.0761488899209108,0.210460478832661
PPP5C,0.0243080717114917,214,0.0751093943161794,0.208827509558721
UBR7,0.0205361213905579,307,0.0431951709841147,0.14762013958635
MAP4K5,0.00952029326686072,272,0.275270855304402,0.462026349314691
ERCC1,NA,NA,NA,NA
GPRC5A,0.0592279813735595,325,6.8072790109508e-05,0.00243648599826322
HEBP1,9.14158485724194e-05,258,0.988321789348054,0.992163157657483
COX15,0.00159732811399456,305,0.784433189711572,0.868420742455443
MS4A12,0.0178441214909761,224,0.136747441627834,0.304318353181872
XYLT2,0.0153860472897067,314,0.0900026287415393,0.233592393205582
FTSJ1,0.0861874198480971,243,2.95721416102869e-05,0.00139026146623659
SCTR,0.00353587818226316,320,0.568944397069518,0.714850797826036
RALBP1,0.0637569111997818,295,8.50504501499603e-05,0.00280330022175594
SYT13,0.00884029787843903,307,0.258576012663676,0.444862276232322
SNAI2,0.00477594888023595,187,0.641360712798599,0.769971710682083
SLC7A9,0.0514922108843263,309,0.000359858206049709,0.00697053549876032
RTF2,0.00388984966040974,297,0.56231237857659,0.709848378915246
RB1CC1,0.0137579449986433,333,0.101894341546037,0.251996939341346
AKAP11,0.0138413862687634,356,0.0857048328169299,0.226168463444571
B4GALT7,0.00785407463325588,264,0.356004889286652,0.540658767051333
FAM13B,0.0369908574137775,306,0.00354894197331896,0.0301378724653819
CHPF2,0.00497783398027717,287,0.490745184120121,0.656413264917004
GABARAPL2,NA,NA,NA,NA
MYOC,0.0196074623773365,304,0.0512760985713223,0.164559736844451
FAM136A,0.00845149814918377,210,0.413465353430086,0.590996941039935
NSMAF,0.0366597170228677,325,0.0026349945700196,0.0247755570950369
OTC,0.0165923300412944,267,0.110054465426294,0.264840631899573
TTC17,0.000159879784294341,298,0.976537479470537,0.985727063679144
HOXC8,NA,NA,NA,NA
MRI1,0.0129806972886628,294,0.149318726626367,0.321373843745068
TARBP1,0.00267073533801507,339,0.636765214048245,0.766294969915065
RTN4R,0.0161005521561866,292,0.0960745968515155,0.24358930329369
PSMA4,NA,NA,NA,NA
ZPBP,0.0101271908870785,299,0.221141736330249,0.405633882062713
