"","main_Rho","Herbivore_Rho","Carnivore_Rho","main_P","Herbivore_P","Carnivore_P","main_p.adj","Herbivore_p.adj","Carnivore_p.adj","Driver","DriverNumeric"
"ARF5",NA,4.45440685947892,NA,NA,8.41254389329987e-06,NA,NA,0.000831456853454253,NA,"MissingData",5
"M6PR",1.61359081615013,1.28128502337676,-1.75025735435787,0.319848630583985,0.200093571391083,0.0800739160386007,0.868508041439076,0.475629373614617,0.237958789619059,"Unclear",0
"FKBP4",-0.0691853541916111,-0.479157003006884,-1.68311177100598,1,0.631826939958133,0.0923534562092551,1,0.830973487825358,0.259525120728568,"Carnivore",2
"CYP26B1",-0.691582259907352,1.08288065534041,0.355466603010476,1,0.278861399326473,0.722240060286521,1,0.566637134471957,0.853329440286667,"Herbivore",1
"NDUFAF7",-1.12190016067851,-0.281730692989215,1.91887826457589,0.785714677076764,0.778150017782438,0.0549997419730045,1,0.908654537730389,0.188561586878264,"Carnivore",2
"FUCA2",-1.70134980948945,-0.431483855411579,1.71939825980774,0.266631960007342,0.666116589084031,0.0855418788961747,0.77840753440337,0.850164078146697,0.247602162264058,"Carnivore",2
"DBNDD1",1.31798739065856,0.822140629582958,-1.73153164874532,0.562523606998401,0.410996863972549,0.0833569851681399,1,0.683947339806525,0.243894193118395,"Carnivore",2
"HS3ST1",-1.18465971045039,-0.97047995942567,-0.284860351830246,0.708456054807474,0.33180730949568,0.775751132658768,1,0.614683990819685,0.884581010221422,"Both",3
"SEMA3F",-2.16078856229637,-1.71399935221048,2.04600798243214,0.0921350279975715,0.0865288448379962,0.0407555853153111,0.403194927014759,0.303408346996924,0.156977903787483,"Both",3
"CFTR",2.03589308819627,0.711303744295851,-0.568000905537067,0.125283276102022,0.476896031825526,0.570034353059248,0.486376725783596,0.73241546098233,0.755008065441022,"DoubleBoth",4
"CYP51A1",-0.808136376447677,-2.09698189179794,1.06565314873438,1,0.0359951783602454,0.28658046393139,1,0.18405231736316,0.513747071547009,"Herbivore",1
"USP28",2.20529647029749,0.987035267678311,-2.23999050223781,0.0822998921249712,0.32362534954278,0.0250915394782197,0.375038432755452,0.606432750374441,0.115757008539371,"Carnivore",2
"SLC7A2",-0.220504865085535,-0.03685823100053,0.837447162901669,1,0.970598043932791,0.402341264897648,1,0.988681978478877,0.624147575246014,"Carnivore",2
"HSPB6",-0.491016044498822,1.02496774738374,0.028483933980354,1,0.305378406166948,0.977276181657303,1,0.58982686506939,0.988517553045934,"Herbivore",1
"PDK4",-0.856428503893995,-1.59735482927136,-1.30440372766857,1,0.110186635324683,0.192095964891149,1,0.345925851632344,0.403653860266659,"Unclear",0
"USH1C",1.30173450224625,0.749628735692611,-1.43203663891809,0.579021482341003,0.453478339042796,0.152133335942267,1,0.714948450993765,0.353029162432695,"Carnivore",2
"RALA",NA,4.37697735724881,NA,NA,1.20336469940599e-05,NA,NA,0.00106745308021686,NA,"MissingData",5
"BAIAP2L1",-0.306723217767995,-1.74013559826389,-0.74186947077005,1,0.0818352107768413,0.458166424470044,1,0.294573362555757,0.670769731600089,"Herbivore",1
"CACNG3",NA,2.73841628105446,NA,NA,0.00617358764801182,NA,NA,0.0644991432330907,NA,"MissingData",5
"TMEM132A",0.956220378916377,0.474077170806186,-1.69705473061212,1,0.635444877495179,0.0896863136945889,1,0.83305774986407,0.255080972011639,"Carnivore",2
"DVL2",1.01953033357368,2.79647764607695,0.589474469321149,0.923853779799066,0.00516629847391652,0.555543033759137,1,0.0579847423450024,0.744041635495324,"Herbivore",1
"RPAP3",-0.391617862198958,-0.177932375744532,0.898777332454172,1,0.858776084367789,0.368771276259139,1,0.944682833492873,0.595023635536676,"Carnivore",2
"HOXA11",1.4448162098348,2.04563165647845,-1.5193983771781,0.445528550123758,0.0407926244469361,0.128662250212783,1,0.197841025663952,0.318721949907297,"Unclear",0
"TRAPPC6A",-1.07199483039234,-0.303624061310827,0.561110691501522,0.851167062330866,0.761414318194629,0.574722080093472,1,0.899086813114063,0.758706651538685,"DoubleBoth",4
"SPATA20",-0.897788326264869,0.16846417107422,0.869850726105333,1,0.866218128139671,0.384381986025205,1,0.948539166327347,0.607712325082642,"Both",3
"CD79B",-1.47955560366029,-0.927819253588589,0.809280584800515,0.416975645980281,0.353501334981462,0.41835377130705,1,0.634962121146343,0.637299732463186,"Both",3
"RHBDD2",-2.43193474606151,-2.24181577911806,0.71038167446027,0.0450552382458522,0.0249732809987966,0.477467484068481,0.253258398790497,0.149259554465153,0.684780313267351,"Both",3
"RPUSD1",-0.709459951263671,0.135547234777445,-0.925325386434447,1,0.892179220873556,0.354796677376928,1,0.958465866326847,0.581796907057455,"Carnivore",2
"TSR3",-2.58287203501648,-1.62084581004422,1.00065557832485,0.0293944972844177,0.105050711076151,0.316993350333309,0.195403047772346,0.335470956817752,0.545708570131101,"Both",3
"NDUFAB1",-1.96509431034512,-1.38918902739914,2.09321771874023,0.148209969063153,0.164775277417952,0.036329723737757,0.541303683324752,0.431337608473447,0.14598879097933,"Carnivore",2
"YBX2",2.6164393979163,2.63419957102347,-2.6446277413036,0.0266556405704098,0.00843359012148666,0.0081780831840072,0.183121686502261,0.0778474158765246,0.0556683364596158,"Unclear",0
