"","main_Rho","Herbivore_Rho","Insectivore_Rho","main_P","Herbivore_P","Insectivore_P","main_p.adj","Herbivore_p.adj","Insectivore_p.adj","directionality","directionNumeric"
"ARF5",NA,4.45440685947892,-0.374105840161421,NA,8.41254389329987e-06,0.708325573849646,NA,0.000831456853454253,0.888435287977165,"MissingData",5
"M6PR",-0.810725927476331,1.28128502337676,-0.787077736081577,1,0.200093571391083,0.431236361575327,1,0.475629373614617,0.731489353314467,"Herbivore",1
"FKBP4",0.275185743009542,-0.479157003006884,-0.520329230209088,1,0.631826939958133,0.602834126213746,1,0.830973487825358,0.838957529990437,"Unclear",0
"CYP26B1",-0.206954834490959,1.08288065534041,0.913019163875542,1,0.278861399326473,0.361232462657607,1,0.566637134471957,0.67596901137227,"Unclear",0
"NDUFAF7",-0.039230348587113,-0.281730692989215,1.14976854174865,1,0.778150017782438,0.250239215259368,1,0.908654537730389,0.575374932565104,"Insectivore",2
"FUCA2",0.391471962383143,-0.431483855411579,0.183625814975281,1,0.666116589084031,0.85430701004762,1,0.850164078146697,0.950008289901106,"Herbivore",1
"DBNDD1",-0.110521902188284,0.822140629582958,-1.63344225240592,1,0.410996863972549,0.102376016724938,1,0.683947339806525,0.376369438669659,"Insectivore",2
"HS3ST1",1.13701319301783,-0.97047995942567,0.0272989264998103,1,0.33180730949568,0.978221313079748,1,0.614683990819685,0.993508098558048,"DoubleBoth",4
"SEMA3F",2.48744254666243,-1.71399935221048,1.02470827862229,0.0771991403848473,0.0865288448379962,0.305500855640814,0.62897902741341,0.303408346996924,0.631072402437464,"Both",3
"CFTR",-0.829711744904893,0.711303744295851,0,1,0.476896031825526,1,1,0.73241546098233,1,"DoubleBoth",4
"CYP51A1",4.1722648473995,-2.09698189179794,-2.32679433369726,0.000180952072318452,0.0359951783602454,0.0199762141426659,0.0157074718407926,0.18405231736316,0.165119248966169,"Both",3
"USP28",-1.24917872982308,0.987035267678311,-1.83952523241947,1,0.32362534954278,0.0658379701192051,1,0.606432750374441,0.30221856551954,"Insectivore",2
"SLC7A2",1.04658847476672,-0.03685823100053,-0.0504480494254762,1,0.970598043932791,0.959765347200928,1,0.988681978478877,0.986420424372573,"DoubleBoth",4
"HSPB6",0.226744718081032,1.02496774738374,0.804357902901861,1,0.305378406166948,0.421190306010027,1,0.58982686506939,0.72328357560298,"Unclear",0
"PDK4",1.59382411033936,-1.59735482927136,-0.326367817723537,0.66585261460606,0.110186635324683,0.744146083374376,1,0.345925851632344,0.904973449141284,"Herbivore",1
"USH1C",-1.05443355534907,0.749628735692611,-0.12523732536461,1,0.453478339042796,0.900335668481612,1,0.714948450993765,0.968196502322227,"DoubleBoth",4
"RALA",NA,4.37697735724881,-0.108767067571806,NA,1.20336469940599e-05,0.913387245079726,NA,0.00106745308021686,0.971935125256526,"MissingData",5
"BAIAP2L1",1.85709479005228,-1.74013559826389,-1.05066335267211,0.379786015900603,0.0818352107768413,0.29341323309933,1,0.294573362555757,0.619908119826256,"Both",3
"CACNG3",NA,2.73841628105446,-3.08452652884397,NA,0.00617358764801182,0.00203876426794608,NA,0.0644991432330907,0.0496297795019535,"MissingData",5
"TMEM132A",-1.75498498773918,0.474077170806186,-0.416305073389199,0.475571253765918,0.635444877495179,0.6771867806011,1,0.83305774986407,0.874414126245777,"DoubleBoth",4
"DVL2",-1.36120708971304,2.79647764607695,1.71540451889077,1,0.00516629847391652,0.0862710874846504,1,0.0579847423450024,0.34476530005885,"Herbivore",1
"RPAP3",-0.46587546021157,-0.177932375744532,0.51261052593526,1,0.858776084367789,0.608223788726572,1,0.944682833492873,0.842551866632681,"Insectivore",2
"HOXA11",-1.12162270465957,2.04563165647845,-0.695359481509246,1,0.0407926244469361,0.486830046366865,1,0.197841025663952,0.771286112946977,"Herbivore",1
"TRAPPC6A",0.365121338645119,-0.303624061310827,-0.167820125611967,1,0.761414318194629,0.866724789097016,1,0.899086813114063,0.954527932224048,"Both",3
"SPATA20",-0.45971302492518,0.16846417107422,1.5201473105245,1,0.866218128139671,0.128473956335581,1,0.948539166327347,0.416775079381297,"Insectivore",2
"CD79B",1.10561266912739,-0.927819253588589,0.148998818935156,1,0.353501334981462,0.881554564915418,1,0.634962121146343,0.961065236932608,"DoubleBoth",4
"RHBDD2",0.456610498324796,-2.24181577911806,2.35780041227757,1,0.0249732809987966,0.0183835739785877,1,0.149259554465153,0.158499654584536,"Unclear",0
"RPUSD1",0.621823928871176,0.135547234777445,-1.98821313067575,1,0.892179220873556,0.0467881233771576,1,0.958465866326847,0.255780334509392,"Insectivore",2
"TSR3",0.404367624281029,-1.62084581004422,1.97801340940849,1,0.105050711076151,0.0479271939378582,1,0.335470956817752,0.259718559778852,"Unclear",0
"NDUFAB1",2.22760178603588,-1.38918902739914,1.55874142017877,0.155442488801024,0.164775277417952,0.119057594052389,0.948124457167924,0.431337608473447,0.402292765273249,"Both",3
"YBX2",-1.95280462112458,2.63419957102347,-1.19942538326764,0.305056504596892,0.00843359012148666,0.23036258250223,1,0.0778474158765246,0.555151219116658,"Herbivore",1
"ITGA3",-2.0463869344847,1.6845753235361,-1.74573819194764,0.244309899132536,0.092070535617351,0.0808564554109026,1,0.313325910523125,0.333092600786304,"Both",3
"KRT33A",2.68995144883427,-2.50535529832034,-0.073877008487216,0.0428774490670371,0.0122328441387234,0.941108250415725,0.456714379907284,0.0988278602105066,0.978600438220971,"DoubleBoth",4
"LRRC23",-0.506243211867215,1.68567462962853,1.15667533504964,1,0.0918584860445506,0.247405030459848,1,0.313004423244132,0.571905130717245,"Unclear",0
"TFAP2D",NA,0.660305867219945,-0.925836632717182,NA,0.50905756571722,0.35453088645829,NA,0.755614842739049,0.671801629483566,"MissingData",5
"CRY1",0.167571092396576,-0.318141024801065,0.667602081252417,1,0.750377965671801,0.504387628839486,1,0.894105149859437,0.780590507250213,"Insectivore",2
"PGLYRP1",2.13419456925372,-1.54417395150685,-0.376477188585271,0.196961142458317,0.12254619744545,0.70656217108011,1,0.368320288224236,0.887832840227308,"DoubleBoth",4
"STARD3NL",-1.12890471961397,1.78093199957309,-0.781298943904344,1,0.0749235602625296,0.434626691129424,1,0.279052387016393,0.73406940049149,"Herbivore",1
"CD74",-2.06307689513555,1.5085255930215,0.753011094827648,0.234631937829236,0.131420061535345,0.451443246960427,1,0.38173899722727,0.745764736035626,"Both",3
"RPS20",NA,3.38332476225479,-1.69786266604152,NA,0.000716138930817102,0.0895336850481731,NA,0.0159743777356746,0.352157706871504,"MissingData",5
"MGST1",3.97420175304323,-3.26094807566177,1.20419665760917,0.000423694122598709,0.0011104037217805,0.228513577549151,0.0270020085558266,0.0212497448953249,0.55274982517448,"Both",3
"CPA1",3.07758669253183,-3.27329006405327,1.02059291188332,0.0125210477074359,0.00106303325569832,0.307447349069947,0.216629902145604,0.020660318994741,0.632734139293394,"Herbivore",1
"SYPL1",1.82844449221666,-2.38425858396595,-0.0683155166146283,0.404897214729246,0.0171135724986508,0.945534472513053,1,0.120182801401612,0.980498257626772,"Herbivore",1
"RANBP9",0.616299396773122,-1.86623372832838,1.30674632047941,1,0.0620086721348849,0.191298881447522,1,0.251780266730135,0.508321896620146,"Unclear",0
"CD4",0.529517002495674,1.21015848697786,-0.519004996494357,1,0.226218084046844,0.603757256963914,1,0.506739762895977,0.839928318453747,"Herbivore",1
"PLEKHG6",-2.07737587046286,1.15419856592814,-1.92945967254953,0.226601288801738,0.248418770393874,0.0536738218626651,1,0.533810967893394,0.272306472191751,"Both",3
