,Rho,N,P,p.adj
ENSG00000000003,0.0249113731743888,64,0.810100650351703,1
ENSG00000000005,NA,NA,NA,NA
ENSG00000000419,-0.055794898657775,68,0.578707175711768,1
ENSG00000000457,0.257146726010568,44,0.0411397790409939,1
ENSG00000000460,-0.0565697198166404,56,0.610546961876794,1
ENSG00000000938,-0.168761961772815,58,0.121815750142374,1
ENSG00000000971,-0.101937015276072,60,0.341566871095937,1
ENSG00000001036,0.0329697128432307,68,0.742823558168084,1
ENSG00000001084,-0.042849884542941,66,0.674529789821297,1
ENSG00000001167,-0.102713336165449,68,0.306681906274075,1
ENSG00000001461,-0.04927305444663,55,0.660313616757878,1
ENSG00000001497,-0.175139720554696,62,0.0965206395846145,1
ENSG00000001561,-0.0524333955885482,64,0.613014743322165,1
ENSG00000001617,-0.0335250793957651,37,0.807931920536725,1
ENSG00000001626,0.0680217023851436,64,0.511733859690689,1
ENSG00000001629,0.0723091801662129,66,0.478543198638701,1
ENSG00000001630,0.0317016469646449,68,0.752384585952634,1
ENSG00000001631,0.0374936489750734,66,0.713285696121794,1
ENSG00000002016,-0.0755928946018454,25,0.656500727775343,1
ENSG00000002330,0.010523115735439,62,0.920457498810808,1
ENSG00000002549,-0.0355058446004023,68,0.723821372745789,1
ENSG00000002586,NA,NA,NA,NA
ENSG00000002587,0.0561584803931125,44,0.655611764829049,1
ENSG00000002726,0.193022008047862,28,0.227424558028569,1
ENSG00000002745,-0.0633247586861304,20,0.741464612632977,1
ENSG00000002746,NA,NA,NA,NA
ENSG00000002822,0.0736618101480728,62,0.484550694851482,1
ENSG00000002834,-0.194938123747835,62,0.0643373920610815,1
ENSG00000002919,-0.136434928401769,62,0.195431418612111,1
ENSG00000002933,NA,NA,NA,NA
ENSG00000003056,0.00850271279814295,64,0.934632767992689,1
ENSG00000003096,-0.0131173630244657,42,0.919022017711696,1
ENSG00000003137,-0.150772455086216,62,0.152507196120775,1
ENSG00000003147,-0.0124673221923249,61,0.906608305639934,1
ENSG00000003249,-0.107402722817805,37,0.436102511484232,1
ENSG00000003393,0.00742392338645623,28,0.962972439770723,1
ENSG00000003400,NA,NA,NA,NA
ENSG00000003402,0.381385035698237,11,0.157299207050285,1
ENSG00000003436,0.0926908929457468,46,0.451216540711487,1
ENSG00000003509,0.0323875137815648,40,0.806706335646521,1
ENSG00000003756,-0.222283776066506,66,0.0293736538259025,1
ENSG00000003987,-0.0850271279814295,64,0.412116141160895,1
ENSG00000003989,0.0399721251648386,60,0.709192707266765,1
ENSG00000004059,0.0215571199359585,68,0.830127748020357,1
ENSG00000004139,-0.13465462536381,66,0.186952521958814,1
ENSG00000004142,-0.0107124711357353,66,0.91638784807712,1
ENSG00000004399,0.00641368343878791,52,0.955688280448471,1
ENSG00000004455,-0.0160687067036029,66,0.874868742936207,1
ENSG00000004468,NA,NA,NA,NA
ENSG00000004478,-0.0205563075671696,63,0.844075598282895,1
ENSG00000004487,-0.106740793452257,60,0.319302036482855,1
ENSG00000004534,-0.0531995176598931,54,0.638348108071144,1
ENSG00000004660,-0.0929001995985777,62,0.378013819070415,1
ENSG00000004700,NA,NA,NA,NA
ENSG00000004766,-0.11158979731555,68,0.26676285011272,1
ENSG00000004776,0.0460043706228236,64,0.657215997341141,1
ENSG00000004777,-0.216939932212468,54,0.0552847755465545,1
ENSG00000004779,-0.0632560096063825,64,0.54174905744502,1
ENSG00000004799,0.0355058446004023,68,0.723821372745789,1
ENSG00000004809,0.111274865515178,35,0.433306086089974,1
ENSG00000004838,-0.0743391941675028,57,0.49940204112036,1
ENSG00000004846,0.253085534121766,18,0.213524354036182,1
ENSG00000004848,-0.0156269076979498,14,0.94684707139927,1
ENSG00000004864,-0.0487345309369588,62,0.643752448336554,1
ENSG00000004866,-0.0211880575387909,55,0.850106739138526,1
ENSG00000004897,0.139836635139227,58,0.199838516373841,1
ENSG00000004939,-0.117337615205138,24,0.499499336012048,1
ENSG00000004948,0,21,1,1
ENSG00000004961,0.0819121978638317,46,0.505552016918914,1
ENSG00000004975,0.0163299316185545,50,0.889749919759926,1
ENSG00000005007,-0.129426660825176,67,0.201152486054599,1
ENSG00000005020,0.18068630765869,29,0.249609103986738,1
ENSG00000005022,-0.0693675342783266,66,0.496619239767892,1
ENSG00000005059,-0.182500140252323,60,0.0886187857648458,1
ENSG00000005073,0.0377425678048199,13,0.877370556064143,1
ENSG00000005075,-0.061608007261268,65,0.549144678638317,1
ENSG00000005100,0.0439306827904052,64,0.671742840767154,1
ENSG00000005102,-0.107190101400992,41,0.412018324506558,1
ENSG00000005108,-0.104420319352873,31,0.490545764684761,1
ENSG00000005156,0.0374104778420971,53,0.743420697695252,1
ENSG00000005175,-0.18386955239494,68,0.0672677900359816,1
ENSG00000005187,0.0342355256609224,42,0.790746493549438,1
ENSG00000005194,-0.0696310623822791,66,0.494985184152609,1
ENSG00000005206,-0.0106606786424597,62,0.919421202841577,1
ENSG00000005238,-0.0571886263589597,50,0.62735024087826,1
ENSG00000005243,0.0143218843554676,57,0.896466939891479,1
ENSG00000005249,-0.0405781081147455,68,0.686333523268837,1
ENSG00000005302,-0.00887646115010057,68,0.929607190892353,1
ENSG00000005339,-0.0346717637585861,56,0.754928628909561,1
ENSG00000005379,-0.103547350196934,63,0.321811379198151,1
ENSG00000005381,-0.0481025021215338,49,0.686167849855239,1
ENSG00000005421,0.00497527147281552,59,0.963295983419093,1
ENSG00000005436,-0.079193612772558,62,0.452354624122,1
ENSG00000005448,0.0581018707873101,64,0.5751703741981,1
ENSG00000005469,-0.0408044319284274,66,0.689235051338765,1
ENSG00000005471,0.0341571350985945,58,0.754166665261853,1
ENSG00000005483,-0.181760827634918,48,0.130918816650499,1
ENSG00000005486,-0.0427307331016652,55,0.703108708808113,1
ENSG00000005513,0.054638249234908,37,0.69196540021438,1
ENSG00000005801,NA,NA,NA,NA
ENSG00000005810,-0.0704594848625236,48,0.558184649422657,1
ENSG00000005812,-0.132305282681923,56,0.233600851238967,1
ENSG00000005844,0.228887543840804,45,0.065890438888395,1
ENSG00000005882,0.0317016469646449,68,0.752384585952634,1
ENSG00000005884,-0.133700202122581,64,0.197162496373224,1
ENSG00000005893,-0.0152167905430295,68,0.879629902126111,1
ENSG00000005961,-0.12980882325586,63,0.214231941418717,1
ENSG00000005981,0.0194697889486317,57,0.859588063258623,1
ENSG00000006007,-0.0443823057505028,68,0.658709692965825,1
ENSG00000006015,-0.0854981960070962,49,0.472643320171249,1
ENSG00000006016,-0.153613417156234,33,0.294409585776561,1
ENSG00000006025,-0.0974580721174323,59,0.367364352798866,1
ENSG00000006042,0.113369503975239,64,0.274144859291269,1
ENSG00000006062,-0.0716186611066814,63,0.493187256885258,1
ENSG00000006071,-0.0398054289351021,34,0.782527924740067,1
ENSG00000006116,-0.160934849861756,27,0.323678160907016,1
ENSG00000006118,-0.082335267823348,59,0.446331257209584,1
ENSG00000006125,0.0510552933347296,53,0.655081892659916,1
ENSG00000006128,-0.0819565348257925,34,0.56981887020931,1
ENSG00000006194,-0.0826300858793997,52,0.474073155195828,1
ENSG00000006210,0.0570504909524573,57,0.604214628441953,1
ENSG00000006282,0.00154306105452864,61,0.988414941304398,1
ENSG00000006283,0.0732956667952456,47,0.546865268955839,1
ENSG00000006327,-0.171791998954203,63,0.100236512149876,1
ENSG00000006377,NA,NA,NA,NA
ENSG00000006432,-0.170750237888493,28,0.285634112305983,1
ENSG00000006451,0.10997536295081,60,0.304857746964635,1
ENSG00000006453,-0.0545268327791892,68,0.587367874785891,1
ENSG00000006459,0.00267811778393381,66,0.979060960803665,1
ENSG00000006468,-0.125973758200278,50,0.284907778462611,1
ENSG00000006534,0.0437736330270748,63,0.675342793791307,1
ENSG00000006555,-0.0767464803164901,60,0.473963060262863,1
ENSG00000006576,-0.0470279156792462,54,0.677787257099189,1
ENSG00000006606,NA,NA,NA,NA
ENSG00000006607,0.305952345320048,40,0.0208123340518824,1
ENSG00000006611,-0.194322731665165,42,0.132043486344781,1
ENSG00000006625,0.0682565476767419,67,0.500227477747936,1
ENSG00000006634,-0.00479665501978063,60,0.964304296980899,1
ENSG00000006638,NA,NA,NA,NA
ENSG00000006652,0.0321374134072058,66,0.752796213958787,1
ENSG00000006659,NA,NA,NA,NA
ENSG00000006695,-0.0639269433545362,66,0.530987284507012,1
ENSG00000006704,-0.115272670280599,44,0.359964661347358,1
ENSG00000006712,0.0634032939292898,68,0.528044891057857,1
ENSG00000006715,-0.00913772455067977,62,0.930901235040378,1
ENSG00000006740,-0.125820508683078,48,0.295742413994498,1
ENSG00000006744,0.013978553547906,51,0.904571746502785,1
ENSG00000006747,-0.0154985475097483,58,0.887009295984607,1
ENSG00000006756,0.118279469712838,40,0.371555539357456,1
ENSG00000006757,NA,NA,NA,NA
ENSG00000006788,0.0135612700724162,30,0.929885999950233,1
ENSG00000006837,-0.0707106781186548,16,0.744881619545956,1
ENSG00000007001,0.0777713771047819,32,0.60150813444059,1
ENSG00000007038,NA,NA,NA,NA
ENSG00000007047,-0.0587968040575849,54,0.603439408904629,1
ENSG00000007062,NA,NA,NA,NA
ENSG00000007080,0.055794898657775,68,0.578707175711768,1
ENSG00000007168,-0.166991553264794,41,0.201242620957724,1
ENSG00000007171,0.031510052661165,59,0.770709705706111,1
ENSG00000007174,-0.0198779268053623,38,0.883782185585655,1
ENSG00000007202,0.0258902195602594,62,0.805929058944871,1
ENSG00000007216,-0.065021632695425,54,0.565659088074039,1
ENSG00000007237,-0.104574722748857,48,0.384820773523065,1
ENSG00000007255,-0.00910379896311753,57,0.934077936550405,1
ENSG00000007264,-0.00420294224883908,37,0.975687355291384,1
ENSG00000007312,-0.177571201301144,37,0.197887812135486,1
ENSG00000007314,0.11453422015351,48,0.341190973930472,1
ENSG00000007341,0.0426355543820392,58,0.695886261876501,1
ENSG00000007350,0.162650012158089,10,0.568811400413337,1
ENSG00000007372,-0.0496608887642327,24,0.775032604908896,1
ENSG00000007376,-0.0373023548476495,22,0.837761913983851,1
ENSG00000007384,-0.0666942319631378,31,0.659681877818457,1
ENSG00000007392,-0.0625270504232531,56,0.573485103377122,1
ENSG00000007402,-0.0636595070120767,41,0.626117479916739,1
ENSG00000007516,0.00910379896311753,57,0.934077936550405,1
ENSG00000007520,0,65,1,1
ENSG00000007541,0.0367739104789881,68,0.714382889841032,1
ENSG00000007545,0.00507226351434318,68,0.959740312506868,1
ENSG00000007866,-0.197923695331785,40,0.134849226699296,1
ENSG00000007908,-0.0284267621807481,25,0.867174601424439,1
ENSG00000007923,-0.028120236731305,66,0.782866699669326,1
ENSG00000007933,-0.173954026417552,64,0.0933533279197416,1
ENSG00000007944,-0.124270456101408,68,0.21618105713166,1
ENSG00000007952,-0.100916529798716,45,0.417429194992072,1
ENSG00000008018,0.0326435455427419,66,0.749032993448596,1
ENSG00000008056,-0.0128448151289569,58,0.906257585986684,1
ENSG00000008083,0.0108218834123928,46,0.929908548180603,1
ENSG00000008086,0.0271810451120902,60,0.799804937182689,1
ENSG00000008118,0.00497567861688777,34,0.972475828466415,1
ENSG00000008130,0.0110341853688094,56,0.920868378195854,1
ENSG00000008197,NA,NA,NA,NA
ENSG00000008226,-0.0814900515848111,55,0.467328473727883,1
ENSG00000008256,-0.115159064709154,66,0.259072141250941,1
ENSG00000008277,-0.317829688091089,51,0.00641281427704811,1
ENSG00000008282,0.0354279699922623,64,0.732546764604725,1
ENSG00000008283,-0.00158142548943501,61,0.988126928189484,1
ENSG00000008294,-0.035114257347645,61,0.741078327261265,1
ENSG00000008300,-0.0855757102533048,57,0.436849909467615,1
ENSG00000008311,0.0141711879969049,64,0.891271174493957,1
ENSG00000008323,-0.139497256152448,49,0.241286618568704,1
ENSG00000008324,-0.00825226547725335,53,0.942439523632546,1
ENSG00000008382,-0.0297681319897904,67,0.768755423197306,1
ENSG00000008394,-0.0515955285711012,55,0.645376251302274,1
ENSG00000008405,0.0191669355923945,65,0.852155624499068,1
ENSG00000008438,-0.188712839024099,13,0.440400698139003,1
ENSG00000008441,0.117569789198115,54,0.298939043413545,1
ENSG00000008513,NA,NA,NA,NA
ENSG00000008516,-0.182081204434379,61,0.0866413826175594,1
ENSG00000008710,0.0356159927970223,44,0.777297410789522,1
ENSG00000008735,-0.0346713668816579,55,0.757136184738046,1
ENSG00000008838,0.00275428797707474,65,0.978634265741958,1
ENSG00000008853,0,57,1,1
ENSG00000008869,-0.0436989484810084,58,0.688693527589982,1
ENSG00000008952,-0.0495451790027755,66,0.627282830858096,1
ENSG00000009307,-0.0661452989084736,62,0.530216610920017,1
ENSG00000009335,-0.0984592848299782,65,0.338383660927284,1
ENSG00000009413,-0.0803435335180144,66,0.431055818951591,1
ENSG00000009694,0.010223972648865,41,0.937632308094486,1
ENSG00000009709,NA,NA,NA,NA
ENSG00000009724,-0.176572048939494,69,0.076642773823286,1
ENSG00000009765,-0.102658887183694,57,0.350955308639846,1
ENSG00000009780,0.0241088516818307,58,0.825070520457273,1
ENSG00000009790,-0.0264774117434518,66,0.795260986921156,1
ENSG00000009830,-0.171471374762549,64,0.0981233824969847,1
ENSG00000009844,-0.0174077655955698,66,0.864538026866961,1
ENSG00000009950,-0.129451097801297,62,0.219294675380796,1
ENSG00000009954,-0.0976410726511063,68,0.331185029602302,1
ENSG00000010017,0.00930238148193878,62,0.929659314205143,1
ENSG00000010030,NA,NA,NA,NA
ENSG00000010072,0.00537070663330036,57,0.961080949261351,1
ENSG00000010165,0.0380841364665322,66,0.708974428911641,1
ENSG00000010219,0.0216067907850721,18,0.915424584298719,1
ENSG00000010244,0.0629357679224446,66,0.537375978733466,1
ENSG00000010256,-0.0608671621721182,68,0.544678392863482,1
ENSG00000010270,-0.0215595097155339,59,0.841941337007716,1
ENSG00000010278,0.0415108256509741,66,0.684142982673364,1
ENSG00000010282,-0.121110219452863,34,0.401006483409924,1
ENSG00000010292,-0.0672074915650472,68,0.503589304430051,1
ENSG00000010295,0.0278290975275073,38,0.837848032415042,1
ENSG00000010310,0.00877058019307029,26,0.957967251805562,1
ENSG00000010318,-0.21927163526382,41,0.0933219024710248,1
ENSG00000010319,-0.0442115569377615,58,0.685236254818152,1
ENSG00000010322,0.180767614415003,49,0.128901508766054,1
ENSG00000010327,0.0852718302511055,62,0.418415301619938,1
ENSG00000010361,-0.231376987486855,59,0.0323482380346919,1
ENSG00000010379,0.21053798026663,48,0.0801812246793444,1
ENSG00000010404,0.0307983545152388,66,0.762780608741561,1
ENSG00000010539,0.043837575820391,54,0.698535358303339,1
ENSG00000010610,-0.0280415390802197,48,0.815735131836463,1
ENSG00000010626,-0.108230629773451,49,0.363277660936094,1
ENSG00000010671,-0.114964269304785,56,0.300662129328781,1
ENSG00000010704,0.0470078093001575,50,0.689865651014755,1
ENSG00000010803,-0.176245925520638,55,0.115953586137955,1
ENSG00000010810,-0.162980103169622,55,0.146039118048844,1
ENSG00000010818,NA,NA,NA,NA
ENSG00000010932,-0.0550867239195998,52,0.633187660781809,1
ENSG00000011007,0.0489653183141129,66,0.63131837576298,1
ENSG00000011009,-0.0950731813296504,66,0.351470731279953,1
ENSG00000011021,-0.0190209881787869,68,0.849859265484803,1
ENSG00000011028,-0.198581568718347,66,0.0516369925982246,1
ENSG00000011083,-0.0361845778992201,38,0.790169451022532,1
ENSG00000011105,0.00493243622303575,60,0.96329454497708,1
ENSG00000011132,-0.115010926557059,64,0.267257493154388,1
ENSG00000011143,-0.151833527039905,62,0.149641101685076,1
ENSG00000011198,0.103876593214983,62,0.324270257669242,1
ENSG00000011201,-0.199813594260811,52,0.0834358280882949,1
ENSG00000011243,-0.0595990962935324,68,0.553091663704875,1
ENSG00000011258,0.0572891899231546,40,0.665159038276376,1
ENSG00000011260,-0.0405781081147455,68,0.686333523268837,1
ENSG00000011275,-0.145555627434896,60,0.174452200756426,1
ENSG00000011295,-0.0824815222131074,60,0.441564594766279,1
ENSG00000011304,-0.120022614760537,60,0.262793544045965,1
ENSG00000011332,-0.118469775551818,19,0.548506235500147,1
ENSG00000011347,-0.0851869990541116,50,0.469599483935707,1
ENSG00000011405,0.0547713598396044,59,0.612436863173879,1
ENSG00000011422,NA,NA,NA,NA
ENSG00000011426,-0.0636595070120767,41,0.626117479916739,1
ENSG00000011451,-0.0650256088762355,43,0.609893133886768,1
ENSG00000011454,-0.153891934580346,40,0.244990156367002,1
ENSG00000011465,0.0874965456224199,68,0.383879320587852,1
ENSG00000011478,0.0330656413851545,64,0.749762446900944,1
ENSG00000011485,0.127210594736856,66,0.212509416455259,1
ENSG00000011523,-0.0884096025115927,66,0.386251302059872,1
ENSG00000011566,-0.00485185424782985,60,0.963893794791117,1
ENSG00000011590,NA,NA,NA,NA
ENSG00000011600,-0.110974190404619,29,0.479500122186953,1
ENSG00000011638,-0.108465228909328,18,0.593954675326915,1
ENSG00000011677,0.0395477859112111,31,0.794002680192762,1
