,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj,Herbivore...5.Rho,Herbivore...5.P,Herbivore...5.p.adj,Insectivore...5.Rho,Insectivore...5.P,Insectivore...5.p.adj,Omnivore...5.Rho,Omnivore...5.P,Omnivore...5.p.adj,Vertivore...5.Rho,Vertivore...5.P,Vertivore...5.p.adj
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-2.42592179876554,0.152695601588091,0.78568638154118,-0.227236015658851,1,1,2.25150468049628,0.243535907798925,1,-0.810725927476331,1,1,1.27679797021408,1,1,-0.644943577701148,1,1,-0.572713562771805,1,1,1.40496538420376,1,1,-0.414734133859747,1,1,0.167433857233292,1,1
FKBP4,-0.402209659034704,1,1,1.48905881249763,1,1,1.51252083688766,1,1,0.275185743009542,1,1,0.560398947444823,1,1,-0.817875519895058,1,1,-1.33958040106347,1,1,-0.851349628687641,1,1,-2.31189425200743,0.207835115686094,1,-1.35365238004995,1,1
CYP26B1,0.771381944724419,1,1,-1.22228560963069,1,1,-1.68634031541555,0.917302701075115,1,-0.206954834490959,1,1,-0.805610719343054,1,1,0.690953074965418,1,1,-1.38029124435958,1,1,-1.77780100694409,0.754365430658456,1,-0.56957960740144,1,1,-1.01890540307822,1,1
NDUFAF7,1.51065388028087,1,1,-0.942742655607129,1,1,-2.18310451303681,0.290281143128553,1,-0.039230348587113,1,1,-1.3079270454324,1,1,0.667027885076149,1,1,0.374118622550746,1,1,-0.911804544052451,1,1,1.03406606867167,1,1,0.349110250914848,1,1
FUCA2,3.20276848172984,0.0136113358406752,0.161144102478253,-0.0116796964356576,1,1,-3.21135826524726,0.0132109120918748,0.180953396837734,0.391471962383143,1,1,-2.31083059254613,0.208422140085354,1,0.399988099686367,1,1,-1.13533352948523,1,1,-3.43870933430669,0.00584494441279066,0.141152588463872,-1.1275601407108,1,1,-1.26595951039825,1,1
DBNDD1,-0.845269361960257,1,1,0.0510236938132404,1,1,0.87337285414098,1,1,-0.110521902188284,1,1,0.575036079116192,1,1,-0.145369602882815,1,1,-2.42555636958806,0.152849418222424,1,-1.5017312247313,1,1,-2.43650161318621,0.148301033075787,1,-1.95197140006402,0.50941600241544,1
HS3ST1,-0.321846030482705,1,1,1.16817078245257,1,1,1.23545955993946,1,1,1.13701319301783,1,1,1.240899127862,1,1,0.271551179951144,1,1,-0.570228016437584,1,1,-0.275064437421838,1,1,-1.31462933216577,1,1,-1.33991292015826,1,1
SEMA3F,1.81428548974215,0.696337843268279,1,1.06388120773665,1,1,-1.00499455565145,1,1,2.48744254666243,0.128665233974746,1,0.611998252618851,1,1,1.70024255684114,0.890853104285527,1,1.04223635566063,1,1,-0.486099006124196,1,1,0.327916524661662,1,1,-1.03920438154023,1,1
CFTR,-2.12710903882768,0.334110244335134,1,-0.983203357185691,1,1,1.39843802460759,1,1,-0.829711744904893,1,1,1.05708456246797,1,1,-0.109941712360507,1,1,1.97038104115705,0.487947167438779,1,3.34358705856774,0.00827027402295239,0.173260510598003,2.64216160659073,0.0823787386268445,0.985633809552349,2.31985891248097,0.203485108851833,1
CYP51A1,0.153461251303073,1,1,1.87343601504909,0.610082006290284,1,1.20398317083824,1,1,4.1722648473995,0.000301586787197421,0.0289484897010518,3.30568791318065,0.00947435504779479,0.305125963503652,2.77683152045204,0.0548916241216487,1,-1.42132292739156,1,1,-1.32108370761915,1,1,-2.62262168247685,0.0872561027969133,1,-4.37662488379169,0.000120531144728022,0.035497603800292
USP28,-2.82338821212473,0.0475189940329732,0.364457383751114,-0.438243537759107,1,1,2.4847778514817,0.129632301442797,0.783984115186352,-1.24917872982308,1,1,1.28416900197001,1,1,-0.920045739917074,1,1,-0.58249264236552,1,1,1.62625126446484,1,1,-0.2930712936354,1,1,0.448730122222473,1,1
SLC7A2,-0.698196277353249,1,1,-0.158145649427914,1,1,0.578867011811995,1,1,1.04658847476672,1,1,1.4453575604408,1,1,1.16019148028666,1,1,0.545170661489635,1,1,0.985742178058211,1,1,0.642609037821307,1,1,-0.290747237870955,1,1
HSPB6,-0.163740399427939,1,1,-0.72199312525351,1,1,-0.383396133259024,1,1,0.226744718081032,1,1,0.318817328810777,1,1,0.695406874644182,1,1,-0.813672583498285,1,1,-0.555519760671826,1,1,-0.283045619886762,1,1,-0.81228681746577,1,1
PDK4,-1.06935815947748,1,1,3.03067446131064,0.02440081740012,0.865834210781979,3.3640316030947,0.00768127469143003,0.126518569261795,1.59382411033936,1,1,2.20832696084127,0.272214892200796,1,-0.650161506432685,1,1,0.103429331661226,1,1,0.873028730370968,1,1,-1.86256154613539,0.625239787697659,1,-1.11038049969187,1,1
USH1C,0.372885445753507,1,1,-0.261892623500947,1,1,-0.567520075965609,1,1,-1.05443355534907,1,1,-1.1877313422772,1,1,-0.852815081279776,1,1,-1.1185567788348,1,1,-1.24705848836068,1,1,-0.936937339488533,1,1,-0.144956263523173,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,-0.508418210472586,1,1,2.35377380346539,0.18583915814489,1,2.33313410276438,0.196411080899457,1,1.85709479005228,0.632976693167672,1,2.00988627104029,0.444432271321649,1,0.151117992611584,1,1,-0.363401887990274,1,1,0.0766671283964256,1,1,-1.97747953516714,0.479874515216038,1,-1.77682085680413,0.755977191444755,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,-1.01383291193292,1,1,0.51409698020031,1,1,1.38977107370976,1,1,-1.75498498773918,0.79261875627653,1,-0.632983119950294,1,1,-2.11882835979469,0.341049750989613,1,0.219858203116261,1,1,0.957654464615703,1,1,-0.120394544400874,1,1,1.52672233957335,1,1
DVL2,-0.671141599720527,1,1,-3.14628613478613,0.0165358145357612,0.728816013709409,-1.61052154184083,1,1,-1.36120708971304,1,1,-0.513952729736242,1,1,1.09101381181415,1,1,-0.19615873213453,1,1,0.380261682455655,1,1,2.02963248235323,0.423939105847545,1,0.902727260572408,1,1
RPAP3,1.57584582534911,1,1,-0.837782184778306,1,1,-2.21926427874306,0.264687502991833,1,-0.46587546021157,1,1,-1.69580404929164,0.899229953874675,1,0.156555657787738,1,1,0.0881636599738921,1,1,-1.1075334665082,1,1,0.637345622068023,1,1,0.429987989287689,1,1
HOXA11,-0.817483964543788,1,1,-1.70429834936131,0.883253632032703,1,-0.501100684244918,1,1,-1.12162270465957,1,1,-0.285849527920428,1,1,0.148743377655382,1,1,-2.08570699618476,0.370051723221114,1,-1.14950043820706,1,1,-0.862852020316194,1,1,-0.851238824033453,1,1
TRAPPC6A,0.705529349980132,1,1,-0.117796668980795,1,1,-0.799445544716643,1,1,0.365121338645119,1,1,-0.302135692640984,1,1,0.460114675854205,1,1,-0.524526367475399,1,1,-1.03243749118768,1,1,-0.438219232041029,1,1,-0.75458809638276,1,1
SPATA20,1.54836084928758,1,1,-0.684703689819909,1,1,-2.06993579638498,0.384583572194737,1,-0.45971302492518,1,1,-1.67691781590301,0.935585537864084,1,0.0551189868390982,1,1,0.0738714028790971,1,1,-1.15058035615843,1,1,0.547503994247386,1,1,0.424813250230108,1,1
CD79B,1.59340787299681,1,1,0.436757583271185,1,1,-1.27320099224846,1,1,1.10561266912739,1,1,-0.389194945835545,1,1,0.787517937414018,1,1,-0.647790034255779,1,1,-1.78909533478445,0.735994633730198,1,-0.944951323654305,1,1,-1.41311322020695,1,1
RHBDD2,1.11949818299012,1,1,2.60268516505616,0.0924968514469255,1,0.976331704064095,1,1,0.456610498324796,1,1,-0.496969524508049,1,1,-1.46012452076799,1,1,1.26282296102152,1,1,0.379625880364262,1,1,-0.32816054435503,1,1,0.771909136350328,1,1
RPUSD1,0.77990172852914,1,1,0.830476566821459,1,1,-0.177132509200292,1,1,0.621823928871176,1,1,-0.137139718940393,1,1,0.0117120053523928,1,1,-3.2604580048866,0.0111232437703292,0.305452001232386,-3.36414117165685,0.00767822571594884,0.167403269694703,-3.86217141708901,0.00112383664208277,0.0908385232663598,-3.25344216560676,0.011401593165605,0.305965342379897
TSR3,3.43160761637698,0.00600015014736774,0.0915265818532178,1.04888503423393,1,1,-2.64443308045534,0.0818278851873938,0.583086552084734,0.404367624281029,1,1,-2.49386901895908,0.126359162685894,1,-0.372597776285032,1,1,-1.60112199531685,1,1,-3.70633453343697,0.0021028050883439,0.0739899407586837,-2.18067973967218,0.292071126084966,1,-1.70203975217735,0.887479166027464,1
NDUFAB1,1.17476305914125,1,1,1.04524078319488,1,1,-0.359762477128892,1,1,2.22760178603588,0.259070814668373,1,0.951521684137512,1,1,1.44694117964714,1,1,1.2431575304444,1,1,0.219783430785214,1,1,0.55348834741797,1,1,-0.633989016284637,1,1
YBX2,-2.98411497778117,0.0284399879846269,0.259763883872775,-1.57534940669955,1,1,1.65295340073636,0.983403477697394,1,-1.95280462112458,0.508427507661487,1,0.890329337211777,1,1,-0.641975323794667,1,1,-0.974860081733807,1,1,1.43446341576486,1,1,0.143073562815467,1,1,0.634380591136097,1,1
ITGA3,-1.56145132782003,1,1,0.240266148259126,1,1,1.72707781555776,0.841536892015886,1,-2.0463869344847,0.407183165220893,1,-0.376991043742437,1,1,-2.21100584006854,0.270354326449315,1,-3.01990911567493,0.0252850546602497,0.503722554445108,-1.34934087049359,1,1,-3.16385074792222,0.0155696617851111,0.396393033346024,-1.00897420601824,1,1
KRT33A,2.15807267706748,0.309221816932534,1,2.42882432864417,0.151478699702254,1,-0.584014609474736,1,1,2.68995144883427,0.0714624151117285,0.773107391050789,0.388809530679186,1,1,1.08684723471443,1,1,0.586971418455452,1,1,-1.35355220258128,1,1,-1.12226889235243,1,1,-1.78037272868083,0.750149818111162,1
LRRC23,-0.0829205368713969,1,1,-2.35985226975555,0.182822138967757,1,-1.6980042084367,0.895069675435352,1,-0.506243211867215,1,1,-0.353942838827746,1,1,1.27468153344088,1,1,-0.636049351368755,1,1,-0.48659268210422,1,1,0.940012514210171,1,1,-0.16261647644304,1,1
TFAP2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRY1,1.452861997518,1,1,-0.271450133840638,1,1,-1.63922890279017,1,1,0.167571092396576,1,1,-1.05728206265627,1,1,0.36644033540336,1,1,-0.141859600965515,1,1,-1.2553239613369,1,1,0.0459574822946521,1,1,-0.251365671316003,1,1
PGLYRP1,-0.241859437766892,1,1,1.42998691594796,1,1,1.25251860776213,1,1,2.13419456925372,0.328268570763861,1,1.95136140729047,0.510140689546778,1,1.13890226465123,1,1,0.0444211095971917,1,1,0.225666713974128,1,1,-0.90782583136883,1,1,-1.65267831407534,0.983963501784534,1
STARD3NL,-1.82478904726843,0.68032869319487,1,-1.21583854239194,1,1,0.83382936981165,1,1,-1.12890471961397,1,1,0.441615637738248,1,1,-0.253247163654071,1,1,-0.490414819322923,1,1,0.910781922839751,1,1,0.313411004487688,1,1,0.463603532683338,1,1
CD74,-0.391184375399455,1,1,-0.772095743847707,1,1,-0.21143507571883,1,1,-2.06307689513555,0.391053229715393,1,-1.44095264679625,1,1,-1.4880030818312,1,1,-1.22452173956738,1,1,-0.774507069137055,1,1,-0.700598787901421,1,1,0.548762015580746,1,1
RPS20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MGST1,3.04724914764521,0.0230946199697477,0.228535139569316,2.55936069925458,0.1048648733895,1,-1.10720259529445,1,1,3.97420175304323,0.000706156870997849,0.0490404794743667,0.854725552952803,1,1,2.08614954772936,0.369650787013066,1,1.03620235082583,1,1,-1.38988628044794,1,1,-0.635886913138931,1,1,-2.13972631979935,0.323768907170902,1
CPA1,3.39545489794602,0.00685146611055319,0.0992869670693722,2.7572301320277,0.0582933091442095,1,-1.3644551574941,1,1,3.07758669253183,0.0208684128457265,0.369984684217763,-0.186593962117962,1,1,1.10353656742686,1,1,0.82019310775072,1,1,-2.00299661403902,0.45177651912691,1,-1.08875131702446,1,1,-1.78820247941225,0.737433464313209,1
SYPL1,0.0730509712843529,1,1,2.71838270295039,0.0656019112571596,1,2.06863541879716,0.385803116395684,1,1.82844449221666,0.67482869121541,1,1.49974517553112,1,1,-0.287859269856102,1,1,1.38458975480622,1,1,1.15844735391289,1,1,-0.510871559779278,1,1,-0.220413796984378,1,1
RANBP9,2.57761655969679,0.0994843228959485,0.595964433880072,1.34252734639033,1,1,-1.52637964684785,1,1,0.616299396773122,1,1,-1.50833928529335,1,1,-0.332112573074213,1,1,0.356457838078606,1,1,-1.60029071701864,1,1,-0.513879569448736,1,1,-0.175052755161752,1,1
CD4,-0.5794770955694,1,1,-1.16355908236557,1,1,-0.310856969037577,1,1,0.529517002495674,1,1,0.923461774051571,1,1,1.39106166941228,1,1,-1.88704234809799,0.591546299720509,1,-1.23390850805871,1,1,-1.13773163398504,1,1,-2.02805806960292,0.425543217043289,1
PLEKHG6,-0.503036195105067,1,1,-0.47149856593188,1,1,0.148810152180865,1,1,-2.07737587046286,0.377668814669563,1,-1.29542324754992,1,1,-1.71510003223287,0.863268884260493,1,-1.83165272853316,0.670031756362377,1,-1.17539206840784,1,1,-1.508207380717,1,1,0.0200215731647638,1,1
QPCTL,2.07845647522133,0.376673357383032,1,0.842378352902747,1,1,-1.4170217880349,1,1,0.869768024663039,1,1,-0.896612211147036,1,1,0.268472837335374,1,1,-1.00116691407157,1,1,-2.45445795453749,0.141097163721024,0.964688437074876,-1.56240161705056,1,1,-1.5147532111644,1,1
PPP5C,0.779563534150525,1,1,2.02087096525301,0.432931242259863,1,0.745068735190047,1,1,2.23952728768517,0.251216278588861,1,1.27138871793224,1,1,0.784936469932498,1,1,0.394950748990195,1,1,-0.312646049882148,1,1,-1.1062052779303,1,1,-1.56125039292418,1,1
UBR7,-0.148694206097489,1,1,-2.57822262196951,0.0993099943246391,1,-1.72869292913869,0.838640675286745,1,-2.07798125328868,0.377110858329552,1,-1.58438873431959,1,1,-0.18213549820248,1,1,-2.67367300433488,0.0750255669696767,0.937728016325791,-2.1649969814216,0.30387916439108,1,-0.999069013049143,1,1,-0.717204916178136,1,1
