,Rho,N,P,p.adj
ARF5,NA,NA,NA,NA
M6PR,0.275662581017343,59,0.0107817936086747,0.104715462747634
FKBP4,-0.0899526885320534,102,0.270549545921861,0.584220705031721
CYP26B1,-0.0246128603488943,53,0.829492297279229,0.933591555916375
NDUFAF7,0.170854190830918,105,0.0336803114185047,0.199105777876809
FUCA2,-0.0970756200725036,108,0.220883226039273,0.530728880138615
DBNDD1,-0.0611633809009589,76,0.519245238496732,0.772501652349055
HS3ST1,-0.00129458868530247,82,0.98868346877636,0.995865311333737
SEMA3F,-0.0295379236624155,89,0.735759398571625,0.890229217822419
CFTR,0.31812105657994,116,3.17851420418484e-05,0.00256092547655452
CYP51A1,-0.0982677292562178,86,0.26993882236668,0.583661832270909
USP28,0.0553795289529306,112,0.476823911929337,0.747991610854607
SLC7A2,-0.106426210221543,99,0.199183502826647,0.504003266494139
HSPB6,-0.0434445437176389,43,0.733186899561207,0.889175275295318
PDK4,-0.157361516564115,90,0.0705797453734208,0.294790430369589
USH1C,0.0601279499165504,114,0.435739524508307,0.721705627131023
RALA,NA,NA,NA,NA
BAIAP2L1,-0.142273143848663,91,0.100164644374664,0.354199184578039
CACNG3,NA,NA,NA,NA
TMEM132A,0.0388269065897581,110,0.621145829253113,0.832229896932245
DVL2,0.123199238802981,71,0.209980485683659,0.517143443906147
RPAP3,-0.0400054792838455,105,0.618973446905564,0.830921760225133
HOXA11,0,43,1,1
TRAPPC6A,-0.0198155361489256,78,0.832413440527614,0.934713031229103
SPATA20,0.161091968910295,113,0.0376345844654925,0.21107079538363
CD79B,-0.0412611846971955,105,0.608010524681493,0.82441644117266
RHBDD2,-0.0106089973009395,87,0.904634880446167,0.962708302681882
RPUSD1,-0.11168742558859,90,0.199369113330092,0.50400565660674
TSR3,0.156175353500786,90,0.0727266603866901,0.299573281892895
NDUFAB1,-0.0702789363154926,73,0.468201472770131,0.74191855542893
YBX2,0.389700466998861,72,6.49615911694107e-05,0.00425053177700819
ITGA3,0.200796063815609,112,0.00989492923939825,0.0997882971612532
KRT33A,-0.210678379690434,74,0.0285358891365272,0.181819232397958
LRRC23,0.272083429136389,97,0.00116096684842657,0.0275725026791134
TFAP2D,NA,NA,NA,NA
CRY1,0.0333133398304488,67,0.742142621438137,0.89281121657477
PGLYRP1,-0.281748994356416,74,0.00340532140902976,0.0530919215086019
STARD3NL,-0.0194230605007569,55,0.86246299401359,0.947501680836277
CD74,0.252088762938391,99,0.002357207351857,0.0425091568892047
RPS20,NA,NA,NA,NA
MGST1,-0.291451211693065,76,0.00213223212963193,0.0398381698664778
CPA1,0.0108666310655718,105,0.892546683465707,0.95950358960272
SYPL1,0.0696339574646725,104,0.389015076073098,0.683918389674883
RANBP9,0.0224344872371073,78,0.810660004677995,0.924899187674491
CD4,-0.00972752165883414,119,0.897455849889194,0.960795124880755
PLEKHG6,0.158430056429749,121,0.0342740227380724,0.200793786064407
QPCTL,-0.0280334800086119,88,0.750150651806135,0.89608477404834
PPP5C,-0.0501666457639019,60,0.639744859076132,0.84156864147776
UBR7,0.271518772811243,93,0.00151074312892826,0.0327167579915012
MAP4K5,0.188652636532999,65,0.0666014286574266,0.286593873789988
ERCC1,0.0643065964413034,77,0.495118159402207,0.759013840772352
GPRC5A,-0.012003518825268,111,0.878005481864045,0.953739500667917
HEBP1,0.0104757205035911,72,0.914499263742819,0.966139299714479
COX15,-0.039512679125853,93,0.644301279391698,0.843909077276938
MS4A12,0.13984603560545,45,0.261141318558046,0.573653444724549
XYLT2,0.1215090598672,98,0.144768304062895,0.431100609668372
FTSJ1,-0.0702343434154059,65,0.49465737326955,0.759006354353287
SCTR,-0.0238083507834288,104,0.768360177376792,0.904954409201632
RALBP1,0.121721689709547,72,0.212206809781555,0.519120347924647
SYT13,0.0639300049745157,95,0.450151418135244,0.73025466360127
SNAI2,-0.117226583510767,44,0.351879772106333,0.655308843641793
SLC7A9,-0.195743588712992,97,0.0194439665186266,0.146874123954619
RTF2,0.0598650561981585,87,0.499001267855963,0.761588043598072
RB1CC1,0.0217631771654427,121,0.771216106395308,0.906181948442848
AKAP11,0.00677603486521942,123,0.927258876142469,0.97276174433819
B4GALT7,0.0913245039310217,74,0.342494584164104,0.646507600237217
FAM13B,-0.0166978134117273,89,0.848702269867272,0.941499897333291
CHPF2,0.0261466143734902,90,0.763842136986243,0.903369311075817
GABARAPL2,NA,NA,NA,NA
MYOC,0.0756023900037924,117,0.32069566088844,0.628885785667909
FAM136A,-0.277383907453634,45,0.025823979512076,0.17369755698742
NSMAF,0.0298715668448863,113,0.699883406180672,0.872889620557164
OTC,0.00143421352183708,78,0.987780269063627,0.995418943728567
TTC17,-0.115606272265195,91,0.181580840352066,0.480285384215854
HOXC8,NA,NA,NA,NA
MRI1,0.0667814632861981,92,0.437735297325064,0.723252609229704
TARBP1,0.028953468550399,122,0.697662435132279,0.871845334630781
RTN4R,-0.202241844849595,88,0.0216001859734765,0.156720691141141
PSMA4,NA,NA,NA,NA
ZPBP,0.0819912659871614,78,0.381262231620415,0.678217242642903
LCP2,-0.0628742376464429,112,0.419263777069349,0.708247714409191
DCN,0.201347610924169,71,0.0404796032166232,0.219908827666704
TNFRSF17,0.0235499714917446,90,0.786696881826255,0.913638662016617
MRPS10,-0.0100041149645827,86,0.910576600562839,0.964992925649373
GRN,0.0844963890894081,114,0.273392496406337,0.586803201252558
THAP3,0.107431713629235,97,0.199637071237432,0.504285111912777
VAMP3,0.152763044398335,61,0.150575240782808,0.440033237775151
RCN1,-0.0877993659017616,65,0.393264234448103,0.687764945435788
RFC2,0.0473855350654633,87,0.592560276916651,0.814838347391533
PPP1R3F,0.00190317155808856,95,0.982064348260826,0.992595691848435
NFE2L3,0.0979710039117234,115,0.20209588570579,0.507580522440794
CBLN4,-0.101236917385896,38,0.456594571203401,0.734728470316135
CLDN11,0.163583562381839,41,0.210592721186909,0.517659431073386
FAM168A,NA,NA,NA,NA
RELT,-0.0704302638124753,114,0.36126808826385,0.663960525063558
PKP2,0.133728409367994,103,0.0997313741448948,0.353661706799667
YIPF1,0.0113838169790092,81,0.901362189815856,0.962290446719194
ADCK2,0.0325415943002922,108,0.68153498684573,0.862625279803219
INPP4A,-0.161546771650481,91,0.0619330306354967,0.276640356811789
SLC2A3,0.110907874984681,95,0.190168457192853,0.491695048221548
STYK1,-0.0214136896332088,112,0.783250204191236,0.911865441731834
GNA11,NA,NA,NA,NA
CREB3L3,0.0592639069067072,110,0.45062749615121,0.730618160480584
HDAC7,-0.00618177545293943,101,0.939945046664586,0.977516757065613
MRPS35,0.024855874732618,100,0.76311566220425,0.9031124711601
APPBP2,NA,NA,NA,NA
CA11,-0.0725797964508908,63,0.487403529676025,0.754568227393392
ISOC2,-0.0779533305114395,77,0.408259022925626,0.700240909765743
CD22,-0.0309570901702796,126,0.672860627991695,0.859639019512882
GSC2,-0.182793737684961,73,0.0591913854145871,0.269945861784237
KCNQ1,0.0826259507238428,94,0.331674681103816,0.638140553475643
TRIB2,0.199758359600473,39,0.136442229298514,0.418571801078308
OTUD5,0.0286042623526595,51,0.806203486868876,0.922553867915163
GPKOW,0.105900388817423,97,0.206120811179111,0.511920198264859
AQR,0.0406296434469741,102,0.618725268370152,0.830736989538452
LMCD1,0.195324570610838,78,0.0369928426461844,0.208735824972864
PSMC4,NA,NA,NA,NA
FNDC8,0.0636972284100746,98,0.444600812523105,0.726902441247136
ACAP1,0.341663878248295,90,8.64027247479453e-05,0.00504792667289847
DERL2,NA,NA,NA,NA
NOX3,0.0507065884533858,109,0.520581550652696,0.773081570145161
ANO8,-0.170126684220587,92,0.048049589086378,0.239937847619314
ICAM3,-0.0629499182130622,121,0.40029564755246,0.69360811665403
CTTNBP2,0.0507221608702475,126,0.48906169848383,0.75514051476483
ACTL6B,NA,NA,NA,NA
KIF22,0.0333425629458098,87,0.706514835218365,0.875678713140552
PRSS22,0.10847191263568,109,0.169338584304786,0.464186578450982
YTHDC2,0.203002896648689,96,0.0159180023378143,0.131173572029609
TMEM161A,0.117089714914963,97,0.162146270443801,0.457785231512962
FOXJ2,0.224956288461456,96,0.00755128772815094,0.0854709953882704
GOLGA5,0.143720881719159,111,0.0660818541370961,0.285557602741792
PPP2R5B,0.0243849095638687,36,0.861644269088079,0.947062203978368
PYGM,0.169764579826703,89,0.0524306991704751,0.252495519432455
BCL3,-0.122024872093513,75,0.201557829688898,0.506547985195006
PRLH,-0.0110200258608279,88,0.900381220362184,0.962200636355794
FSTL3,0.0295302052775765,51,0.800061035445348,0.920513582178192
EPHA8,-0.0127394456820149,98,0.878485469578695,0.953835833538657
TRIP13,0.146006591495951,84,0.105334622920234,0.363841521398138
VASH1,-0.073467435983429,71,0.454718948661786,0.733679819621611
KRT14,0.207699717018385,88,0.0183082878069583,0.142159586049263
KRT20,0.322662744825131,93,0.000163108119679461,0.00788496219844
HSD17B10,0.0865644984085089,78,0.355272967956805,0.658778877227551
FGF4,0,57,1,1
ST6GAL1,-0.111618175097677,90,0.199647909313927,0.504285111912777
TIMM21,0.18264090397572,96,0.0300843228728996,0.186762080602019
BPIFB2,0.174060384613142,98,0.0367127305003782,0.208012798280334
REXO1,0.0751285735832641,104,0.352694314274301,0.65608889357154
MKRN2,-0.19577153365097,86,0.0279611730795388,0.180523635741367
GPATCH1,0.102966970937512,122,0.167112843526108,0.460997736045226
KEAP1,-0.0490224058641971,56,0.658963274783344,0.852267509787106
P2RY10,-0.156749401276809,76,0.0985860915228197,0.351429868592049
TNS1,0.105094441840577,125,0.153407577673449,0.444158801973398
NGFR,0.129525572454751,78,0.166608150184332,0.460492390015198
NTN1,0.240635796333411,36,0.0854599260480088,0.325795586811361
ISOC1,-0.0471746490020474,53,0.679782857403639,0.862194261445904
