,Rho,N,P,p.adj
ARF5,0.0593406593406594,14,0.679964773578894,0.774660432724203
M6PR,0.0181465684497347,330,0.0505339187381336,0.136964579483127
FKBP4,0.0122322892407291,434,0.0707720860668392,0.173115283158491
CYP26B1,0.0311950318142891,232,0.027241161079362,0.0896578624341106
NDUFAF7,0.00258054895472275,484,0.53622438726019,0.664187025129099
FUCA2,0.0125273508071407,522,0.0382590599522487,0.113463270860544
DBNDD1,0.0327867063399075,337,0.00405353205695611,0.0239004309732514
HS3ST1,0.0148845948562955,371,0.0636949467513664,0.160827497416347
SEMA3F,0.00226287462520104,407,0.631685554551696,0.738591821847355
CFTR,0.00597820522300622,550,0.193782800201318,0.338542791081618
CYP51A1,0.0369804575101816,414,0.000482531441367415,0.00529897699941398
USP28,0.0145042888079786,512,0.0245794195355468,0.0833757103237997
SLC7A2,0.0060282528057865,475,0.239621205003843,0.389321107777419
HSPB6,0.00459889372801816,243,0.573231206968293,0.692530954153562
PDK4,0.0446453370011708,374,0.000242052636147069,0.00323512272272123
USH1C,0.0065173829772201,513,0.188539066888774,0.332514729096939
RALA,0.273176823176823,27,0.0286873591407813,0.0930407072093052
BAIAP2L1,0.0115549219549244,458,0.0713398881640195,0.17410818091709
CACNG3,0.119654572231892,98,0.00301774096226347,0.0194962744105864
TMEM132A,0.0256587052832255,551,0.000862095975607092,0.0080435698545365
DVL2,0.0413613432836206,349,0.000748923488387868,0.00724753072265932
RPAP3,0.0261545308048909,515,0.00120447147663633,0.0101517940758084
HOXA11,0.0155276425605828,208,0.200465923352781,0.345910394216179
TRAPPC6A,0.00165803737212268,345,0.751877078371908,0.827372512162047
SPATA20,0.0029113525972645,512,0.475280278672701,0.614038800122802
CD79B,0.000616042965428014,502,0.856998798096599,0.902480880664165
RHBDD2,0.0328690092875022,379,0.00200473628543032,0.0146336677631502
RPUSD1,0.0149142153729771,409,0.0477154546796226,0.131693022222698
TSR3,0.00939463859937193,435,0.130206116046987,0.260121989358514
NDUFAB1,0.0355634974085912,332,0.00277873686088961,0.0184471535143503
YBX2,0.0156146041728907,317,0.084829878340783,0.195712152517034
ITGA3,0.0231787202990927,524,0.0023315188467638,0.0162260837083665
KRT33A,0.027093672481108,335,0.0108385798213404,0.0477205157417751
LRRC23,0.0122479675044234,470,0.0565772465063285,0.148310715086138
TFAP2D,0.0257215340791696,121,0.213676509657643,0.360832142133058
CRY1,0.0131904636169789,323,0.119592560529176,0.245610081025674
PGLYRP1,0.00587960549457141,444,0.271896821588099,0.424037077132561
STARD3NL,0.00690917455649374,241,0.436441494118232,0.581153461255907
CD74,0.00785583204176777,442,0.176892873303667,0.319198638941248
RPS20,0.128682745825603,21,0.276145477909261,0.428179435758573
MGST1,0.053776262833295,353,7.75473175672178e-05,0.0014142252366571
CPA1,0.0100204882628058,491,0.0858615104450869,0.197376509096378
SYPL1,0.0106854452850021,453,0.0893753256435441,0.202548354917356
RANBP9,0.0236320255725268,363,0.0138787466270264,0.0562893931962885
CD4,0.00385741505697148,562,0.338915344684934,0.489695883575129
PLEKHG6,0.0216358890331136,562,0.00231379354585157,0.0161515004247847
QPCTL,0.0213432557715081,381,0.0173316911208252,0.0656496236482702
PPP5C,0.0100891877392269,255,0.277668633276007,0.429812024470092
UBR7,0.00145857897186134,438,0.727094004339523,0.808316482530851
MAP4K5,0.00760742825933542,368,0.247594466841537,0.397876538784426
ERCC1,0.00560777106629658,277,0.461223560283511,0.601978840978447
GPRC5A,0.0316094435410092,489,0.000447110753205374,0.00503686499351193
HEBP1,0.00508047376481849,326,0.437982209599646,0.582339817461591
COX15,0.00245086032301374,439,0.584652040815475,0.701652040056186
MS4A12,0.00910636244396679,315,0.239380988122973,0.389009177032316
XYLT2,0.0036605046548848,484,0.413122188372328,0.559946827661098
FTSJ1,0.0713265236591262,326,9.25302442877921e-06,0.000306508809209582
SCTR,0.00285147595461453,500,0.490935143434898,0.627002352603363
RALBP1,0.0307675236522952,379,0.00298229550804602,0.0193358043279046
SYT13,0.0209263447746412,455,0.00864927078552395,0.0404904342170843
SNAI2,0.00142150005586373,165,0.88997402276998,0.924710867919961
SLC7A9,0.0191445309295662,454,0.0130856868163508,0.0539893349671025
RTF2,0.000482487802028171,421,0.903641617125951,0.933706779047506
