"","main_Rho","Carnivore_Rho","Herbivore_Rho","main_P","Carnivore_P","Herbivore_P","main_p.adj","Carnivore_p.adj","Herbivore_p.adj","Driver","DriverNumeric"
"ARF5",NA,NA,4.45440685947892,NA,NA,8.41254389329987e-06,NA,NA,0.000831456853454253,"MissingData",5
"M6PR",1.61359081615013,-1.75025735435787,1.28128502337676,0.319848630583985,0.0800739160386007,0.200093571391083,0.868508041439076,0.237958789619059,0.475629373614617,"Unclear",0
"FKBP4",-0.0691853541916111,-1.68311177100598,-0.479157003006884,1,0.0923534562092551,0.631826939958133,1,0.259525120728568,0.830973487825358,"Carnivore",1
"CYP26B1",-0.691582259907352,0.355466603010476,1.08288065534041,1,0.722240060286521,0.278861399326473,1,0.853329440286667,0.566637134471957,"Herbivore",2
"NDUFAF7",-1.12190016067851,1.91887826457589,-0.281730692989215,0.785714677076764,0.0549997419730045,0.778150017782438,1,0.188561586878264,0.908654537730389,"Carnivore",1
"FUCA2",-1.70134980948945,1.71939825980774,-0.431483855411579,0.266631960007342,0.0855418788961747,0.666116589084031,0.77840753440337,0.247602162264058,0.850164078146697,"Carnivore",1
"DBNDD1",1.31798739065856,-1.73153164874532,0.822140629582958,0.562523606998401,0.0833569851681399,0.410996863972549,1,0.243894193118395,0.683947339806525,"Carnivore",1
"HS3ST1",-1.18465971045039,-0.284860351830246,-0.97047995942567,0.708456054807474,0.775751132658768,0.33180730949568,1,0.884581010221422,0.614683990819685,"Both",3
"SEMA3F",-2.16078856229637,2.04600798243214,-1.71399935221048,0.0921350279975715,0.0407555853153111,0.0865288448379962,0.403194927014759,0.156977903787483,0.303408346996924,"Both",3
"CFTR",2.03589308819627,-0.568000905537067,0.711303744295851,0.125283276102022,0.570034353059248,0.476896031825526,0.486376725783596,0.755008065441022,0.73241546098233,"DoubleBoth",4
"CYP51A1",-0.808136376447677,1.06565314873438,-2.09698189179794,1,0.28658046393139,0.0359951783602454,1,0.513747071547009,0.18405231736316,"Herbivore",2
"USP28",2.20529647029749,-2.23999050223781,0.987035267678311,0.0822998921249712,0.0250915394782197,0.32362534954278,0.375038432755452,0.115757008539371,0.606432750374441,"Carnivore",1
"SLC7A2",-0.220504865085535,0.837447162901669,-0.03685823100053,1,0.402341264897648,0.970598043932791,1,0.624147575246014,0.988681978478877,"Carnivore",1
"HSPB6",-0.491016044498822,0.028483933980354,1.02496774738374,1,0.977276181657303,0.305378406166948,1,0.988517553045934,0.58982686506939,"Herbivore",2
"PDK4",-0.856428503893995,-1.30440372766857,-1.59735482927136,1,0.192095964891149,0.110186635324683,1,0.403653860266659,0.345925851632344,"Unclear",0
"USH1C",1.30173450224625,-1.43203663891809,0.749628735692611,0.579021482341003,0.152133335942267,0.453478339042796,1,0.353029162432695,0.714948450993765,"Carnivore",1
"RALA",NA,NA,4.37697735724881,NA,NA,1.20336469940599e-05,NA,NA,0.00106745308021686,"MissingData",5
"BAIAP2L1",-0.306723217767995,-0.74186947077005,-1.74013559826389,1,0.458166424470044,0.0818352107768413,1,0.670769731600089,0.294573362555757,"Herbivore",2
"CACNG3",NA,NA,2.73841628105446,NA,NA,0.00617358764801182,NA,NA,0.0644991432330907,"MissingData",5
"TMEM132A",0.956220378916377,-1.69705473061212,0.474077170806186,1,0.0896863136945889,0.635444877495179,1,0.255080972011639,0.83305774986407,"Carnivore",1
"DVL2",1.01953033357368,0.589474469321149,2.79647764607695,0.923853779799066,0.555543033759137,0.00516629847391652,1,0.744041635495324,0.0579847423450024,"Herbivore",2
"RPAP3",-0.391617862198958,0.898777332454172,-0.177932375744532,1,0.368771276259139,0.858776084367789,1,0.595023635536676,0.944682833492873,"Carnivore",1
"HOXA11",1.4448162098348,-1.5193983771781,2.04563165647845,0.445528550123758,0.128662250212783,0.0407926244469361,1,0.318721949907297,0.197841025663952,"Unclear",0
"TRAPPC6A",-1.07199483039234,0.561110691501522,-0.303624061310827,0.851167062330866,0.574722080093472,0.761414318194629,1,0.758706651538685,0.899086813114063,"DoubleBoth",4
"SPATA20",-0.897788326264869,0.869850726105333,0.16846417107422,1,0.384381986025205,0.866218128139671,1,0.607712325082642,0.948539166327347,"Both",3
"CD79B",-1.47955560366029,0.809280584800515,-0.927819253588589,0.416975645980281,0.41835377130705,0.353501334981462,1,0.637299732463186,0.634962121146343,"Both",3
"RHBDD2",-2.43193474606151,0.71038167446027,-2.24181577911806,0.0450552382458522,0.477467484068481,0.0249732809987966,0.253258398790497,0.684780313267351,0.149259554465153,"Both",3
"RPUSD1",-0.709459951263671,-0.925325386434447,0.135547234777445,1,0.354796677376928,0.892179220873556,1,0.581796907057455,0.958465866326847,"Carnivore",1
