,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
MasterTree,-2.77752456178824,0.0328648200426005,0.331413750927029,-1.12339283999875,1,1,1.76564145839344,0.464736119724478,1,-1.21784814689618,1,1,1.04431877147397,1,1,-0.371966835952177,1,1
ARF5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6PR,-2.42322858971928,0.0922994606770561,0.6120459972193,-0.643682892905607,1,1,1.78520322215541,0.445370157146093,1,-2.27909665029806,0.135967923617913,1,-0.518145501538256,1,1,-1.82700098026758,0.406197732041023,1
FKBP4,-0.631681649864294,1,1,1.6904685436951,0.545630108095634,1,2.117946420275,0.205077633774801,1,-0.322025666570408,1,1,0.176482785952905,1,1,-1.52991349671019,0.756228852730896,1
CYP26B1,0.528310463953116,1,1,-0.565924107842037,1,1,-1.05190795095611,1,1,-2.44625446077082,0.086609449338478,0.830925461880164,-2.70857017768994,0.0405442917045813,0.731412690871598,-2.10623181085282,0.211105327201682,1
NDUFAF7,1.08070407435036,1,1,-1.27171237872316,1,1,-2.20711203389314,0.163837399563404,0.894981386861597,-0.874318274318274,1,1,-1.64732947060544,0.596942061280255,1,0.0541316926184493,1,1
FUCA2,1.12781746001865,1,1,-0.174808641719339,1,1,-1.28543016412406,1,1,-0.766712508203672,1,1,-1.54993068366907,0.726948924390615,1,-0.64654010302252,1,1
DBNDD1,-2.56088044077598,0.0626443679555009,0.488653784879881,0.119762214421224,1,1,2.62030121178323,0.0527112794372183,0.454137508924902,-0.9302846537503,1,1,0.927578809463389,1,1,-1.0004471429592,1,1
HS3ST1,-0.137969999956165,1,1,0.545154824504998,1,1,0.618204177717162,1,1,-0.0248510814195599,1,1,0.0713478809095865,1,1,-0.382951588379601,1,1
SEMA3F,1.50844993377108,0.788636467850678,1,0.516831445295443,1,1,-1.03802351701057,1,1,0.925752566649055,1,1,-0.199741320640922,1,1,0.573306288032454,1,1
