"","main_Rho","Herbivore_Rho","Insectivore_Rho","main_P","Herbivore_P","Insectivore_P","main_p.adj","Herbivore_p.adj","Insectivore_p.adj","Driver","DriverNumeric"
"ARF5",NA,4.45440685947892,-0.374105840161421,NA,8.41254389329987e-06,0.708325573849646,NA,0.000831456853454253,0.888435287977165,"MissingData",5
"M6PR",-1.97917981590889,1.28128502337676,-0.787077736081577,0.286774587508083,0.200093571391083,0.431236361575327,1,0.475629373614617,0.731489353314467,"Both",3
"FKBP4",-1.03726564276836,-0.479157003006884,-0.520329230209088,1,0.631826939958133,0.602834126213746,1,0.830973487825358,0.838957529990437,"DoubleBoth",4
"CYP26B1",-0.234084335126872,1.08288065534041,0.913019163875542,1,0.278861399326473,0.361232462657607,1,0.566637134471957,0.67596901137227,"Unclear",0
"NDUFAF7",1.20445008581122,-0.281730692989215,1.14976854174865,1,0.778150017782438,0.250239215259368,1,0.908654537730389,0.575374932565104,"Both",3
"FUCA2",1.53325810190812,-0.431483855411579,0.183625814975281,0.751273641123983,0.666116589084031,0.85430701004762,1,0.850164078146697,0.950008289901106,"DoubleBoth",4
"DBNDD1",-1.9245915615191,0.822140629582958,-1.63344225240592,0.325682855584918,0.410996863972549,0.102376016724938,1,0.683947339806525,0.376369438669659,"Both",3
"HS3ST1",-0.533435853428056,-0.97047995942567,0.0272989264998103,1,0.33180730949568,0.978221313079748,1,0.614683990819685,0.993508098558048,"Herbivore",1
"SEMA3F",1.84873664838869,-1.71399935221048,1.02470827862229,0.386975094271118,0.0865288448379962,0.305500855640814,1,0.303408346996924,0.631072402437464,"Both",3
"CFTR",-0.301961588560729,0.711303744295851,0,1,0.476896031825526,1,1,0.73241546098233,1,"Herbivore",1
"CYP51A1",-0.718501429560502,-2.09698189179794,-2.32679433369726,1,0.0359951783602454,0.0199762141426659,1,0.18405231736316,0.165119248966169,"Unclear",0
"USP28",-2.31112887774239,0.987035267678311,-1.83952523241947,0.124954424069013,0.32362534954278,0.0658379701192051,0.700381559784962,0.606432750374441,0.30221856551954,"Both",3
"SLC7A2",-0.201014175744253,-0.03685823100053,-0.0504480494254762,1,0.970598043932791,0.959765347200928,1,0.988681978478877,0.986420424372573,"DoubleBoth",4
"HSPB6",-0.596807189595584,1.02496774738374,0.804357902901861,1,0.305378406166948,0.421190306010027,1,0.58982686506939,0.72328357560298,"Unclear",0
"PDK4",-0.717602211005568,-1.59735482927136,-0.326367817723537,1,0.110186635324683,0.744146083374376,1,0.345925851632344,0.904973449141284,"Herbivore",1
"USH1C",-0.394323509669283,0.749628735692611,-0.12523732536461,1,0.453478339042796,0.900335668481612,1,0.714948450993765,0.968196502322227,"Herbivore",1
"RALA",NA,4.37697735724881,-0.108767067571806,NA,1.20336469940599e-05,0.913387245079726,NA,0.00106745308021686,0.971935125256526,"MissingData",5
"BAIAP2L1",-0.555016341338128,-1.74013559826389,-1.05066335267211,1,0.0818352107768413,0.29341323309933,1,0.294573362555757,0.619908119826256,"Herbivore",1
"CACNG3",NA,2.73841628105446,-3.08452652884397,NA,0.00617358764801182,0.00203876426794608,NA,0.0644991432330907,0.0496297795019535,"MissingData",5
"TMEM132A",-0.584295846156259,0.474077170806186,-0.416305073389199,1,0.635444877495179,0.6771867806011,1,0.83305774986407,0.874414126245777,"Both",3
"DVL2",-0.553659144610641,2.79647764607695,1.71540451889077,1,0.00516629847391652,0.0862710874846504,1,0.0579847423450024,0.34476530005885,"Herbivore",1
"RPAP3",1.16517488469446,-0.177932375744532,0.51261052593526,1,0.858776084367789,0.608223788726572,1,0.944682833492873,0.842551866632681,"DoubleBoth",4
"HOXA11",-1.76215044974424,2.04563165647845,-0.695359481509246,0.468263288230076,0.0407926244469361,0.486830046366865,1,0.197841025663952,0.771286112946977,"Herbivore",1
"TRAPPC6A",0.12022483793674,-0.303624061310827,-0.167820125611967,1,0.761414318194629,0.866724789097016,1,0.899086813114063,0.954527932224048,"Herbivore",1
"SPATA20",1.09221122372944,0.16846417107422,1.5201473105245,1,0.866218128139671,0.128473956335581,1,0.948539166327347,0.416775079381297,"Insectivore",2
"CD79B",0.731770673005882,-0.927819253588589,0.148998818935156,1,0.353501334981462,0.881554564915418,1,0.634962121146343,0.961065236932608,"Herbivore",1
"RHBDD2",1.47231019080244,-2.24181577911806,2.35780041227757,0.845622795720303,0.0249732809987966,0.0183835739785877,1,0.149259554465153,0.158499654584536,"Unclear",0
"RPUSD1",-1.46510924923702,0.135547234777445,-1.98821313067575,0.857346681568243,0.892179220873556,0.0467881233771576,1,0.958465866326847,0.255780334509392,"Insectivore",2
"TSR3",1.91172690702471,-1.62084581004422,1.97801340940849,0.335467387450145,0.105050711076151,0.0479271939378582,1,0.335470956817752,0.259718559778852,"Unclear",0
"NDUFAB1",1.51599768529171,-1.38918902739914,1.55874142017877,0.77711962622667,0.164775277417952,0.119057594052389,1,0.431337608473447,0.402292765273249,"Unclear",0
"YBX2",-2.62487037567772,2.63419957102347,-1.19942538326764,0.0520091760847816,0.00843359012148666,0.23036258250223,0.417389376260726,0.0778474158765246,0.555151219116658,"Herbivore",1
